solver_id,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
0,10,29,19,lucas,6,6,45.0,45,45,True,1.0403542518615723
0,10,30,27,lucas,8,8,74.0,74,81,True,0.909268856048584
0,10,31,18,lucas,7,7,35.0,35,35,True,0.9673619270324707
0,10,32,20,lucas,6,6,46.0,46,46,True,1.0517220497131348
0,10,33,25,lucas,7,7,65.0,65,65,True,0.9678859710693359
0,10,34,21,lucas,8,8,53.0,53,56,True,0.9014430046081543
0,10,35,22,lucas,9,9,50.0,50,50,True,0.8447210788726807
0,10,36,21,lucas,7,7,50.0,50,50,True,0.9863998889923096
0,10,37,26,lucas,8,8,68.0,68,68,True,0.9147770404815674
0,10,38,21,lucas,6,6,50.0,50,50,True,1.0481998920440674
0,10,39,18,lucas,7,7,42.0,42,42,True,0.9678530693054199
0,10,40,24,lucas,8,8,61.0,61,64,True,0.8937397003173828
0,10,41,25,lucas,8,8,67.0,67,67,True,0.9057860374450684
0,10,42,21,lucas,7,7,52.0,52,58,True,0.9556782245635986
0,10,43,24,lucas,8,8,54.0,54,54,True,0.8990228176116943
0,10,44,25,lucas,10,10,62.0,62,62,True,0.8213460445404053
0,10,45,21,lucas,7,7,52.0,52,54,True,0.9750730991363525
0,10,46,27,lucas,8,8,75.0,75,74,True,0.8972458839416504
0,10,47,24,lucas,8,8,62.0,62,64,True,0.9045403003692627
0,10,48,19,lucas,7,7,40.0,40,40,True,0.9634609222412109
0,10,49,23,lucas,8,8,58.0,58,60,True,0.8914833068847656
