solver_id,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
0,5,0,5,exact,16,16,10.0,10,6,True,0.011175155639648438
0,5,1,5,exact,16,16,9.0,9,6,True,0.005951881408691406
0,5,2,4,exact,14,14,7.0,7,4,True,0.0063860416412353516
0,5,3,7,exact,19,19,17.0,17,10,True,0.011804342269897461
0,5,4,5,exact,16,16,8.0,8,7,True,0.005845069885253906
0,5,5,8,exact,20,20,18.0,18,14,True,0.005912065505981445
0,5,6,4,exact,14,14,8.0,8,5,True,0.005887031555175781
0,5,7,6,exact,18,18,11.0,11,10,True,0.005880117416381836
0,5,8,6,exact,18,18,11.0,11,9,True,0.0059320926666259766
0,5,9,6,exact,18,18,10.0,10,9,True,0.0058858394622802734
0,5,10,5,exact,16,16,9.0,9,7,True,0.005908966064453125
0,5,11,6,exact,18,18,13.0,13,8,True,0.00592803955078125
0,5,12,7,exact,19,19,14.0,14,12,True,0.006010770797729492
0,5,13,5,exact,16,16,10.0,10,8,True,0.005911111831665039
0,5,14,7,exact,19,19,14.0,14,11,True,0.006217002868652344
0,5,15,8,exact,20,20,14.0,14,13,True,0.005937814712524414
0,5,16,6,exact,18,18,14.0,14,8,True,0.0062847137451171875
0,5,17,7,exact,19,19,12.0,12,12,True,0.006342887878417969
0,5,18,9,exact,21,21,18.0,18,16,True,0.00692296028137207
0,5,19,10,exact,22,22,20.0,20,20,True,0.00627899169921875
0,5,20,4,exact,14,14,7.0,7,6,True,0.006170034408569336
1,5,0,5,exact,16,16,8.0,8,6,True,0.005941867828369141
1,5,1,5,exact,16,16,7.0,7,6,True,0.006214141845703125
1,5,2,4,exact,14,14,6.0,6,4,True,0.0060672760009765625
1,5,3,7,exact,19,19,11.0,11,10,True,0.006006002426147461
1,5,4,5,exact,16,16,11.0,11,7,True,0.005975961685180664
1,5,5,8,exact,20,20,16.0,16,14,True,0.006081104278564453
1,5,6,4,exact,14,14,7.0,7,5,True,0.005825996398925781
1,5,7,6,exact,18,18,11.0,11,10,True,0.0060040950775146484
1,5,8,6,exact,18,18,12.0,12,9,True,0.006001949310302734
1,5,9,6,exact,18,18,9.0,9,9,True,0.0062062740325927734
1,5,10,5,exact,16,16,10.0,10,7,True,0.005811214447021484
