solver_name,sampler_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_path,path,6,20,9,lucas,5,5,13.0,13,13,True,0.14656424522399902
QWaveSampler_path,path,6,21,9,lucas,5,5,17.0,17,17,True,0.1468958854675293
QWaveSampler_path,path,6,22,6,lucas,4,4,7.0,7,7,True,0.14635014533996582
QWaveSampler_path,path,6,23,11,lucas,6,6,21.0,21,21,True,0.14634203910827637
QWaveSampler_path,path,6,24,9,lucas,5,5,15.0,15,15,True,0.14847993850708008
QWaveSampler_path,path,6,25,10,lucas,5,5,17.0,17,17,True,0.15259480476379395
QWaveSampler_path,path,6,26,9,lucas,5,5,15.0,15,15,True,0.15841388702392578
QWaveSampler_path,path,6,27,6,lucas,4,4,8.0,8,8,True,0.14984560012817383
QWaveSampler_path,path,6,28,7,lucas,4,4,10.0,10,10,True,0.1462879180908203
QWaveSampler_path,path,6,29,9,lucas,5,5,16.0,16,16,True,0.1500687599182129
QWaveSampler_path,path,6,30,8,lucas,6,6,13.0,13,13,True,0.15316438674926758
QWaveSampler_path,path,6,31,6,lucas,4,4,10.0,10,8,True,0.1458415985107422
QWaveSampler_path,path,6,32,6,lucas,5,5,9.0,9,8,True,0.1517937183380127
QWaveSampler_path,path,6,33,5,lucas,4,4,6.0,6,6,True,0.15612268447875977
QWaveSampler_path,path,6,34,9,lucas,5,5,16.0,16,16,True,0.14592981338500977
QWaveSampler_path,path,6,35,7,lucas,6,6,11.0,11,11,True,0.14967060089111328
QWaveSampler_path,path,6,36,10,lucas,6,6,19.0,19,19,True,0.1503908634185791
QWaveSampler_path,path,6,37,10,lucas,6,6,17.0,17,19,True,0.14977192878723145
QWaveSampler_path,path,6,38,5,lucas,3,3,6.0,6,5,True,0.15015554428100586
QWaveSampler_path,path,6,39,7,lucas,4,4,11.0,11,13,True,0.15987706184387207
QWaveSampler_path,path,6,40,7,lucas,4,4,12.0,12,12,True,0.14418554306030273
QWaveSampler_path,path,6,41,8,lucas,4,4,14.0,14,15,True,0.14959287643432617
QWaveSampler_path,path,6,42,8,lucas,5,5,13.0,13,13,True,0.14809894561767578
QWaveSampler_path,path,6,43,10,lucas,5,5,16.0,16,16,True,0.14980578422546387
QWaveSampler_path,path,6,44,8,lucas,5,5,11.0,11,11,True,0.14803123474121094
QWaveSampler_path,path,6,45,10,lucas,5,5,19.0,19,19,True,0.150681734085083
QWaveSampler_path,path,6,46,8,lucas,6,6,13.0,13,14,True,0.15373635292053223
QWaveSampler_path,path,6,47,10,lucas,5,5,19.0,19,18,True,0.14601993560791016
QWaveSampler_path,path,6,48,10,lucas,5,5,18.0,18,19,True,0.1491868495941162
QWaveSampler_path,path,6,49,7,lucas,4,4,9.0,9,9,True,0.14795684814453125
QWaveSampler_path,path,8,0,16,exact,69,69,43.0,43,34,True,0.30195069313049316
QWaveSampler_path,path,8,1,18,exact,73,73,41.0,41,40,True,0.29027247428894043
QWaveSampler_path,path,8,2,12,exact,58,58,27.0,27,21,True,0.29966187477111816
QWaveSampler_path,path,8,3,17,exact,71,71,44.0,44,37,True,0.30211973190307617
QWaveSampler_path,path,8,4,15,exact,67,67,36.0,36,33,True,0.2946960926055908
QWaveSampler_path,path,8,5,15,exact,67,67,36.0,36,31,True,0.2959175109863281
QWaveSampler_path,path,8,6,14,exact,64,64,34.0,34,29,True,0.2996039390563965
QWaveSampler_path,path,8,7,12,exact,58,58,31.0,31,20,True,0.2930889129638672
QWaveSampler_path,path,8,8,12,exact,58,58,26.0,26,25,True,0.29718804359436035
QWaveSampler_path,path,8,9,16,exact,69,69,43.0,43,35,True,0.29030776023864746
QWaveSampler_path,path,8,10,15,exact,67,67,41.0,41,30,True,0.29262852668762207
QWaveSampler_path,path,8,11,16,exact,69,69,40.0,40,37,True,0.30551743507385254
QWaveSampler_path,path,8,12,13,exact,61,61,31.0,31,26,True,0.3339712619781494
QWaveSampler_path,path,8,13,16,exact,69,69,42.0,42,37,True,0.2937581539154053
QWaveSampler_path,path,8,14,18,exact,73,73,44.0,44,42,True,0.31075191497802734
QWaveSampler_path,path,8,15,12,exact,58,58,28.0,28,24,True,0.3153982162475586
QWaveSampler_path,path,8,16,14,exact,64,64,33.0,33,27,True,0.29624366760253906
QWaveSampler_path,path,8,17,14,exact,64,64,31.0,31,28,True,0.30672574043273926
QWaveSampler_path,path,8,18,9,exact,48,48,23.0,23,14,True,0.2941911220550537
QWaveSampler_path,path,8,19,21,exact,79,79,53.0,53,48,True,0.2949709892272949
QWaveSampler_path,path,8,20,13,exact,61,61,30.0,30,26,True,0.2903876304626465
QWaveSampler_path,path,8,21,14,exact,64,64,35.0,35,31,True,0.29047060012817383
QWaveSampler_path,path,8,22,19,exact,75,75,47.0,47,45,True,0.2940671443939209
QWaveSampler_path,path,8,23,13,exact,61,61,30.0,30,30,True,0.2899641990661621
QWaveSampler_path,path,8,24,13,exact,61,61,29.0,29,25,True,0.29329991340637207
QWaveSampler_path,path,8,25,16,exact,69,69,41.0,41,34,True,0.29366040229797363
QWaveSampler_path,path,8,26,17,exact,71,71,44.0,44,41,True,0.29102063179016113
QWaveSampler_path,path,8,27,13,exact,61,61,33.0,33,24,True,0.29863739013671875
QWaveSampler_path,path,8,28,14,exact,64,64,30.0,30,29,True,0.2967195510864258
QWaveSampler_path,path,8,29,12,exact,58,58,30.0,30,21,True,0.29674220085144043
QWaveSampler_path,path,8,30,16,exact,69,69,41.0,41,38,True,0.29062914848327637
QWaveSampler_path,path,8,31,13,exact,61,61,29.0,29,24,True,0.2911715507507324
QWaveSampler_path,path,8,32,17,exact,71,71,43.0,43,39,True,0.2912938594818115
QWaveSampler_path,path,8,33,14,exact,64,64,31.0,31,26,True,0.2920072078704834
QWaveSampler_path,path,8,34,12,exact,58,58,26.0,26,23,True,0.2980341911315918
QWaveSampler_path,path,8,35,11,exact,55,55,25.0,25,19,True,0.29199957847595215
QWaveSampler_path,path,8,36,12,exact,58,58,25.0,25,20,True,0.29308104515075684
QWaveSampler_path,path,8,37,13,exact,61,61,28.0,28,25,True,0.2927358150482178
QWaveSampler_path,path,8,38,16,exact,69,69,38.0,38,35,True,0.2941296100616455
QWaveSampler_path,path,8,39,18,exact,73,73,44.0,44,42,True,0.2927358150482178
QWaveSampler_path,path,8,40,15,exact,67,67,37.0,37,32,True,0.2924067974090576
QWaveSampler_path,path,8,41,14,exact,64,64,32.0,32,29,True,0.29679131507873535
QWaveSampler_path,path,8,42,12,exact,58,58,28.0,28,20,True,0.29819822311401367
QWaveSampler_path,path,8,43,14,exact,64,64,37.0,37,27,True,0.305619478225708
QWaveSampler_path,path,8,44,17,exact,71,71,44.0,44,38,True,0.2939417362213135
QWaveSampler_path,path,8,45,13,exact,61,61,31.0,31,24,True,0.30513572692871094
QWaveSampler_path,path,8,46,16,exact,69,69,36.0,36,33,True,0.29473209381103516
QWaveSampler_path,path,8,47,10,exact,52,52,23.0,23,16,True,0.2941153049468994
QWaveSampler_path,path,8,48,15,exact,67,67,36.0,36,30,True,0.29596924781799316
QWaveSampler_path,path,8,49,15,exact,67,67,35.0,35,29,True,0.29552221298217773
QWaveSampler_path,path,8,0,16,lucas,7,7,34.0,34,34,True,0.30607104301452637
QWaveSampler_path,path,8,1,18,lucas,7,7,40.0,40,40,True,0.30235910415649414
QWaveSampler_path,path,8,2,12,lucas,6,6,20.0,20,21,True,0.3058500289916992
QWaveSampler_path,path,8,3,17,lucas,7,7,37.0,37,37,True,0.3083794116973877
QWaveSampler_path,path,8,4,15,lucas,7,7,33.0,33,33,True,0.31804442405700684
QWaveSampler_path,path,8,5,15,lucas,7,7,32.0,32,31,True,0.33678412437438965
QWaveSampler_path,path,8,6,14,lucas,7,7,27.0,27,29,True,0.45815229415893555
QWaveSampler_path,path,8,7,12,lucas,7,7,21.0,21,20,True,0.6847562789916992
QWaveSampler_path,path,8,8,12,lucas,7,7,25.0,25,25,True,0.706371545791626
QWaveSampler_path,path,8,9,16,lucas,6,6,35.0,35,35,True,0.5951402187347412
QWaveSampler_path,path,8,10,15,lucas,6,6,31.0,31,30,True,0.5864291191101074
QWaveSampler_path,path,8,11,16,lucas,7,7,29.0,29,37,True,0.5921378135681152
QWaveSampler_path,path,8,12,13,lucas,5,5,26.0,26,26,True,0.6116869449615479
QWaveSampler_path,path,8,13,16,lucas,6,6,35.0,35,37,True,0.6103780269622803
QWaveSampler_path,path,8,14,18,lucas,7,7,42.0,42,42,True,0.6132311820983887
QWaveSampler_path,path,8,15,12,lucas,6,6,23.0,23,24,True,0.6242012977600098
QWaveSampler_path,path,8,16,14,lucas,6,6,27.0,27,27,True,0.5922856330871582
QWaveSampler_path,path,8,17,14,lucas,5,5,31.0,31,28,True,0.6060247421264648
QWaveSampler_path,path,8,18,9,lucas,6,6,15.0,15,14,True,0.607231616973877
QWaveSampler_path,path,8,19,21,lucas,8,8,48.0,48,48,True,0.6111152172088623
QWaveSampler_path,path,8,20,13,lucas,7,7,24.0,24,26,True,0.5756053924560547
QWaveSampler_path,path,8,21,14,lucas,7,7,29.0,29,31,True,0.6133105754852295
QWaveSampler_path,path,8,22,19,lucas,7,7,46.0,46,45,True,0.6251239776611328
QWaveSampler_path,path,8,23,13,lucas,5,5,25.0,25,30,True,0.7371406555175781
QWaveSampler_path,path,8,24,13,lucas,6,6,25.0,25,25,True,0.6142308712005615
QWaveSampler_path,path,8,25,16,lucas,6,6,34.0,34,34,True,0.6147251129150391
QWaveSampler_path,path,8,26,17,lucas,7,7,39.0,39,41,True,0.6207668781280518
QWaveSampler_path,path,8,27,13,lucas,7,7,25.0,25,24,True,0.6125249862670898
QWaveSampler_path,path,8,28,14,lucas,7,7,28.0,28,29,True,0.6187677383422852
QWaveSampler_path,path,8,29,12,lucas,6,6,23.0,23,21,True,0.5861678123474121
QWaveSampler_path,path,8,30,16,lucas,7,7,32.0,32,38,True,0.6121270656585693
QWaveSampler_path,path,8,31,13,lucas,5,5,24.0,24,24,True,0.6390178203582764
QWaveSampler_path,path,8,32,17,lucas,6,6,40.0,40,39,True,0.5867910385131836
QWaveSampler_path,path,8,33,14,lucas,6,6,26.0,26,26,True,0.6320779323577881
QWaveSampler_path,path,8,34,12,lucas,5,5,22.0,22,23,True,0.606548547744751
QWaveSampler_path,path,8,35,11,lucas,6,6,19.0,19,19,True,0.6040205955505371
QWaveSampler_path,path,8,36,12,lucas,5,5,20.0,20,20,True,0.5904433727264404
QWaveSampler_path,path,8,37,13,lucas,6,6,25.0,25,25,True,0.6270663738250732
QWaveSampler_path,path,8,38,16,lucas,6,6,35.0,35,35,True,0.621532678604126
QWaveSampler_path,path,8,39,18,lucas,7,7,42.0,42,42,True,0.6189391613006592
QWaveSampler_path,path,8,40,15,lucas,6,6,33.0,33,32,True,0.7490949630737305
QWaveSampler_path,path,8,41,14,lucas,6,6,29.0,29,29,True,0.6187574863433838
QWaveSampler_path,path,8,42,12,lucas,5,5,20.0,20,20,True,0.5938260555267334
QWaveSampler_path,path,8,43,14,lucas,7,7,27.0,27,27,True,0.6226601600646973
QWaveSampler_path,path,8,44,17,lucas,7,7,38.0,38,38,True,0.5737571716308594
QWaveSampler_path,path,8,45,13,lucas,6,6,24.0,24,24,True,0.6328227519989014
QWaveSampler_path,path,8,46,16,lucas,7,7,33.0,33,33,True,0.6355044841766357
QWaveSampler_path,path,8,47,10,lucas,5,5,17.0,17,16,True,0.6672563552856445
QWaveSampler_path,path,8,48,15,lucas,7,7,30.0,30,30,True,0.6240518093109131
QWaveSampler_path,path,8,49,15,lucas,6,6,29.0,29,29,True,0.649669885635376
QWaveSampler_path,path,11,0,25,exact,158,158,93.0,93,64,True,1.4574341773986816
QWaveSampler_path,path,11,1,31,exact,179,179,127.0,127,87,True,1.3975296020507812
QWaveSampler_path,path,11,2,26,exact,162,162,92.0,92,73,True,1.3563051223754883
QWaveSampler_path,path,11,3,30,exact,176,176,107.0,107,83,True,1.3978111743927002
QWaveSampler_path,path,11,4,29,exact,173,173,103.0,103,82,True,1.4300110340118408
QWaveSampler_path,path,11,5,33,exact,185,185,117.0,117,97,True,1.3828871250152588
QWaveSampler_path,path,11,6,31,exact,179,179,106.0,106,87,True,1.4385664463043213
QWaveSampler_path,path,11,7,24,exact,154,154,82.0,82,59,True,1.3887887001037598
QWaveSampler_path,path,11,8,26,exact,162,162,96.0,96,74,True,1.3757948875427246
QWaveSampler_path,path,11,9,29,exact,173,173,107.0,107,78,True,0.8760650157928467
QWaveSampler_path,path,11,10,27,exact,166,166,88.0,88,64,True,0.7067248821258545
QWaveSampler_path,path,11,11,27,exact,166,166,88.0,88,69,True,0.7026350498199463
QWaveSampler_path,path,11,12,24,exact,154,154,72.0,72,55,True,0.7115650177001953
QWaveSampler_path,path,11,13,29,exact,173,173,101.0,101,85,True,0.7609679698944092
QWaveSampler_path,path,11,14,22,exact,146,146,65.0,65,59,True,0.7563061714172363
QWaveSampler_path,path,11,15,27,exact,166,166,100.0,100,71,True,0.6751646995544434
QWaveSampler_path,path,11,16,24,exact,154,154,77.0,77,61,True,0.7271976470947266
QWaveSampler_path,path,11,17,31,exact,179,179,106.0,106,93,True,0.7153611183166504
QWaveSampler_path,path,11,18,29,exact,173,173,113.0,113,69,True,0.6797051429748535
QWaveSampler_path,path,11,19,32,exact,182,182,122.0,122,97,True,0.6720032691955566
QWaveSampler_path,path,11,20,24,exact,154,154,96.0,96,62,True,0.6655633449554443
QWaveSampler_path,path,11,21,27,exact,166,166,87.0,87,83,True,0.6811239719390869
QWaveSampler_path,path,11,22,24,exact,154,154,85.0,85,55,True,0.6798961162567139
QWaveSampler_path,path,11,23,31,exact,179,179,108.0,108,93,True,0.7234516143798828
QWaveSampler_path,path,11,24,31,exact,179,179,110.0,110,95,True,1.0839033126831055
QWaveSampler_path,path,11,25,28,exact,170,170,98.0,98,78,True,1.3831002712249756
QWaveSampler_path,path,11,26,22,exact,146,146,78.0,78,57,True,1.3536791801452637
QWaveSampler_path,path,11,27,26,exact,162,162,76.0,76,68,True,1.4820125102996826
QWaveSampler_path,path,11,28,27,exact,166,166,96.0,96,70,True,1.4186787605285645
QWaveSampler_path,path,11,29,29,exact,173,173,98.0,98,84,True,1.6266100406646729
QWaveSampler_path,path,11,30,25,exact,158,158,78.0,78,66,True,1.5435905456542969
QWaveSampler_path,path,11,31,28,exact,170,170,103.0,103,83,True,1.4058923721313477
QWaveSampler_path,path,11,32,26,exact,162,162,94.0,94,69,True,1.5658478736877441
QWaveSampler_path,path,11,33,31,exact,179,179,111.0,111,99,True,1.5583631992340088
QWaveSampler_path,path,11,34,28,exact,170,170,100.0,100,74,True,1.4658451080322266
QWaveSampler_path,path,11,35,34,exact,188,188,124.0,124,107,True,1.4473347663879395
QWaveSampler_path,path,11,36,25,exact,158,158,89.0,89,67,True,1.414659023284912
QWaveSampler_path,path,11,37,27,exact,166,166,86.0,86,74,True,1.4469711780548096
QWaveSampler_path,path,11,38,25,exact,158,158,85.0,85,64,True,1.5990636348724365
QWaveSampler_path,path,11,39,28,exact,170,170,97.0,97,79,True,1.6913952827453613
QWaveSampler_path,path,11,40,31,exact,179,179,105.0,105,88,True,1.4575955867767334
QWaveSampler_path,path,11,41,24,exact,154,154,92.0,92,60,True,1.5569682121276855
QWaveSampler_path,path,11,42,27,exact,166,166,99.0,99,71,True,1.5776026248931885
QWaveSampler_path,path,11,43,32,exact,182,182,111.0,111,94,True,1.463123083114624
QWaveSampler_path,path,11,44,23,exact,150,150,79.0,79,53,True,1.5913615226745605
QWaveSampler_path,path,11,45,27,exact,166,166,91.0,91,69,True,1.460216760635376
QWaveSampler_path,path,11,46,26,exact,162,162,75.0,75,67,True,1.4839212894439697
QWaveSampler_path,path,11,47,24,exact,154,154,77.0,77,63,True,1.5167896747589111
QWaveSampler_path,path,11,48,27,exact,166,166,110.0,110,78,True,1.454373836517334
QWaveSampler_path,path,11,49,19,exact,132,132,61.0,61,47,True,1.4903044700622559
QWaveSampler_path,path,11,0,25,lucas,8,8,66.0,66,64,True,1.5170612335205078
QWaveSampler_path,path,11,1,31,lucas,10,10,92.0,92,87,True,1.5062053203582764
QWaveSampler_path,path,11,2,26,lucas,9,9,72.0,72,73,True,1.5375168323516846
QWaveSampler_path,path,11,3,30,lucas,9,9,83.0,83,83,True,1.5703299045562744
QWaveSampler_path,path,11,4,29,lucas,8,8,79.0,79,82,True,1.5782012939453125
QWaveSampler_path,path,11,5,33,lucas,9,9,94.0,94,97,True,1.5811030864715576
QWaveSampler_path,path,11,6,31,lucas,9,9,91.0,91,87,True,1.5076854228973389
QWaveSampler_path,path,11,7,24,lucas,7,7,59.0,59,59,True,1.4577231407165527
QWaveSampler_path,path,11,8,26,lucas,7,7,75.0,75,74,True,1.489992380142212
