solver,penalty,num_sweeps,beta_min,beta_max,beta_schedule_type,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
PathIntegralAnnealingSampler,exact,500,0.01,0.3,geometric,0.4,1.6412037037037035,1.0998,25
PathIntegralAnnealingSampler,exact,500,0.01,0.3,linear,0.4,1.6976851851851849,1.10872,25
PathIntegralAnnealingSampler,exact,500,0.01,0.5,geometric,0.52,1.81165899627438,1.1030799999999998,25
PathIntegralAnnealingSampler,exact,500,0.01,0.5,linear,0.4,1.6965740740740738,1.1251600000000002,25
PathIntegralAnnealingSampler,exact,500,0.01,1.0,geometric,0.56,1.8359483109483103,1.1251200000000001,25
PathIntegralAnnealingSampler,exact,500,0.01,1.0,linear,0.4,1.6138888888888885,1.1664400000000001,25
PathIntegralAnnealingSampler,exact,500,0.01,5.0,geometric,0.64,1.802023111665204,1.3552800000000003,25
PathIntegralAnnealingSampler,exact,500,0.01,5.0,linear,0.44,1.6939652939652936,1.7942799999999999,25
PathIntegralAnnealingSampler,exact,500,0.01,10.0,geometric,0.6,1.7892924976258302,1.7666400000000002,25
PathIntegralAnnealingSampler,exact,500,0.01,10.0,linear,0.4,1.616944444444444,2.80384,25
PathIntegralAnnealingSampler,exact,500,0.1,0.1,geometric,0.36,1.8889917695473248,1.11764,25
PathIntegralAnnealingSampler,exact,500,0.1,0.1,linear,0.36,1.8889917695473248,1.1244800000000001,25
PathIntegralAnnealingSampler,exact,500,0.1,0.3,geometric,0.2,1.9938888888888886,1.1348399999999998,25
PathIntegralAnnealingSampler,exact,500,0.1,0.3,linear,0.28,1.8402116402116402,1.13036,25
PathIntegralAnnealingSampler,exact,500,0.1,0.5,geometric,0.28,1.951984126984127,1.16592,25
PathIntegralAnnealingSampler,exact,500,0.1,0.5,linear,0.28,1.9522486772486771,1.14828,25
PathIntegralAnnealingSampler,exact,500,0.1,1.0,geometric,0.28,1.9174603174603173,1.13928,25
PathIntegralAnnealingSampler,exact,500,0.1,1.0,linear,0.28,1.8599206349206348,1.1712,25
PathIntegralAnnealingSampler,exact,500,0.1,5.0,geometric,0.48,1.6893993352326682,1.4576,25
PathIntegralAnnealingSampler,exact,500,0.1,5.0,linear,0.4,1.5896296296296293,1.71144,25
PathIntegralAnnealingSampler,exact,500,0.1,10.0,geometric,0.6,1.8198812915479576,1.83932,25
PathIntegralAnnealingSampler,exact,500,0.1,10.0,linear,0.4,1.6347222222222222,2.52756,25
PathIntegralAnnealingSampler,exact,500,0.5,0.5,geometric,0.28,1.8291005291005291,1.2084800000000002,25
PathIntegralAnnealingSampler,exact,500,0.5,0.5,linear,0.28,1.8291005291005291,1.2102,25
PathIntegralAnnealingSampler,exact,500,0.5,1.0,geometric,0.28,1.7892857142857141,1.2034799999999999,25
PathIntegralAnnealingSampler,exact,500,0.5,1.0,linear,0.16,1.8821759259259256,1.19284,25
PathIntegralAnnealingSampler,exact,500,0.5,5.0,geometric,0.4,1.6998148148148147,1.58636,25
PathIntegralAnnealingSampler,exact,500,0.5,5.0,linear,0.4,1.8343518518518522,1.7234,25
PathIntegralAnnealingSampler,exact,500,0.5,10.0,geometric,0.4,1.6074074074074072,2.10296,25
PathIntegralAnnealingSampler,exact,500,0.5,10.0,linear,0.4,1.7508333333333332,2.51632,25
PathIntegralAnnealingSampler,exact,1000,1e-09,0.1,geometric,0.4,1.695462962962963,2.1662,25
PathIntegralAnnealingSampler,exact,1000,1e-09,0.1,linear,0.52,1.7623000219154057,2.19868,25
PathIntegralAnnealingSampler,exact,1000,1e-09,0.3,geometric,0.4,1.811759259259259,2.17008,25
PathIntegralAnnealingSampler,exact,1000,1e-09,0.3,linear,0.44,1.739368039368039,2.23096,25
PathIntegralAnnealingSampler,exact,1000,1e-09,0.5,geometric,0.4,1.7166666666666663,2.17632,25
PathIntegralAnnealingSampler,exact,1000,1e-09,0.5,linear,0.4,1.6410185185185182,2.2295999999999996,25
PathIntegralAnnealingSampler,exact,1000,1e-09,1.0,geometric,0.4,1.6429629629629627,2.2044,25
PathIntegralAnnealingSampler,exact,1000,1e-09,1.0,linear,0.4,1.6737962962962958,2.32012,25
PathIntegralAnnealingSampler,exact,1000,1e-09,5.0,geometric,0.4,1.7263888888888885,2.42436,25
PathIntegralAnnealingSampler,exact,1000,1e-09,5.0,linear,0.44,1.6466912716912712,3.8413199999999996,25
PathIntegralAnnealingSampler,exact,1000,1e-09,10.0,geometric,0.48,1.793566001899335,2.72808,25
PathIntegralAnnealingSampler,exact,1000,1e-09,10.0,linear,0.44,1.6513273763273757,5.97808,25
PathIntegralAnnealingSampler,exact,1000,0.01,0.1,geometric,0.56,1.7902167277167271,2.19792,25
PathIntegralAnnealingSampler,exact,1000,0.01,0.1,linear,0.44,1.7143486143486137,2.20772,25
PathIntegralAnnealingSampler,exact,1000,0.01,0.3,geometric,0.52,1.7583936007012926,2.2134,25
PathIntegralAnnealingSampler,exact,1000,0.01,0.3,linear,0.4,1.6384259259259255,2.2168799999999997,25
PathIntegralAnnealingSampler,exact,1000,0.01,0.5,geometric,0.52,1.7730495288187593,2.21312,25
PathIntegralAnnealingSampler,exact,1000,0.01,0.5,linear,0.44,1.7334239834239833,2.26304,25
PathIntegralAnnealingSampler,exact,1000,0.01,1.0,geometric,0.6,1.8392070275403605,2.24436,25
PathIntegralAnnealingSampler,exact,1000,0.01,1.0,linear,0.4,1.598611111111111,2.30544,25
PathIntegralAnnealingSampler,exact,1000,0.01,5.0,geometric,0.68,1.7674378034797662,2.65164,25
PathIntegralAnnealingSampler,exact,1000,0.01,5.0,linear,0.56,1.790969678469678,3.5601599999999998,25
PathIntegralAnnealingSampler,exact,1000,0.01,10.0,geometric,0.84,1.7757949995689244,3.3827200000000004,25
PathIntegralAnnealingSampler,exact,1000,0.01,10.0,linear,0.52,1.7437979399517856,5.52264,25
PathIntegralAnnealingSampler,exact,1000,0.1,0.1,geometric,0.2,1.9057407407407407,2.2224,25
PathIntegralAnnealingSampler,exact,1000,0.1,0.1,linear,0.2,1.9057407407407407,2.21968,25
PathIntegralAnnealingSampler,exact,1000,0.1,0.3,geometric,0.28,1.9333333333333331,2.2552000000000003,25
PathIntegralAnnealingSampler,exact,1000,0.1,0.3,linear,0.32,1.8591435185185183,2.3236,25
PathIntegralAnnealingSampler,exact,1000,0.1,0.5,geometric,0.24,1.9479938271604935,2.24008,25
PathIntegralAnnealingSampler,exact,1000,0.1,0.5,linear,0.28,1.8735449735449736,2.2902,25
PathIntegralAnnealingSampler,exact,1000,0.1,1.0,geometric,0.32,1.8478009259259258,2.28428,25
PathIntegralAnnealingSampler,exact,1000,0.1,1.0,linear,0.28,1.9648148148148148,2.3376,25
PathIntegralAnnealingSampler,exact,1000,0.1,5.0,geometric,0.52,1.7956223975454741,2.87072,25
PathIntegralAnnealingSampler,exact,1000,0.1,5.0,linear,0.4,1.5996296296296293,3.37924,25
PathIntegralAnnealingSampler,exact,1000,0.1,10.0,geometric,0.6,1.7447293447293442,3.6314800000000003,25
PathIntegralAnnealingSampler,exact,1000,0.1,10.0,linear,0.4,1.607037037037037,5.03648,25
PathIntegralAnnealingSampler,exact,1000,0.5,0.5,geometric,0.2,1.8324074074074073,2.3416,25
PathIntegralAnnealingSampler,exact,1000,0.5,0.5,linear,0.2,1.8324074074074073,2.3517599999999996,25
PathIntegralAnnealingSampler,exact,1000,0.5,1.0,geometric,0.16,1.8604166666666666,2.3719200000000003,25
PathIntegralAnnealingSampler,exact,1000,0.5,1.0,linear,0.28,1.7107142857142854,2.3798,25
PathIntegralAnnealingSampler,exact,1000,0.5,5.0,geometric,0.4,1.7520370370370368,3.1906,25
PathIntegralAnnealingSampler,exact,1000,0.5,5.0,linear,0.36,1.7663580246913577,3.4614,25
PathIntegralAnnealingSampler,exact,1000,0.5,10.0,geometric,0.4,1.5666666666666664,4.23996,25
PathIntegralAnnealingSampler,exact,1000,0.5,10.0,linear,0.44,1.7675407925407922,5.03812,25
PathIntegralAnnealingSampler,lucas,100,1e-09,0.1,geometric,0.0,,0.22328,25
PathIntegralAnnealingSampler,lucas,100,1e-09,0.1,linear,0.0,,0.22880000000000003,25
PathIntegralAnnealingSampler,lucas,100,1e-09,0.3,geometric,0.0,,0.2396,25
PathIntegralAnnealingSampler,lucas,100,1e-09,0.3,linear,0.04,1.75,0.23107999999999998,25
PathIntegralAnnealingSampler,lucas,100,1e-09,0.5,geometric,0.04,1.775,0.2284,25
PathIntegralAnnealingSampler,lucas,100,1e-09,0.5,linear,0.4,1.50069115175281,0.2364,25
PathIntegralAnnealingSampler,lucas,100,1e-09,1.0,geometric,0.28,1.6484126984126983,0.22791999999999998,25
PathIntegralAnnealingSampler,lucas,100,1e-09,1.0,linear,0.48,1.4346569325735992,0.24872,25
PathIntegralAnnealingSampler,lucas,100,1e-09,5.0,geometric,0.28,1.650132275132275,0.25144,25
PathIntegralAnnealingSampler,lucas,100,1e-09,5.0,linear,0.48,1.372578347578347,0.42564,25
PathIntegralAnnealingSampler,lucas,100,1e-09,10.0,geometric,0.32,1.5469907407407404,0.28452,25
PathIntegralAnnealingSampler,lucas,100,1e-09,10.0,linear,0.44,1.379092204092204,0.65404,25
PathIntegralAnnealingSampler,lucas,100,0.01,0.1,geometric,0.0,,0.22779999999999997,25
PathIntegralAnnealingSampler,lucas,100,0.01,0.1,linear,0.0,,0.2262,25
PathIntegralAnnealingSampler,lucas,100,0.01,0.3,geometric,0.04,1.85,0.22668,25
PathIntegralAnnealingSampler,lucas,100,0.01,0.3,linear,0.0,,0.22943999999999998,25
PathIntegralAnnealingSampler,lucas,100,0.01,0.5,geometric,0.12,1.6419753086419748,0.23039999999999997,25
PathIntegralAnnealingSampler,lucas,100,0.01,0.5,linear,0.44,1.5139212639212636,0.23455999999999996,25
PathIntegralAnnealingSampler,lucas,100,0.01,1.0,geometric,0.4,1.4484900284900282,0.23676000000000003,25
PathIntegralAnnealingSampler,lucas,100,0.01,1.0,linear,0.56,1.467266992266992,0.24936,25
PathIntegralAnnealingSampler,lucas,100,0.01,5.0,geometric,0.4,1.467685185185185,0.31588,25
PathIntegralAnnealingSampler,lucas,100,0.01,5.0,linear,0.52,1.416617357001972,0.42332000000000003,25
PathIntegralAnnealingSampler,lucas,100,0.01,10.0,geometric,0.4,1.4652777777777775,0.40732,25
PathIntegralAnnealingSampler,lucas,100,0.01,10.0,linear,0.48,1.4181920702754034,0.6546,25
PathIntegralAnnealingSampler,lucas,100,0.1,0.1,geometric,0.0,,0.22788,25
PathIntegralAnnealingSampler,lucas,100,0.1,0.1,linear,0.0,,0.22848,25
PathIntegralAnnealingSampler,lucas,100,0.1,0.3,geometric,0.0,,0.23192000000000002,25
PathIntegralAnnealingSampler,lucas,100,0.1,0.3,linear,0.04,1.7592592592592589,0.23235999999999998,25
PathIntegralAnnealingSampler,lucas,100,0.1,0.5,geometric,0.24,1.4858736942070274,0.23292000000000002,25
PathIntegralAnnealingSampler,lucas,100,0.1,0.5,linear,0.44,1.4741946220100617,0.23595999999999998,25
PathIntegralAnnealingSampler,lucas,100,0.1,1.0,geometric,0.56,1.5234890109890105,0.24236000000000002,25
PathIntegralAnnealingSampler,lucas,100,0.1,1.0,linear,0.56,1.5163563288563287,0.24688000000000002,25
PathIntegralAnnealingSampler,lucas,100,0.1,5.0,geometric,0.44,1.4434278684278683,0.34232,25
PathIntegralAnnealingSampler,lucas,100,0.1,5.0,linear,0.52,1.4173515231207536,0.4216,25
PathIntegralAnnealingSampler,lucas,100,0.1,10.0,geometric,0.52,1.5262217839140912,0.45756,25
PathIntegralAnnealingSampler,lucas,100,0.1,10.0,linear,0.52,1.4185678281832126,0.64872,25
PathIntegralAnnealingSampler,lucas,100,0.5,0.5,geometric,0.4,1.5206196581196576,0.24175999999999997,25
PathIntegralAnnealingSampler,lucas,100,0.5,0.5,linear,0.4,1.5206196581196576,0.24595999999999996,25
PathIntegralAnnealingSampler,lucas,100,0.5,1.0,geometric,0.56,1.502045177045177,0.25084,25
PathIntegralAnnealingSampler,lucas,100,0.5,1.0,linear,0.44,1.3896982646982645,0.25279999999999997,25
PathIntegralAnnealingSampler,lucas,100,0.5,5.0,geometric,0.6,1.4659756434143756,0.36316000000000004,25
PathIntegralAnnealingSampler,lucas,100,0.5,5.0,linear,0.68,1.4433411391522308,0.4063600000000001,25
PathIntegralAnnealingSampler,lucas,100,0.5,10.0,geometric,0.44,1.3509259259259259,0.51588,25
PathIntegralAnnealingSampler,lucas,100,0.5,10.0,linear,0.48,1.3649869420702752,0.6465599999999999,25
PathIntegralAnnealingSampler,lucas,500,1e-09,0.1,geometric,0.0,,1.09408,25
PathIntegralAnnealingSampler,lucas,500,1e-09,0.1,linear,0.0,,1.10364,25
PathIntegralAnnealingSampler,lucas,500,1e-09,0.3,geometric,0.0,,1.09696,25
PathIntegralAnnealingSampler,lucas,500,1e-09,0.3,linear,0.04,1.521157098975829,1.1347199999999997,25
PathIntegralAnnealingSampler,lucas,500,1e-09,0.5,geometric,0.2,1.5564814814814811,1.10752,25
PathIntegralAnnealingSampler,lucas,500,1e-09,0.5,linear,0.64,1.4626692015165923,1.153,25
PathIntegralAnnealingSampler,lucas,500,1e-09,1.0,geometric,0.4,1.4062037037037034,1.09732,25
PathIntegralAnnealingSampler,lucas,500,1e-09,1.0,linear,0.76,1.421974985510504,1.2139600000000002,25
PathIntegralAnnealingSampler,lucas,500,1e-09,5.0,geometric,0.44,1.434421134421134,1.2216799999999999,25
PathIntegralAnnealingSampler,lucas,500,1e-09,5.0,linear,0.68,1.3743420446140453,1.9450000000000003,25
PathIntegralAnnealingSampler,lucas,500,1e-09,10.0,geometric,0.4,1.4398148148148147,1.37168,25
PathIntegralAnnealingSampler,lucas,500,1e-09,10.0,linear,0.72,1.3700498858554693,2.8658000000000006,25
PathIntegralAnnealingSampler,lucas,500,0.01,0.1,geometric,0.0,,1.1030000000000002,25
PathIntegralAnnealingSampler,lucas,500,0.01,0.1,linear,0.0,,1.11072,25
PathIntegralAnnealingSampler,lucas,500,0.01,0.3,geometric,0.04,1.2407407407407405,1.11672,25
