n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
10,26,1e-09,1,True,linear,default,42,4.0805369127517865,False,,,,0.362
10,26,1e-09,1,True,linear,default,123,3.5838926174497745,False,,,,0.374
10,26,1e-09,1,True,linear,default,456,3.617449664429632,False,,,,0.358
10,26,1e-09,1,True,linear,default,789,3.234899328859168,False,,,,0.355
10,26,1e-09,1,True,linear,default,999,4.671140939597422,False,,,,0.353
10,26,1e-09,1,True,power (1/2),default,42,3.9194630872484337,False,,,,0.329
10,26,1e-09,1,True,power (1/2),default,123,4.5033557046980945,False,,,,0.322
10,26,1e-09,1,True,power (1/2),default,456,3.3221476510068273,False,,,,0.329
10,26,1e-09,1,True,power (1/2),default,789,3.724832214765212,False,,,,0.332
10,26,1e-09,1,True,power (1/2),default,999,4.73154362416118,False,,,,0.331
10,26,1e-09,1,True,power (2),default,42,3.8926174496645336,False,,,,0.388
