solver,penalty,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,5.0,linear,True,78.0,54.000000000000014,1.444444444444444,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,5.0,geometric,True,66.0,54.000000000000014,1.222222222222222,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,5.0,geometric,True,77.0,54.000000000000014,1.4259259259259256,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,5.0,geometric,True,77.0,54.000000000000014,1.4259259259259256,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,5.0,geometric,True,77.0,54.000000000000014,1.4259259259259256,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,5.0,geometric,True,82.0,54.000000000000014,1.5185185185185182,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,10.0,linear,True,79.0,54.000000000000014,1.4629629629629626,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,10.0,linear,True,76.0,54.000000000000014,1.407407407407407,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,10.0,linear,True,79.0,54.000000000000014,1.4629629629629626,0.001
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,10.0,linear,True,72.0,54.000000000000014,1.333333333333333,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,10.0,linear,True,89.0,54.000000000000014,1.6481481481481477,0.001
SimulatedAnnealingSampler,lucas,10,26,100,42,100,1e-09,10.0,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,1e-09,10.0,geometric,True,81.0,54.000000000000014,1.4999999999999996,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,1e-09,10.0,geometric,True,82.0,54.000000000000014,1.5185185185185182,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,1e-09,10.0,geometric,True,73.0,54.000000000000014,1.3518518518518514,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,1e-09,10.0,geometric,True,75.0,54.000000000000014,1.3888888888888886,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,0.1,linear,False,,54.000000000000014,,0.002
