solver,num_sweeps,beta_min,beta_max,trotters,gamma,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
OpenJijSQA,500,1.0,1.0,4,10.0,0.4,1.4659507094319102,0.5172,25
OpenJijSQA,500,1.0,1.0,4,30.0,0.48,1.431051035532963,0.5189199999999999,25
OpenJijSQA,500,1.0,1.0,8,0.0,0.0,,0.39580000000000004,10
OpenJijSQA,500,1.0,1.0,8,1.0,0.0,,0.47376000000000007,25
OpenJijSQA,500,1.0,1.0,8,3.0,0.16,1.4444444444444442,0.54088,25
OpenJijSQA,500,1.0,1.0,8,10.0,0.44,1.524494949494949,0.67488,25
OpenJijSQA,500,1.0,1.0,8,30.0,0.28,1.4929283679283678,0.70844,25
OpenJijSQA,500,2.0,2.0,2,1.0,0.32,1.2972667378917375,0.43404000000000004,25
OpenJijSQA,500,2.0,2.0,2,3.0,0.36,1.3606204495093381,0.44160000000000005,25
OpenJijSQA,500,2.0,2.0,2,10.0,0.16,1.2499999999999996,0.44383999999999996,25
OpenJijSQA,500,2.0,2.0,2,30.0,0.24,1.298148148148148,0.44396,25
OpenJijSQA,500,2.0,2.0,4,1.0,0.48,1.4966999050332381,0.45964000000000005,25
OpenJijSQA,500,2.0,2.0,4,3.0,0.52,1.3973265955523062,0.49544000000000005,25
OpenJijSQA,500,2.0,2.0,4,10.0,0.48,1.4480591168091161,0.4968,25
OpenJijSQA,500,2.0,2.0,4,30.0,0.24,1.3368827160493826,0.49784,25
OpenJijSQA,500,2.0,2.0,8,1.0,0.36,1.5632557771446658,0.4927600000000001,25
OpenJijSQA,500,2.0,2.0,8,3.0,0.6,1.4415541465765433,0.57776,25
OpenJijSQA,500,2.0,2.0,8,10.0,0.56,1.3870121220782818,0.63924,25
OpenJijSQA,500,2.0,2.0,8,30.0,0.44,1.3811377242030565,0.6433199999999999,25
OpenJijSQA,500,3.0,3.0,2,1.0,0.44,1.4104636104636101,0.43596,25
OpenJijSQA,500,3.0,3.0,2,3.0,0.24,1.3840811965811965,0.43856,25
OpenJijSQA,500,3.0,3.0,2,10.0,0.08,1.231481481481481,0.43756,25
OpenJijSQA,500,3.0,3.0,2,30.0,0.16,1.3252314814814814,0.43796000000000007,25
OpenJijSQA,500,3.0,3.0,4,1.0,0.52,1.4185574020790825,0.4716,25
OpenJijSQA,500,3.0,3.0,4,3.0,0.4,1.3584188034188034,0.48712000000000005,25
OpenJijSQA,500,3.0,3.0,4,10.0,0.32,1.3640788267603314,0.48772,25
OpenJijSQA,500,3.0,3.0,4,30.0,0.24,1.3628323836657164,0.4866,25
OpenJijSQA,500,3.0,3.0,8,1.0,0.4,1.4433831908831904,0.50896,25
OpenJijSQA,500,3.0,3.0,8,3.0,0.64,1.3895093764121285,0.5832799999999999,25
OpenJijSQA,500,3.0,3.0,8,10.0,0.52,1.376479289940828,0.6047199999999999,25
