solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,10,26,100,42,500,1e-09,10,geometric,True,72.0,54.000000000000014,1.333333333333333,0.009
SimulatedAnnealingSampler,10,26,100,123,500,1e-09,10,geometric,True,66.0,54.000000000000014,1.222222222222222,0.009
SimulatedAnnealingSampler,10,26,100,456,500,1e-09,10,geometric,True,68.0,54.000000000000014,1.2592592592592589,0.009
SimulatedAnnealingSampler,10,26,100,789,500,1e-09,10,geometric,True,67.0,54.000000000000014,1.2407407407407405,0.009
SimulatedAnnealingSampler,10,26,100,999,500,1e-09,10,geometric,True,74.0,54.000000000000014,1.37037037037037,0.009
SimulatedAnnealingSampler,10,26,100,42,500,0.01,1,linear,True,66.0,54.000000000000014,1.222222222222222,0.005
SimulatedAnnealingSampler,10,26,100,123,500,0.01,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.006
SimulatedAnnealingSampler,10,26,100,456,500,0.01,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.005
SimulatedAnnealingSampler,10,26,100,789,500,0.01,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.005
SimulatedAnnealingSampler,10,26,100,999,500,0.01,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.006
SimulatedAnnealingSampler,10,26,100,42,500,0.01,1,geometric,True,64.0,54.000000000000014,1.185185185185185,0.01
SimulatedAnnealingSampler,10,26,100,123,500,0.01,1,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.011
SimulatedAnnealingSampler,10,26,100,456,500,0.01,1,geometric,True,66.0,54.000000000000014,1.222222222222222,0.011
SimulatedAnnealingSampler,10,26,100,789,500,0.01,1,geometric,True,67.0,54.000000000000014,1.2407407407407405,0.011
SimulatedAnnealingSampler,10,26,100,999,500,0.01,1,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.01
SimulatedAnnealingSampler,10,26,100,42,1000,1e-09,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.011
SimulatedAnnealingSampler,10,26,100,123,1000,1e-09,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.01
SimulatedAnnealingSampler,10,26,100,456,1000,1e-09,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.01
SimulatedAnnealingSampler,10,26,100,789,1000,1e-09,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.01
SimulatedAnnealingSampler,10,26,100,999,1000,1e-09,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.011
SimulatedAnnealingSampler,10,26,100,42,1000,1e-09,1,geometric,True,66.0,54.000000000000014,1.222222222222222,0.018
SimulatedAnnealingSampler,10,26,100,123,1000,1e-09,1,geometric,True,67.0,54.000000000000014,1.2407407407407405,0.018
SimulatedAnnealingSampler,10,26,100,456,1000,1e-09,1,geometric,True,64.0,54.000000000000014,1.185185185185185,0.018
SimulatedAnnealingSampler,10,26,100,789,1000,1e-09,1,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.018
SimulatedAnnealingSampler,10,26,100,999,1000,1e-09,1,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.018
SimulatedAnnealingSampler,10,26,100,42,1000,1e-09,10,linear,True,69.0,54.000000000000014,1.2777777777777777,0.003
SimulatedAnnealingSampler,10,26,100,123,1000,1e-09,10,linear,True,67.0,54.000000000000014,1.2407407407407405,0.004
SimulatedAnnealingSampler,10,26,100,456,1000,1e-09,10,linear,True,68.0,54.000000000000014,1.2592592592592589,0.003
SimulatedAnnealingSampler,10,26,100,789,1000,1e-09,10,linear,True,66.0,54.000000000000014,1.222222222222222,0.004
SimulatedAnnealingSampler,10,26,100,999,1000,1e-09,10,linear,True,66.0,54.000000000000014,1.222222222222222,0.003
SimulatedAnnealingSampler,10,26,100,42,1000,1e-09,10,geometric,True,73.0,54.000000000000014,1.3518518518518514,0.016
SimulatedAnnealingSampler,10,26,100,123,1000,1e-09,10,geometric,True,66.0,54.000000000000014,1.222222222222222,0.016
SimulatedAnnealingSampler,10,26,100,456,1000,1e-09,10,geometric,True,68.0,54.000000000000014,1.2592592592592589,0.016
SimulatedAnnealingSampler,10,26,100,789,1000,1e-09,10,geometric,True,64.0,54.000000000000014,1.185185185185185,0.017
SimulatedAnnealingSampler,10,26,100,999,1000,1e-09,10,geometric,True,66.0,54.000000000000014,1.222222222222222,0.017
SimulatedAnnealingSampler,10,26,100,42,1000,0.01,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.01
SimulatedAnnealingSampler,10,26,100,123,1000,0.01,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.01
SimulatedAnnealingSampler,10,26,100,456,1000,0.01,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.01
SimulatedAnnealingSampler,10,26,100,789,1000,0.01,1,linear,True,65.0,54.000000000000014,1.2037037037037033,0.01
SimulatedAnnealingSampler,10,26,100,999,1000,0.01,1,linear,True,64.0,54.000000000000014,1.185185185185185,0.01
SimulatedAnnealingSampler,10,26,100,42,1000,0.01,1,geometric,True,64.0,54.000000000000014,1.185185185185185,0.02
