solver,num_sweeps,beta_min,beta_max,beta_schedule_type,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
SimulatedAnnealingSampler,100,1e-09,10,geometric,0.32,1.5158564814814812,0.0102,25
SimulatedAnnealingSampler,100,1e-09,10,linear,0.36,1.5950617283950619,0.0027600000000000003,25
SimulatedAnnealingSampler,100,1e-09,100,geometric,0.36,1.5489711934156378,0.0094,25
SimulatedAnnealingSampler,100,1e-09,100,linear,0.12,1.6305555555555553,0.00248,25
SimulatedAnnealingSampler,100,0.01,1,geometric,0.4,1.3875925925925927,0.0074399999999999996,25
SimulatedAnnealingSampler,100,0.01,1,linear,0.6,1.4921367521367517,0.0044399999999999995,25
SimulatedAnnealingSampler,100,0.01,10,geometric,0.44,1.4555944055944052,0.00576,25
SimulatedAnnealingSampler,100,0.01,10,linear,0.4,1.5999999999999996,0.0027600000000000003,25
SimulatedAnnealingSampler,100,0.01,100,geometric,0.52,1.4908064869603328,0.00504,25
SimulatedAnnealingSampler,100,0.01,100,linear,0.16,1.7884259259259259,0.00244,25
SimulatedAnnealingSampler,100,0.1,1,geometric,0.48,1.4292556980056978,0.00432,25
SimulatedAnnealingSampler,100,0.1,1,linear,0.56,1.4908221408221405,0.00396,25
SimulatedAnnealingSampler,100,0.1,10,geometric,0.52,1.4415406530791144,0.0034800000000000005,25
SimulatedAnnealingSampler,100,0.1,10,linear,0.28,1.5335978835978834,0.00256,25
SimulatedAnnealingSampler,100,0.1,100,geometric,0.52,1.5351030024106942,0.0030000000000000005,25
SimulatedAnnealingSampler,100,0.1,100,linear,0.08,1.8875,0.0024,25
SimulatedAnnealingSampler,500,1e-09,1,geometric,0.52,1.466200964277887,0.0472,25
SimulatedAnnealingSampler,500,1e-09,1,linear,0.6,1.3923076923076922,0.01412,25
SimulatedAnnealingSampler,500,1e-09,10,geometric,0.48,1.4443079297245962,0.04232,25
SimulatedAnnealingSampler,500,1e-09,10,linear,0.48,1.4345916429249759,0.0048,25
SimulatedAnnealingSampler,500,1e-09,100,geometric,0.44,1.4434861434861432,0.038919999999999996,25
SimulatedAnnealingSampler,500,1e-09,100,linear,0.36,1.5932098765432097,0.0030400000000000006,25
SimulatedAnnealingSampler,500,0.01,1,geometric,0.68,1.4472944407648776,0.02848,25
SimulatedAnnealingSampler,500,0.01,1,linear,0.68,1.4117579021216746,0.013680000000000001,25
SimulatedAnnealingSampler,500,0.01,10,geometric,0.56,1.4501577126577119,0.02028,25
SimulatedAnnealingSampler,500,0.01,10,linear,0.44,1.4065527065527064,0.0047599999999999995,25
SimulatedAnnealingSampler,500,0.01,100,geometric,0.6,1.4533048433048428,0.015960000000000002,25
SimulatedAnnealingSampler,500,0.01,100,linear,0.32,1.7313657407407406,0.0030000000000000005,25
SimulatedAnnealingSampler,500,0.1,1,geometric,0.84,1.4142865651707148,0.01336,25
SimulatedAnnealingSampler,500,0.1,1,linear,0.8,1.4062524926834346,0.011359999999999999,25
SimulatedAnnealingSampler,500,0.1,10,geometric,0.6,1.4244919278252608,0.008799999999999999,25
SimulatedAnnealingSampler,500,0.1,10,linear,0.4,1.400462962962963,0.0046,25
SimulatedAnnealingSampler,500,0.1,100,geometric,0.6,1.4549240265906929,0.007040000000000001,25
SimulatedAnnealingSampler,500,0.1,100,linear,0.32,1.7223379629629627,0.0030000000000000005,25
SimulatedAnnealingSampler,1000,1e-09,1,geometric,0.56,1.4465506715506713,0.09036000000000001,25
SimulatedAnnealingSampler,1000,1e-09,1,linear,0.8,1.3897191831582183,0.025920000000000002,25
SimulatedAnnealingSampler,1000,1e-09,10,geometric,0.56,1.4688441188441188,0.08164000000000002,25
SimulatedAnnealingSampler,1000,1e-09,10,linear,0.48,1.400089031339031,0.00728,25
SimulatedAnnealingSampler,1000,1e-09,100,geometric,0.52,1.4429646371648788,0.07440000000000001,25
SimulatedAnnealingSampler,1000,1e-09,100,linear,0.32,1.5625,0.004359999999999999,25
SimulatedAnnealingSampler,1000,0.01,1,geometric,0.76,1.4142844736878888,0.053680000000000005,25
SimulatedAnnealingSampler,1000,0.01,1,linear,0.8,1.3896358388112655,0.02512,25
SimulatedAnnealingSampler,1000,0.01,10,geometric,0.68,1.4267780031972017,0.0378,25
SimulatedAnnealingSampler,1000,0.01,10,linear,0.48,1.423628917378917,0.007039999999999999,25
SimulatedAnnealingSampler,1000,0.01,100,geometric,0.68,1.4246520354952847,0.029480000000000003,25
SimulatedAnnealingSampler,1000,0.01,100,linear,0.4,1.5266666666666664,0.004399999999999999,25
SimulatedAnnealingSampler,1000,0.1,1,geometric,0.88,1.3951233606664537,0.024319999999999998,25
SimulatedAnnealingSampler,1000,0.1,1,linear,0.8,1.3889146895568634,0.0202,25
SimulatedAnnealingSampler,1000,0.1,10,geometric,0.8,1.3967364726036071,0.01524,25
SimulatedAnnealingSampler,1000,0.1,10,linear,0.6,1.4505935422602085,0.0066,25
SimulatedAnnealingSampler,1000,0.1,100,geometric,0.68,1.4273624061319812,0.01164,25
SimulatedAnnealingSampler,1000,0.1,100,linear,0.4,1.5771296296296295,0.0041199999999999995,25
