n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,1e-09,1,False,linear,default,42,996.0,False,,7.991
25,151,1e-09,1,False,linear,default,123,1010.0,False,,8.01
25,151,1e-09,1,False,linear,default,456,986.0,False,,8.039
25,151,1e-09,1,False,linear,default,789,1001.0,False,,7.911
25,151,1e-09,1,False,linear,default,999,1002.0,False,,8.028
25,151,1e-09,1,False,power (1/2),default,42,1013.0,False,,7.647
25,151,1e-09,1,False,power (1/2),default,123,1031.0,False,,7.54
25,151,1e-09,1,False,power (1/2),default,456,1011.0,False,,7.665
25,151,1e-09,1,False,power (1/2),default,789,1017.0,False,,32.507
25,151,1e-09,1,False,power (1/2),default,999,1020.0,False,,32.439
25,151,1e-09,1,False,power (2),default,42,1016.0,False,,8.6
25,151,1e-09,1,False,power (2),default,123,994.0,False,,8.832
25,151,1e-09,1,False,power (2),default,456,1004.0,False,,118.342
25,151,1e-09,1,False,power (2),default,789,993.0,False,,8.83
25,151,1e-09,1,False,power (2),default,999,994.0,False,,25.325
25,151,1e-09,1,False,geometric,default,42,1129.0,False,,10.61
25,151,1e-09,1,False,geometric,default,123,1074.0,False,,35.525
25,151,1e-09,1,False,geometric,default,456,1123.0,False,,30.224
25,151,1e-09,1,False,geometric,default,789,1098.0,False,,10.632
25,151,1e-09,1,False,geometric,default,999,1036.0,False,,20.812
