number,values_0,values_1,datetime_start,datetime_complete,duration,params_beta_range_idx,params_beta_schedule_type,params_gamma,user_attrs_beta_max,user_attrs_beta_min,user_attrs_graphs_feasible,user_attrs_time_s,state,solver
30,0.0,10.0,2026-07-24 00:16:51.057338,2026-07-24 00:17:00.055250,0 days 00:00:08.997912,1,linear,10.0,0.1,0.01,0,8.99,COMPLETE,PA
31,0.0,10.0,2026-07-24 00:16:52.028634,2026-07-24 00:17:01.110320,0 days 00:00:09.081686,1,geometric,0.1,0.1,0.01,0,9.077,COMPLETE,PA
32,0.0,10.0,2026-07-24 00:16:57.147092,2026-07-24 00:17:06.421898,0 days 00:00:09.274806,1,geometric,0.001,0.1,0.01,0,9.273,COMPLETE,PA
33,0.0,10.0,2026-07-24 00:16:57.406015,2026-07-24 00:17:10.086091,0 days 00:00:12.680076,5,geometric,10.0,1.0,1.0,0,12.678,COMPLETE,PA
34,0.0,10.0,2026-07-24 00:16:57.612327,2026-07-24 00:17:07.881381,0 days 00:00:10.269054,2,linear,0.01,1.0,0.01,0,10.267,COMPLETE,PA
35,0.0,10.0,2026-07-24 00:16:57.792394,2026-07-24 00:17:10.074964,0 days 00:00:12.282570,5,linear,0.1,1.0,1.0,0,12.282,COMPLETE,PA
36,0.0,10.0,2026-07-24 00:16:59.486571,2026-07-24 00:17:08.681919,0 days 00:00:09.195348,3,linear,0.0001,0.1,0.1,0,9.195,COMPLETE,PA
37,0.0,10.0,2026-07-24 00:16:59.519174,2026-07-24 00:17:08.493080,0 days 00:00:08.973906,0,linear,0.001,0.01,0.01,0,8.972,COMPLETE,PA
38,0.0,10.0,2026-07-24 00:17:00.057758,2026-07-24 00:17:09.659285,0 days 00:00:09.601527,2,geometric,0.01,1.0,0.01,0,9.601,COMPLETE,PA
39,0.0,10.0,2026-07-24 00:17:01.111316,2026-07-24 00:17:13.660635,0 days 00:00:12.549319,5,geometric,100.0,1.0,1.0,0,12.546,COMPLETE,PA
40,0.0,10.0,2026-07-24 00:17:06.421898,2026-07-24 00:17:15.530967,0 days 00:00:09.109069,0,linear,0.01,0.01,0.01,0,9.107,COMPLETE,PA
41,0.0,10.0,2026-07-24 00:17:07.881381,2026-07-24 00:17:17.313659,0 days 00:00:09.432278,2,geometric,1000.0,1.0,0.01,0,9.43,COMPLETE,PA
42,0.0,10.0,2026-07-24 00:17:08.495080,2026-07-24 00:17:18.832430,0 days 00:00:10.337350,2,linear,0.0001,1.0,0.01,0,10.336,COMPLETE,PA
43,0.0,10.0,2026-07-24 00:17:08.682919,2026-07-24 00:17:17.900103,0 days 00:00:09.217184,3,linear,0.01,0.1,0.1,0,9.215,COMPLETE,PA
44,0.0,10.0,2026-07-24 00:17:09.659285,2026-07-24 00:17:18.770530,0 days 00:00:09.111245,1,linear,0.1,0.1,0.01,0,9.109,COMPLETE,PA
