config_id,graph_index,n,m,num_reads,num_sweeps,beta_min,gamma,trotter,sparse,reinitialize_state,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,status,error
59,0,30,227,10,1000,100.0,1,8,True,True,3426.0,False,,1848,,1.2348,OK,
60,0,30,227,10,1000,100.0,1,16,True,True,3156.0,False,,1848,,1.9006,OK,
61,0,30,227,10,1000,500.0,1,2,True,True,2611.0,False,,1848,,0.7571,OK,
62,0,30,227,10,1000,500.0,1,4,True,True,3880.0,False,,1848,,0.8186,OK,
63,0,30,227,10,1000,500.0,1,8,True,True,3082.0,False,,1848,,1.1064,OK,
64,0,30,227,10,1000,500.0,1,16,True,True,3081.0,False,,1848,,1.6487,OK,
65,0,30,227,10,1000,1000.0,1,2,True,True,2760.0,False,,1848,,0.7149,OK,
66,0,30,227,10,1000,1000.0,1,4,True,True,3367.0,False,,1848,,0.8361,OK,
67,0,30,227,10,1000,1000.0,1,8,True,True,3232.0,False,,1848,,1.0716,OK,
68,0,30,227,10,1000,1000.0,1,16,True,True,3159.0,False,,1848,,1.596,OK,
69,0,30,227,10,1000,5000.0,1,2,True,True,2554.0,False,,1848,,0.6774,OK,
70,0,30,227,10,1000,5000.0,1,4,True,True,4745.0,False,,1848,,0.7675,OK,
71,0,30,227,10,1000,5000.0,1,8,True,True,3725.0,False,,1848,,0.9838,OK,
72,0,30,227,10,1000,5000.0,1,16,True,True,3072.0,False,,1848,,1.3977,OK,
73,0,30,227,10,1000,10000.0,1,2,True,True,2794.0,False,,1848,,0.7041,OK,
74,0,30,227,10,1000,10000.0,1,4,True,True,3667.0,False,,1848,,0.751,OK,
75,0,30,227,10,1000,10000.0,1,8,True,True,3424.0,False,,1848,,0.964,OK,
76,0,30,227,10,1000,10000.0,1,16,True,True,3080.0,False,,1848,,1.3532,OK,
77,0,30,227,10,1000,50000.0,1,2,True,True,2827.0,False,,1848,,0.6776,OK,
78,0,30,227,10,1000,50000.0,1,4,True,True,5179.0,False,,1848,,0.7315,OK,
79,0,30,227,10,1000,50000.0,1,8,True,True,3643.0,False,,1848,,0.9204,OK,
80,0,30,227,10,1000,50000.0,1,16,True,True,3430.0,False,,1848,,1.269,OK,
81,0,30,227,10,1000,100000.0,1,2,True,True,2964.0,False,,1848,,0.6561,OK,
82,0,30,227,10,1000,100000.0,1,4,True,True,4750.0,False,,1848,,0.7064,OK,
83,0,30,227,10,1000,100000.0,1,8,True,True,3715.0,False,,1848,,0.9106,OK,
84,0,30,227,10,1000,100000.0,1,16,True,True,3542.0,False,,1848,,1.2772,OK,
85,0,30,227,10,1000,500000.0,1,2,True,True,2937.0,False,,1848,,0.6476,OK,
86,0,30,227,10,1000,500000.0,1,4,True,True,4669.0,False,,1848,,0.7099,OK,
87,0,30,227,10,1000,500000.0,1,8,True,True,4282.0,False,,1848,,0.8851,OK,
88,0,30,227,10,1000,500000.0,1,16,True,True,3864.0,False,,1848,,1.2114,OK,
89,0,30,227,10,1000,1000000.0,1,2,True,True,3049.0,False,,1848,,0.6481,OK,
90,0,30,227,10,1000,1000000.0,1,4,True,True,5601.0,False,,1848,,0.708,OK,
91,0,30,227,10,1000,1000000.0,1,8,True,True,4871.0,False,,1848,,0.876,OK,
92,0,30,227,10,1000,1000000.0,1,16,True,True,3609.0,False,,1848,,1.1904,OK,
