config_id,graph_index,n,m,num_reads,num_sweeps,beta_min,gamma,trotter,sparse,reinitialize_state,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,status,error
1,0,30,227,10,1000,0.0001,0.01,8,True,True,61791.0,False,,1848,,0.9496,OK,
2,0,30,227,10,1000,0.0001,0.5,8,True,True,61791.0,False,,1848,,0.9541,OK,
3,0,30,227,10,1000,0.0001,1.0,8,True,True,61791.0,False,,1848,,0.9473,OK,
4,0,30,227,10,1000,0.0001,5.0,8,True,True,61791.0,False,,1848,,0.9502,OK,
5,0,30,227,10,1000,0.0001,10.0,8,True,True,61791.0,False,,1848,,0.9435,OK,
6,0,30,227,10,1000,0.0001,50.0,8,True,True,62285.0,False,,1848,,0.9444,OK,
7,0,30,227,10,1000,0.0001,100.0,8,True,True,62940.0,False,,1848,,0.9483,OK,
8,0,30,227,10,1000,0.0001,500.0,8,True,True,58594.0,False,,1848,,0.9604,OK,
9,0,30,227,10,1000,0.0001,1000.0,8,True,True,58489.0,False,,1848,,0.9597,OK,
10,0,30,227,10,1000,0.005,0.01,8,True,True,61791.0,False,,1848,,0.9836,OK,
11,0,30,227,10,1000,0.005,0.5,8,True,True,62318.0,False,,1848,,0.9818,OK,
12,0,30,227,10,1000,0.005,1.0,8,True,True,62285.0,False,,1848,,0.933,OK,
13,0,30,227,10,1000,0.005,5.0,8,True,True,62542.0,False,,1848,,0.944,OK,
14,0,30,227,10,1000,0.005,10.0,8,True,True,56861.0,False,,1848,,0.9418,OK,
15,0,30,227,10,1000,0.005,50.0,8,True,True,31142.0,False,,1848,,0.9793,OK,
16,0,30,227,10,1000,0.005,100.0,8,True,True,19067.0,False,,1848,,1.1391,OK,
17,0,30,227,10,1000,0.005,500.0,8,True,True,16996.0,False,,1848,,3.2936,OK,
18,0,30,227,10,1000,0.005,1000.0,8,True,True,14677.0,False,,1848,,5.1397,OK,
19,0,30,227,10,1000,0.001,0.01,8,True,True,61791.0,False,,1848,,0.9772,OK,
20,0,30,227,10,1000,0.001,0.5,8,True,True,61791.0,False,,1848,,0.9568,OK,
21,0,30,227,10,1000,0.001,1.0,8,True,True,61791.0,False,,1848,,0.9576,OK,
22,0,30,227,10,1000,0.001,5.0,8,True,True,62285.0,False,,1848,,0.9523,OK,
23,0,30,227,10,1000,0.001,10.0,8,True,True,62940.0,False,,1848,,0.9522,OK,
24,0,30,227,10,1000,0.001,50.0,8,True,True,58594.0,False,,1848,,0.9514,OK,
25,0,30,227,10,1000,0.001,100.0,8,True,True,53935.0,False,,1848,,0.9534,OK,
26,0,30,227,10,1000,0.001,500.0,8,True,True,43680.0,False,,1848,,1.1587,OK,
27,0,30,227,10,1000,0.001,1000.0,8,True,True,37738.0,False,,1848,,1.592,OK,
28,0,30,227,10,1000,0.05,0.01,8,True,True,61791.0,False,,1848,,0.9543,OK,
29,0,30,227,10,1000,0.05,0.5,8,True,True,54758.0,False,,1848,,0.9739,OK,
30,0,30,227,10,1000,0.05,1.0,8,True,True,39000.0,False,,1848,,0.9498,OK,
31,0,30,227,10,1000,0.05,5.0,8,True,True,6427.0,False,,1848,,1.0483,OK,
32,0,30,227,10,1000,0.05,10.0,8,True,True,5562.0,False,,1848,,1.152,OK,
33,0,30,227,10,1000,0.05,50.0,8,True,True,4942.0,False,,1848,,3.1388,OK,
34,0,30,227,10,1000,0.05,100.0,8,True,True,4662.0,False,,1848,,4.8325,OK,
35,0,30,227,10,1000,0.05,500.0,8,True,True,5108.0,False,,1848,,7.7879,OK,
36,0,30,227,10,1000,0.05,1000.0,8,True,True,4749.0,False,,1848,,8.2592,OK,
37,0,30,227,10,1000,0.01,0.01,8,True,True,61791.0,False,,1848,,1.2874,OK,
38,0,30,227,10,1000,0.01,0.5,8,True,True,62285.0,False,,1848,,0.9836,OK,
39,0,30,227,10,1000,0.01,1.0,8,True,True,62715.0,False,,1848,,0.9341,OK,
40,0,30,227,10,1000,0.01,5.0,8,True,True,52368.0,False,,1848,,0.9493,OK,
41,0,30,227,10,1000,0.01,10.0,8,True,True,39929.0,False,,1848,,0.9886,OK,
42,0,30,227,10,1000,0.01,50.0,8,True,True,11711.0,False,,1848,,1.1514,OK,
43,0,30,227,10,1000,0.01,100.0,8,True,True,10897.0,False,,1848,,1.6039,OK,
44,0,30,227,10,1000,0.01,500.0,8,True,True,9802.0,False,,1848,,5.118,OK,
45,0,30,227,10,1000,0.01,1000.0,8,True,True,8456.0,False,,1848,,6.9886,OK,
46,0,30,227,10,1000,0.5,0.01,8,True,True,13862.0,False,,1848,,0.9322,OK,
47,0,30,227,10,1000,0.5,0.5,8,True,True,3746.0,False,,1848,,0.9989,OK,
48,0,30,227,10,1000,0.5,1.0,8,True,True,3179.0,False,,1848,,1.0964,OK,
49,0,30,227,10,1000,0.5,5.0,8,True,True,2230.0,False,,1848,,2.6676,OK,
