n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.743,SQASampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.706,SQASampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.709,SQASampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.711,SQASampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.709,SQASampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.704,SQASampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.714,SQASampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.704,SQASampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.705,SQASampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.696,SQASampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.708,SQASampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.711,SQASampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.707,SQASampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.717,SQASampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.713,SQASampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.713,SQASampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.706,SQASampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.702,SQASampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.711,SQASampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.711,SQASampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.71,SQASampler
10,26,0,67.0,True,67.0,67,1.0,0.0,0.739,SQASampler
10,27,1,75.0,True,75.0,75,1.0,0.0,0.733,SQASampler
10,14,2,22.0,True,22.0,22,1.0,0.0,0.736,SQASampler
10,20,3,45.0,True,45.0,45,1.0,0.0,0.734,SQASampler
10,19,4,44.0,True,44.0,44,1.0,0.0,0.736,SQASampler
10,23,5,56.0,True,56.0,56,1.0,0.0,0.726,SQASampler
10,23,6,53.0,True,53.0,53,1.0,0.0,0.74,SQASampler
10,21,7,51.0,True,51.0,51,1.0,0.0,0.734,SQASampler
10,22,8,47.0,True,47.0,47,1.0,0.0,0.739,SQASampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.73,SQASampler
10,21,10,52.0,True,52.0,52,1.0,0.0,0.73,SQASampler
10,21,11,51.0,True,51.0,51,1.0,0.0,0.734,SQASampler
10,19,12,46.0,True,46.0,46,1.0,0.0,0.731,SQASampler
10,28,13,76.0,True,76.0,76,1.0,0.0,0.729,SQASampler
10,22,14,52.0,True,52.0,52,1.0,0.0,0.745,SQASampler
10,25,15,70.0,True,70.0,70,1.0,0.0,0.735,SQASampler
10,23,16,59.0,True,59.0,59,1.0,0.0,0.733,SQASampler
10,25,17,63.0,True,63.0,63,1.0,0.0,0.735,SQASampler
10,20,18,43.0,True,43.0,43,1.0,0.0,0.735,SQASampler
10,23,19,54.0,True,54.0,54,1.0,0.0,0.734,SQASampler
10,17,20,37.0,True,37.0,37,1.0,0.0,0.737,SQASampler
10,24,21,61.0,True,61.0,61,1.0,0.0,0.729,SQASampler
10,23,22,57.0,True,57.0,57,1.0,0.0,0.727,SQASampler
10,25,23,67.0,True,67.0,67,1.0,0.0,0.733,SQASampler
10,24,24,57.0,True,57.0,57,1.0,0.0,0.733,SQASampler
10,18,25,39.0,True,39.0,39,1.0,0.0,0.73,SQASampler
10,21,26,43.0,True,43.0,43,1.0,0.0,0.733,SQASampler
10,22,27,50.0,True,50.0,50,1.0,0.0,0.735,SQASampler
10,21,28,48.0,True,48.0,48,1.0,0.0,0.721,SQASampler
10,19,29,45.0,True,45.0,45,1.0,0.0,0.725,SQASampler
10,27,30,74.0,True,74.0,74,1.0,0.0,0.731,SQASampler
10,18,31,35.0,True,35.0,35,1.0,0.0,0.74,SQASampler
10,20,32,46.0,True,46.0,46,1.0,0.0,0.731,SQASampler
10,25,33,65.0,True,65.0,65,1.0,0.0,0.732,SQASampler
10,21,34,53.0,True,53.0,53,1.0,0.0,0.733,SQASampler
10,22,35,50.0,True,50.0,50,1.0,0.0,0.731,SQASampler
10,21,36,50.0,True,50.0,50,1.0,0.0,0.722,SQASampler
10,26,37,68.0,True,68.0,68,1.0,0.0,0.741,SQASampler
10,21,38,50.0,True,50.0,50,1.0,0.0,0.732,SQASampler
10,18,39,42.0,True,42.0,42,1.0,0.0,0.739,SQASampler
10,24,40,60.0,True,60.0,60,1.0,0.0,0.732,SQASampler
10,25,41,67.0,True,67.0,67,1.0,0.0,0.733,SQASampler
10,21,42,52.0,True,52.0,52,1.0,0.0,0.72,SQASampler
10,24,43,54.0,True,54.0,54,1.0,0.0,0.75,SQASampler
10,25,44,62.0,True,62.0,62,1.0,0.0,0.734,SQASampler
10,21,45,52.0,True,52.0,52,1.0,0.0,0.732,SQASampler
10,27,46,74.0,True,74.0,74,1.0,0.0,0.737,SQASampler
10,24,47,63.0,True,63.0,62,1.0161290322580645,0.016129032258064516,0.726,SQASampler
10,19,48,40.0,True,40.0,40,1.0,0.0,0.736,SQASampler
10,23,49,58.0,True,58.0,58,1.0,0.0,0.729,SQASampler
10,23,50,55.0,True,55.0,55,1.0,0.0,0.724,SQASampler
10,22,51,57.0,True,57.0,57,1.0,0.0,0.732,SQASampler
10,19,52,45.0,True,45.0,45,1.0,0.0,0.73,SQASampler
10,25,53,59.0,True,59.0,59,1.0,0.0,0.737,SQASampler
10,21,54,50.0,True,50.0,50,1.0,0.0,0.738,SQASampler
10,21,55,51.0,True,51.0,51,1.0,0.0,0.735,SQASampler
10,26,56,68.0,True,68.0,68,1.0,0.0,0.729,SQASampler
10,25,57,61.0,False,,60,,,0.734,SQASampler
10,21,58,45.0,True,45.0,45,1.0,0.0,0.731,SQASampler
10,26,59,68.0,True,68.0,68,1.0,0.0,0.73,SQASampler
10,22,60,51.0,True,51.0,51,1.0,0.0,0.746,SQASampler
10,21,61,47.0,True,47.0,47,1.0,0.0,0.735,SQASampler
10,27,62,73.0,True,73.0,73,1.0,0.0,0.732,SQASampler
10,16,63,34.0,True,34.0,34,1.0,0.0,0.74,SQASampler
10,19,64,43.0,True,43.0,43,1.0,0.0,0.733,SQASampler
10,25,65,62.0,True,62.0,62,1.0,0.0,0.734,SQASampler
10,20,66,46.0,True,46.0,46,1.0,0.0,0.738,SQASampler
10,24,67,62.0,True,62.0,62,1.0,0.0,0.732,SQASampler
10,24,68,61.0,True,61.0,61,1.0,0.0,0.738,SQASampler
10,20,69,46.0,True,46.0,46,1.0,0.0,0.72,SQASampler
10,24,70,63.0,True,63.0,63,1.0,0.0,0.733,SQASampler
10,25,71,68.0,True,68.0,68,1.0,0.0,0.733,SQASampler
10,19,72,44.0,True,44.0,44,1.0,0.0,0.733,SQASampler
10,23,73,54.0,True,54.0,54,1.0,0.0,0.738,SQASampler
10,28,74,77.0,True,77.0,77,1.0,0.0,0.727,SQASampler
10,27,75,68.0,True,68.0,68,1.0,0.0,0.729,SQASampler
10,13,76,23.0,True,23.0,23,1.0,0.0,0.734,SQASampler
10,20,77,49.0,True,49.0,49,1.0,0.0,0.734,SQASampler
10,23,78,56.0,True,56.0,56,1.0,0.0,0.733,SQASampler
10,26,79,64.0,True,64.0,64,1.0,0.0,0.734,SQASampler
10,20,80,50.0,True,50.0,50,1.0,0.0,0.737,SQASampler
10,20,81,47.0,True,47.0,47,1.0,0.0,0.747,SQASampler
10,23,82,58.0,False,,57,,,0.737,SQASampler
10,26,83,67.0,True,67.0,67,1.0,0.0,0.736,SQASampler
10,19,84,41.0,True,41.0,41,1.0,0.0,0.735,SQASampler
10,19,85,38.0,True,38.0,38,1.0,0.0,0.733,SQASampler
10,22,86,52.0,True,52.0,52,1.0,0.0,0.739,SQASampler
10,22,87,53.0,True,53.0,53,1.0,0.0,0.733,SQASampler
10,28,88,71.0,True,71.0,71,1.0,0.0,0.733,SQASampler
10,20,89,47.0,True,47.0,47,1.0,0.0,0.735,SQASampler
10,22,90,53.0,True,53.0,53,1.0,0.0,0.734,SQASampler
10,19,91,43.0,True,43.0,43,1.0,0.0,0.731,SQASampler
10,25,92,64.0,True,64.0,64,1.0,0.0,0.725,SQASampler
10,23,93,56.0,True,56.0,56,1.0,0.0,0.736,SQASampler
10,24,94,57.0,True,57.0,57,1.0,0.0,0.743,SQASampler
10,20,95,42.0,True,42.0,42,1.0,0.0,0.733,SQASampler
10,17,96,30.0,True,30.0,30,1.0,0.0,0.731,SQASampler
10,19,97,42.0,True,42.0,42,1.0,0.0,0.734,SQASampler
10,26,98,70.0,True,70.0,70,1.0,0.0,0.718,SQASampler
10,22,99,52.0,True,52.0,52,1.0,0.0,0.737,SQASampler
15,52,0,199.0,True,199.0,195,1.0205128205128204,0.020512820512820513,0.81,SQASampler
15,54,1,208.0,True,208.0,205,1.0146341463414634,0.014634146341463415,0.786,SQASampler
15,47,2,167.0,True,167.0,165,1.0121212121212122,0.012121212121212121,0.795,SQASampler
15,53,3,191.0,True,191.0,190,1.0052631578947369,0.005263157894736842,0.79,SQASampler
15,45,4,163.0,True,163.0,161,1.0124223602484472,0.012422360248447204,0.788,SQASampler
15,53,5,181.0,True,181.0,179,1.011173184357542,0.0111731843575419,0.787,SQASampler
15,56,6,208.0,True,208.0,206,1.0097087378640777,0.009708737864077669,0.795,SQASampler
15,50,7,185.0,False,,183,,,0.789,SQASampler
15,53,8,186.0,True,186.0,184,1.0108695652173914,0.010869565217391304,0.783,SQASampler
15,51,9,179.0,True,179.0,177,1.0112994350282485,0.011299435028248588,0.804,SQASampler
15,45,10,150.0,True,150.0,150,1.0,0.0,0.791,SQASampler
15,47,11,171.0,True,171.0,169,1.0118343195266273,0.011834319526627219,0.788,SQASampler
15,51,12,189.0,True,189.0,188,1.0053191489361701,0.005319148936170213,0.796,SQASampler
15,53,13,209.0,True,209.0,207,1.0096618357487923,0.00966183574879227,0.781,SQASampler
15,54,14,198.0,True,198.0,197,1.0050761421319796,0.005076142131979695,0.793,SQASampler
15,50,15,184.0,True,184.0,183,1.005464480874317,0.00546448087431694,0.79,SQASampler
15,52,16,184.0,True,184.0,183,1.005464480874317,0.00546448087431694,0.79,SQASampler
15,51,17,186.0,True,186.0,184,1.0108695652173914,0.010869565217391304,0.805,SQASampler
15,56,18,214.0,True,214.0,214,1.0,0.0,0.823,SQASampler
15,45,19,150.0,True,150.0,150,1.0,0.0,0.781,SQASampler
15,54,20,200.0,True,200.0,200,1.0,0.0,0.79,SQASampler
15,50,21,183.0,True,183.0,183,1.0,0.0,0.794,SQASampler
15,54,22,207.0,True,207.0,207,1.0,0.0,0.788,SQASampler
15,55,23,218.0,True,218.0,216,1.0092592592592593,0.009259259259259259,0.79,SQASampler
15,56,24,224.0,True,224.0,218,1.0275229357798166,0.027522935779816515,0.795,SQASampler
15,53,25,184.0,True,184.0,183,1.005464480874317,0.00546448087431694,0.785,SQASampler
15,57,26,228.0,True,228.0,220,1.0363636363636364,0.03636363636363636,0.788,SQASampler
15,57,27,226.0,False,,223,,,0.79,SQASampler
15,48,28,173.0,True,173.0,173,1.0,0.0,0.792,SQASampler
15,52,29,192.0,True,192.0,191,1.0052356020942408,0.005235602094240838,0.792,SQASampler
15,60,30,237.0,True,237.0,237,1.0,0.0,0.794,SQASampler
15,56,31,219.0,True,219.0,219,1.0,0.0,0.785,SQASampler
15,54,32,204.0,True,204.0,196,1.0408163265306123,0.04081632653061224,0.787,SQASampler
15,53,33,196.0,True,196.0,195,1.005128205128205,0.005128205128205128,0.792,SQASampler
15,52,34,186.0,True,186.0,186,1.0,0.0,0.788,SQASampler
15,53,35,205.0,True,205.0,204,1.0049019607843137,0.004901960784313725,0.788,SQASampler
15,39,36,132.0,True,132.0,131,1.0076335877862594,0.007633587786259542,0.799,SQASampler
15,56,37,204.0,True,204.0,201,1.0149253731343284,0.014925373134328358,0.783,SQASampler
15,47,38,164.0,True,164.0,163,1.0061349693251533,0.006134969325153374,0.792,SQASampler
15,54,39,203.0,True,203.0,202,1.004950495049505,0.0049504950495049506,0.788,SQASampler
15,54,40,204.0,False,,193,,,0.786,SQASampler
15,45,41,148.0,True,148.0,145,1.0206896551724138,0.020689655172413793,0.79,SQASampler
15,44,42,157.0,True,157.0,157,1.0,0.0,0.797,SQASampler
15,55,43,213.0,True,213.0,211,1.009478672985782,0.009478672985781991,0.792,SQASampler
