solver_name,total_time,num_graphs_solved,avg_time_per_graph
OpenJij,1551.5062828063965,442,3.510195209969223
QWaveSampler,6582.135055065155,442,14.891708269378178
SimulatedBifurcation,1284.679463148117,442,2.906514622507052
