config_id,graph_index,n,m,num_reads,num_sweeps,beta_min,gamma,trotter,sparse,reinitialize_state,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,status,error
1,0,30,227,10,1000,0.0001,1,8,True,True,61791.0,False,,1848,,0.9744,OK,
2,0,30,227,10,1000,0.005,1,8,True,True,62285.0,False,,1848,,0.9423,OK,
3,0,30,227,10,1000,0.001,1,8,True,True,61791.0,False,,1848,,0.9497,OK,
4,0,30,227,10,1000,0.05,1,8,True,True,39000.0,False,,1848,,0.9647,OK,
5,0,30,227,10,1000,0.01,1,8,True,True,62715.0,False,,1848,,0.938,OK,
6,0,30,227,10,1000,0.5,1,8,True,True,3179.0,False,,1848,,1.0921,OK,
7,0,30,227,10,1000,1.0,1,8,True,True,2414.0,False,,1848,,1.3727,OK,
8,0,30,227,10,1000,5.0,1,8,True,True,1958.0,False,,1848,,2.6358,OK,
9,0,30,227,10,1000,10.0,1,8,True,True,1952.0,False,,1848,,2.6791,OK,
10,0,30,227,10,1000,50.0,1,8,True,True,3760.0,False,,1848,,2.1246,OK,
11,0,30,227,10,1000,100.0,1,8,True,True,3476.0,False,,1848,,1.9378,OK,
12,0,30,227,10,1000,500.0,1,8,True,True,3732.0,False,,1848,,1.8114,OK,
13,0,30,227,10,1000,1000.0,1,8,True,True,3267.0,False,,1848,,1.6987,OK,
14,0,30,227,10,1000,5000.0,1,8,True,True,3828.0,False,,1848,,1.5617,OK,
15,0,30,227,10,1000,10000.0,1,8,True,True,3290.0,False,,1848,,1.6172,OK,
