n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s
5,5,0,6.0,True,6.0,6,1.0,0.0,0.265
5,5,1,6.0,True,6.0,6,1.0,0.0,0.253
5,4,2,4.0,True,4.0,4,1.0,0.0,0.266
5,7,3,10.0,True,10.0,10,1.0,0.0,0.247
5,5,4,7.0,True,7.0,7,1.0,0.0,0.254
5,8,5,14.0,True,14.0,14,1.0,0.0,0.251
5,4,6,5.0,True,5.0,5,1.0,0.0,0.266
5,6,7,10.0,True,10.0,10,1.0,0.0,0.263
5,6,8,9.0,True,9.0,9,1.0,0.0,0.254
5,6,9,9.0,True,9.0,9,1.0,0.0,0.245
5,5,10,7.0,True,7.0,7,1.0,0.0,0.251
5,6,11,8.0,True,8.0,8,1.0,0.0,0.266
5,7,12,12.0,True,12.0,12,1.0,0.0,0.27
5,5,13,8.0,True,8.0,8,1.0,0.0,0.282
5,7,14,11.0,True,11.0,11,1.0,0.0,0.248
5,8,15,13.0,True,13.0,13,1.0,0.0,0.247
5,6,16,8.0,True,8.0,8,1.0,0.0,0.248
5,7,17,12.0,True,12.0,12,1.0,0.0,0.253
5,9,18,16.0,True,16.0,16,1.0,0.0,0.246
5,10,19,20.0,True,20.0,20,1.0,0.0,0.253
5,4,20,6.0,True,6.0,6,1.0,0.0,0.249
10,26,0,67.0,True,67.0,67,1.0,0.0,1.309
10,27,1,75.0,True,75.0,75,1.0,0.0,1.297
10,14,2,22.0,True,22.0,22,1.0,0.0,1.37
10,20,3,45.0,True,45.0,45,1.0,0.0,1.29
10,19,4,44.0,True,44.0,44,1.0,0.0,1.359
10,23,5,56.0,True,56.0,56,1.0,0.0,1.312
10,23,6,53.0,True,53.0,53,1.0,0.0,1.472
10,21,7,51.0,True,51.0,51,1.0,0.0,2.033
10,22,8,47.0,True,47.0,47,1.0,0.0,1.423
10,25,9,60.0,True,60.0,60,1.0,0.0,1.378
10,21,10,52.0,True,52.0,52,1.0,0.0,1.42
