n,m,graph_id,schedule,num_sweeps,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
40,399,0,builtin_linear,100,6110.0,False,,,,2.801
40,399,0,custom_linear,100,5677.0,False,,,,3.104
40,399,0,builtin_linear,500,5328.0,False,,,,13.673
40,399,0,custom_linear,500,4935.0,False,,,,15.066
40,399,0,builtin_linear,1000,4800.0,False,,,,27.236
40,399,0,custom_linear,1000,4764.0,False,,,,29.413
40,399,0,builtin_linear,2000,4883.0,False,,,,53.631
40,399,0,custom_linear,2000,4628.0,False,,,,58.253
40,399,0,builtin_linear,3000,4710.0,False,,,,80.272
40,399,0,custom_linear,3000,4496.0,False,,,,87.403
