n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
15,59,52,295.0,True,295.0,238,1.2394957983193278,0.23949579831932774,1.072,999,PathIntegralAnnealingSampler
15,48,53,220.0,True,220.0,162,1.3580246913580247,0.35802469135802467,1.065,456,PathIntegralAnnealingSampler
15,63,54,330.0,True,330.0,252,1.3095238095238095,0.30952380952380953,1.08,456,PathIntegralAnnealingSampler
15,57,55,288.0,True,288.0,226,1.2743362831858407,0.2743362831858407,1.071,123,PathIntegralAnnealingSampler
15,49,56,213.0,True,213.0,172,1.2383720930232558,0.23837209302325582,1.109,789,PathIntegralAnnealingSampler
15,43,57,171.0,True,171.0,152,1.125,0.125,1.088,999,PathIntegralAnnealingSampler
15,51,58,244.0,True,244.0,191,1.2774869109947644,0.2774869109947644,1.093,789,PathIntegralAnnealingSampler
15,60,59,313.0,True,313.0,227,1.3788546255506609,0.3788546255506608,1.101,999,PathIntegralAnnealingSampler
15,54,60,254.0,True,254.0,203,1.251231527093596,0.2512315270935961,1.121,789,PathIntegralAnnealingSampler
15,62,61,313.0,True,313.0,244,1.2827868852459017,0.2827868852459016,1.106,123,PathIntegralAnnealingSampler
15,53,62,266.0,True,266.0,191,1.3926701570680629,0.39267015706806285,1.109,123,PathIntegralAnnealingSampler
15,51,63,235.0,True,235.0,185,1.2702702702702702,0.2702702702702703,1.093,456,PathIntegralAnnealingSampler
15,44,64,226.0,True,226.0,150,1.5066666666666666,0.5066666666666667,1.1,999,PathIntegralAnnealingSampler
15,55,65,283.0,True,283.0,191,1.4816753926701571,0.4816753926701571,1.106,456,PathIntegralAnnealingSampler
15,50,66,256.0,True,256.0,187,1.3689839572192513,0.3689839572192513,1.116,789,PathIntegralAnnealingSampler
15,50,67,258.0,True,258.0,178,1.449438202247191,0.449438202247191,1.089,123,PathIntegralAnnealingSampler
15,56,68,280.0,True,280.0,219,1.278538812785388,0.2785388127853881,1.115,999,PathIntegralAnnealingSampler
15,49,69,233.0,True,233.0,177,1.3163841807909604,0.3163841807909605,1.103,789,PathIntegralAnnealingSampler
15,50,70,234.0,True,234.0,189,1.2380952380952381,0.23809523809523808,1.092,123,PathIntegralAnnealingSampler
15,57,71,319.0,True,319.0,226,1.4115044247787611,0.41150442477876104,1.115,789,PathIntegralAnnealingSampler
15,53,72,273.0,True,273.0,206,1.325242718446602,0.32524271844660196,1.106,999,PathIntegralAnnealingSampler
15,57,73,268.0,True,268.0,224,1.1964285714285714,0.19642857142857142,1.107,789,PathIntegralAnnealingSampler
15,51,74,263.0,True,263.0,175,1.502857142857143,0.5028571428571429,1.111,999,PathIntegralAnnealingSampler
15,52,75,244.0,True,244.0,197,1.2385786802030456,0.23857868020304568,1.076,789,PathIntegralAnnealingSampler
15,53,76,247.0,True,247.0,189,1.306878306878307,0.30687830687830686,1.113,123,PathIntegralAnnealingSampler
15,52,77,261.0,True,261.0,191,1.3664921465968587,0.36649214659685864,1.102,789,PathIntegralAnnealingSampler
15,52,78,255.0,True,255.0,186,1.3709677419354838,0.3709677419354839,1.109,456,PathIntegralAnnealingSampler
15,50,79,220.0,True,220.0,179,1.229050279329609,0.22905027932960895,1.093,789,PathIntegralAnnealingSampler
15,57,80,262.0,True,262.0,226,1.1592920353982301,0.1592920353982301,1.105,789,PathIntegralAnnealingSampler
