n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
15,58,51,227.0,True,227.0,224,1.0133928571428572,0.013392857142857142,1.28,123,PathIntegralAnnealingSampler
15,59,52,239.0,True,239.0,238,1.004201680672269,0.004201680672268907,1.318,456,PathIntegralAnnealingSampler
15,48,53,166.0,True,166.0,162,1.0246913580246915,0.024691358024691357,1.262,123,PathIntegralAnnealingSampler
15,63,54,255.0,True,255.0,252,1.0119047619047619,0.011904761904761904,1.227,123,PathIntegralAnnealingSampler
15,57,55,227.0,True,227.0,226,1.0044247787610618,0.004424778761061947,1.242,42,PathIntegralAnnealingSampler
15,49,56,178.0,True,178.0,172,1.0348837209302326,0.03488372093023256,1.223,123,PathIntegralAnnealingSampler
15,43,57,155.0,True,155.0,152,1.019736842105263,0.019736842105263157,1.25,789,PathIntegralAnnealingSampler
15,51,58,194.0,True,194.0,191,1.0157068062827226,0.015706806282722512,1.236,123,PathIntegralAnnealingSampler
15,60,59,232.0,True,232.0,227,1.0220264317180616,0.022026431718061675,1.234,42,PathIntegralAnnealingSampler
15,54,60,201.0,False,,203,,,1.223,999,PathIntegralAnnealingSampler
15,62,61,244.0,True,244.0,244,1.0,0.0,1.227,42,PathIntegralAnnealingSampler
15,53,62,192.0,True,192.0,191,1.0052356020942408,0.005235602094240838,1.261,789,PathIntegralAnnealingSampler
15,51,63,187.0,True,187.0,185,1.0108108108108107,0.010810810810810811,1.265,42,PathIntegralAnnealingSampler
15,44,64,152.0,True,152.0,150,1.0133333333333334,0.013333333333333334,1.285,42,PathIntegralAnnealingSampler
15,55,65,191.0,True,191.0,191,1.0,0.0,1.22,789,PathIntegralAnnealingSampler
15,50,66,192.0,True,192.0,187,1.0267379679144386,0.026737967914438502,1.241,123,PathIntegralAnnealingSampler
15,50,67,182.0,True,182.0,178,1.0224719101123596,0.02247191011235955,1.203,789,PathIntegralAnnealingSampler
15,56,68,218.0,True,218.0,219,0.9954337899543378,-0.0045662100456621,1.222,123,PathIntegralAnnealingSampler
15,49,69,177.0,True,177.0,177,1.0,0.0,1.245,123,PathIntegralAnnealingSampler
15,50,70,192.0,True,192.0,189,1.0158730158730158,0.015873015873015872,1.291,789,PathIntegralAnnealingSampler
15,57,71,229.0,True,229.0,226,1.0132743362831858,0.01327433628318584,1.276,456,PathIntegralAnnealingSampler
15,53,72,207.0,True,207.0,206,1.0048543689320388,0.0048543689320388345,1.27,999,PathIntegralAnnealingSampler
15,57,73,226.0,True,226.0,224,1.0089285714285714,0.008928571428571428,1.254,42,PathIntegralAnnealingSampler
15,51,74,177.0,True,177.0,175,1.0114285714285713,0.011428571428571429,1.274,42,PathIntegralAnnealingSampler
15,52,75,201.0,True,201.0,197,1.0203045685279188,0.02030456852791878,1.303,999,PathIntegralAnnealingSampler
15,53,76,193.0,True,193.0,189,1.0211640211640212,0.021164021164021163,1.281,456,PathIntegralAnnealingSampler
15,52,77,191.0,True,191.0,191,1.0,0.0,1.284,42,PathIntegralAnnealingSampler
15,52,78,189.0,True,189.0,186,1.0161290322580645,0.016129032258064516,1.305,456,PathIntegralAnnealingSampler
15,50,79,184.0,True,184.0,179,1.0279329608938548,0.027932960893854747,1.286,123,PathIntegralAnnealingSampler
15,57,80,231.0,True,231.0,226,1.0221238938053097,0.022123893805309734,1.287,123,PathIntegralAnnealingSampler
15,59,81,242.0,True,242.0,238,1.0168067226890756,0.01680672268907563,1.278,123,PathIntegralAnnealingSampler
15,44,82,154.0,True,154.0,153,1.0065359477124183,0.006535947712418301,1.309,42,PathIntegralAnnealingSampler
