n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
15,45,41,148.0,True,148.0,145,1.0206896551724138,0.020689655172413793,3.287,PathIntegralAnnealingSampler
15,44,42,160.0,True,160.0,157,1.019108280254777,0.01910828025477707,3.33,PathIntegralAnnealingSampler
15,55,43,214.0,True,214.0,211,1.014218009478673,0.014218009478672985,3.278,PathIntegralAnnealingSampler
15,55,44,216.0,True,216.0,212,1.0188679245283019,0.018867924528301886,3.317,PathIntegralAnnealingSampler
15,55,45,215.0,True,215.0,212,1.0141509433962264,0.014150943396226415,3.244,PathIntegralAnnealingSampler
15,41,46,138.0,True,138.0,135,1.0222222222222221,0.022222222222222223,3.299,PathIntegralAnnealingSampler
15,64,47,256.0,True,256.0,252,1.0158730158730158,0.015873015873015872,3.231,PathIntegralAnnealingSampler
15,55,48,225.0,True,225.0,214,1.0514018691588785,0.0514018691588785,3.276,PathIntegralAnnealingSampler
15,53,49,208.0,True,208.0,196,1.0612244897959184,0.061224489795918366,3.25,PathIntegralAnnealingSampler
15,52,50,198.0,True,198.0,197,1.0050761421319796,0.005076142131979695,3.257,PathIntegralAnnealingSampler
15,58,51,229.0,True,229.0,224,1.0223214285714286,0.022321428571428572,3.261,PathIntegralAnnealingSampler
15,59,52,242.0,True,242.0,238,1.0168067226890756,0.01680672268907563,3.277,PathIntegralAnnealingSampler
15,48,53,165.0,True,165.0,162,1.0185185185185186,0.018518518518518517,3.233,PathIntegralAnnealingSampler
15,63,54,255.0,True,255.0,252,1.0119047619047619,0.011904761904761904,3.291,PathIntegralAnnealingSampler
15,57,55,236.0,True,236.0,226,1.0442477876106195,0.04424778761061947,3.213,PathIntegralAnnealingSampler
15,49,56,179.0,True,179.0,172,1.0406976744186047,0.040697674418604654,3.276,PathIntegralAnnealingSampler
15,43,57,155.0,True,155.0,152,1.019736842105263,0.019736842105263157,3.297,PathIntegralAnnealingSampler
15,51,58,198.0,True,198.0,191,1.036649214659686,0.03664921465968586,3.245,PathIntegralAnnealingSampler
15,60,59,231.0,True,231.0,227,1.0176211453744493,0.01762114537444934,3.221,PathIntegralAnnealingSampler
15,54,60,200.0,False,,203,,,3.29,PathIntegralAnnealingSampler
