solver_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,num_feasible,num_success,total_time
OpenJij,5,50,0.5,exact,1.0,0.32,0.32,0.16288861138861135,50,16,36.37420988082886
OpenJij,5,50,0.5,lucas,1.0,0.94,0.94,0.005666666666666666,50,47,35.81109666824341
OpenJij,8,50,0.5,exact,0.1,0.0,0.0,0.40461795076487733,5,0,36.4484748840332
OpenJij,8,50,0.5,lucas,0.98,0.68,0.6938775510204082,-0.008067715449782744,49,34,36.605637073516846
OpenJij,11,50,0.5,exact,0.0,0.0,0.0,inf,0,0,37.809300899505615
OpenJij,11,50,0.5,lucas,0.9,0.52,0.5777777777777777,0.006258921479633034,45,26,38.42252039909363
OpenJij,13,50,0.5,exact,0.0,0.0,0.0,inf,0,0,39.45372486114502
OpenJij,13,50,0.5,lucas,0.7,0.32,0.45714285714285713,0.01509310728629713,35,16,39.76295256614685
OpenJij,15,50,0.5,exact,0.0,0.0,0.0,inf,0,0,41.16060280799866
OpenJij,15,50,0.5,lucas,0.66,0.34,0.5151515151515151,0.004932112728206692,33,17,41.51252055168152
