n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
25,146,1e-06,1e-06,31.710653753028517,False,,924,,0.135
25,146,1e-06,5e-05,28.917675544796108,False,,924,,0.134
25,146,1e-06,1e-05,34.22397094431182,False,,924,,0.133
25,146,1e-06,0.0005,30.599273607750067,False,,924,,0.132
25,146,1e-06,0.0001,27.15254237288321,False,,924,,0.134
25,146,1e-06,0.005,30.847457627120516,False,,924,,0.139
25,146,1e-06,0.001,31.68401937046193,False,,924,,0.138
25,146,1e-06,0.05,29.303874092011526,False,,924,,0.136
25,146,1e-06,0.01,25.894673123488573,False,,924,,0.137
25,146,1e-06,0.5,23.829297820825175,False,,924,,0.142
25,146,1e-06,1.0,16.73123486683036,False,,924,,0.134
25,146,1e-06,5.0,9.042372881358158,False,,924,,0.135
25,146,1e-06,10.0,5.647699757870495,False,,924,,0.142
25,146,1e-06,50.0,3.174334140436038,False,,924,,0.133
25,146,1e-06,100.0,2.372881355932357,False,,924,,0.133
25,146,1e-06,500.0,1.3075060532669838,False,,924,,0.119
25,146,1e-06,1000.0,1.330508474574252,False,,924,,0.121
25,146,1e-06,5000.0,1.3244552058092225,False,,924,,0.108
25,146,1e-06,10000.0,1.3559322033882353,False,,924,,0.106
25,146,1e-06,50000.0,1.3644067796592267,False,,924,,0.104
25,146,1e-06,100000.0,1.398305084744301,False,,924,,0.098
25,146,1e-06,500000.0,1.3595641646472245,False,,924,,0.096
25,146,1e-06,1000000.0,1.3631961259061995,False,,924,,0.094
25,146,5e-05,5e-05,30.02784503632145,False,,924,,0.14
25,146,5e-05,0.0005,29.297820823246415,False,,924,,0.135
25,146,5e-05,0.0001,28.58958837772586,False,,924,,0.143
25,146,5e-05,0.005,30.31234866828278,False,,924,,0.144
25,146,5e-05,0.001,32.575060532689534,False,,924,,0.141
25,146,5e-05,0.05,27.053268765135073,False,,924,,0.138
25,146,5e-05,0.01,31.14527845036507,False,,924,,0.133
25,146,5e-05,0.5,24.956416464892925,False,,924,,0.141
25,146,5e-05,1.0,17.1949152542394,False,,924,,0.137
25,146,5e-05,5.0,9.546004842617513,False,,924,,0.138
25,146,5e-05,10.0,6.231234866829713,False,,924,,0.14
25,146,5e-05,50.0,3.041162227602868,False,,924,,0.132
25,146,5e-05,100.0,2.384987893462217,False,,924,,0.129
25,146,5e-05,500.0,1.3062953995139708,False,,924,,0.119
25,146,5e-05,1000.0,1.3196125907970568,False,,924,,0.118
25,146,5e-05,5000.0,1.3135593220321624,False,,924,,0.105
25,146,5e-05,10000.0,1.31719128329091,False,,924,,0.104
25,146,5e-05,50000.0,1.3135593220321695,False,,924,,0.095
25,146,5e-05,100000.0,1.4128329297802225,False,,924,,0.093
25,146,5e-05,500000.0,1.3607748184003583,False,,924,,0.089
25,146,5e-05,1000000.0,1.4007263922501352,False,,924,,0.086
25,146,1e-05,5e-05,29.062953995159305,False,,924,,0.134
25,146,1e-05,1e-05,29.92372881356122,False,,924,,0.142
25,146,1e-05,0.0005,28.398305084747655,False,,924,,0.14
25,146,1e-05,0.0001,27.937046004844472,False,,924,,0.134
25,146,1e-05,0.005,24.834140435837178,False,,924,,0.143
25,146,1e-05,0.001,34.71912832929972,False,,924,,0.134
25,146,1e-05,0.05,27.18886198547405,False,,924,,0.133
25,146,1e-05,0.01,29.0641646489123,False,,924,,0.135
25,146,1e-05,0.5,22.88256658595828,False,,924,,0.139
25,146,1e-05,1.0,20.581113801454666,False,,924,,0.139
25,146,1e-05,5.0,8.57506053268991,False,,924,,0.14
25,146,1e-05,10.0,5.801452784504814,False,,924,,0.136
25,146,1e-05,50.0,3.0460048426150976,False,,924,,0.134
25,146,1e-05,100.0,2.254237288135151,False,,924,,0.13
25,146,1e-05,500.0,1.2639225181577487,False,,924,,0.123
25,146,1e-05,1000.0,1.3353510895863892,False,,924,,0.115
25,146,1e-05,5000.0,1.3668280871656506,False,,924,,0.109
25,146,1e-05,10000.0,1.3668280871655512,False,,924,,0.105
25,146,1e-05,50000.0,1.3450363196109123,False,,924,,0.098
25,146,1e-05,100000.0,1.3244552058093504,False,,924,,0.097
25,146,1e-05,500000.0,1.3837772397080315,False,,924,,0.088
25,146,1e-05,1000000.0,1.3462469733638258,False,,924,,0.09
25,146,0.0005,0.0005,31.234866828089064,False,,924,,0.138
25,146,0.0005,0.005,30.85108958837962,False,,924,,0.141
25,146,0.0005,0.001,33.552058111382046,False,,924,,0.165
25,146,0.0005,0.05,29.694915254239174,False,,924,,0.137
25,146,0.0005,0.01,29.380145278452268,False,,924,,0.143
25,146,0.0005,0.5,27.08958837772588,False,,924,,0.141
25,146,0.0005,1.0,20.92615012106723,False,,924,,0.133
25,146,0.0005,5.0,9.610169491527984,False,,924,,0.145
25,146,0.0005,10.0,6.085956416466367,False,,924,,0.14
25,146,0.0005,50.0,3.1101694915254328,False,,924,,0.139
25,146,0.0005,100.0,2.209443099272768,False,,924,,0.134
25,146,0.0005,500.0,1.319612590797064,False,,924,,0.117
25,146,0.0005,1000.0,1.2397094430971762,False,,924,,0.112
25,146,0.0005,5000.0,1.2941888619834927,False,,924,,0.105
25,146,0.0005,10000.0,1.288135593218449,False,,924,,0.1
25,146,0.0005,50000.0,1.3062953995139424,False,,924,,0.09
25,146,0.0005,100000.0,1.3353510895868013,False,,924,,0.086
25,146,0.0005,500000.0,1.2675544794169866,False,,924,,0.081
25,146,0.0005,1000000.0,1.3946731234849423,False,,924,,0.081
25,146,0.0001,0.0005,30.782082324457072,False,,924,,0.138
25,146,0.0001,0.0001,30.968523002423204,False,,924,,0.135
25,146,0.0001,0.005,24.359564164650706,False,,924,,0.142
25,146,0.0001,0.001,27.33535108959027,False,,924,,0.135
25,146,0.0001,0.05,32.08595641646678,False,,924,,0.147
25,146,0.0001,0.01,31.590799031478934,False,,924,,0.139
25,146,0.0001,0.5,25.280871670704197,False,,924,,0.141
25,146,0.0001,1.0,20.721549636805698,False,,924,,0.14
25,146,0.0001,5.0,9.38498789346492,False,,924,,0.147
25,146,0.0001,10.0,5.685230024214565,False,,924,,0.147
25,146,0.0001,50.0,3.273607748184162,False,,924,,0.138
25,146,0.0001,100.0,2.250605326875821,False,,924,,0.137
