n,m,beta_min,beta_max,beta_schedule_type,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
25,146,1e-06,1e-06,linear,24379.0,False,,924,,7.038
25,146,1e-06,5e-05,linear,23765.0,False,,924,,7.075
25,146,1e-06,1e-05,linear,21736.0,False,,924,,7.102
25,146,1e-06,0.0005,linear,19645.0,False,,924,,7.122
25,146,1e-06,0.0001,linear,24229.0,False,,924,,7.083
25,146,1e-06,0.005,linear,8460.0,False,,924,,7.084
25,146,1e-06,0.001,linear,18500.0,False,,924,,7.256
25,146,1e-06,0.05,linear,2602.0,False,,924,,7.377
25,146,1e-06,0.01,linear,5764.0,False,,924,,7.053
25,146,1e-06,0.5,linear,997.0,False,,924,,6.961
25,146,1e-06,1.0,linear,1027.0,False,,924,,6.987
25,146,1e-06,5.0,linear,1165.0,False,,924,,7.003
25,146,1e-06,10.0,linear,1285.0,False,,924,,7.025
25,146,1e-06,50.0,linear,1457.0,False,,924,,6.894
25,146,1e-06,100.0,linear,1483.0,False,,924,,6.965
25,146,1e-06,500.0,linear,1726.0,False,,924,,7.06
25,146,1e-06,1000.0,linear,1749.0,False,,924,,7.096
25,146,1e-06,5000.0,linear,1642.0,False,,924,,6.997
25,146,1e-06,10000.0,linear,1668.0,False,,924,,7.015
25,146,1e-06,50000.0,linear,1719.0,False,,924,,7.009
25,146,1e-06,100000.0,linear,1573.0,False,,924,,7.002
25,146,1e-06,500000.0,linear,1717.0,False,,924,,7.011
25,146,1e-06,1000000.0,linear,1723.0,False,,924,,6.881
25,146,5e-05,5e-05,linear,22581.0,False,,924,,6.904
25,146,5e-05,0.0005,linear,22207.0,False,,924,,6.956
25,146,5e-05,0.0001,linear,25073.0,False,,924,,7.018
25,146,5e-05,0.005,linear,8278.0,False,,924,,7.006
25,146,5e-05,0.001,linear,16410.0,False,,924,,6.92
25,146,5e-05,0.05,linear,2648.0,False,,924,,6.908
25,146,5e-05,0.01,linear,5441.0,False,,924,,6.937
25,146,5e-05,0.5,linear,1019.0,False,,924,,7.12
25,146,5e-05,1.0,linear,1034.0,False,,924,,6.855
25,146,5e-05,5.0,linear,1123.0,False,,924,,7.042
25,146,5e-05,10.0,linear,1255.0,False,,924,,6.967
25,146,5e-05,50.0,linear,1479.0,False,,924,,6.879
25,146,5e-05,100.0,linear,1580.0,False,,924,,6.944
25,146,5e-05,500.0,linear,1758.0,False,,924,,6.729
25,146,5e-05,1000.0,linear,1686.0,False,,924,,6.889
25,146,5e-05,5000.0,linear,1654.0,False,,924,,6.971
25,146,5e-05,10000.0,linear,1689.0,False,,924,,6.959
25,146,5e-05,50000.0,linear,1685.0,False,,924,,6.97
25,146,5e-05,100000.0,linear,1728.0,False,,924,,7.03
25,146,5e-05,500000.0,linear,1705.0,False,,924,,7.023
25,146,5e-05,1000000.0,linear,1664.0,False,,924,,6.949
25,146,1e-05,5e-05,linear,18737.0,False,,924,,7.119
25,146,1e-05,1e-05,linear,23735.0,False,,924,,6.895
25,146,1e-05,0.0005,linear,20856.0,False,,924,,7.179
25,146,1e-05,0.0001,linear,25603.0,False,,924,,6.856
25,146,1e-05,0.005,linear,8641.0,False,,924,,6.84
25,146,1e-05,0.001,linear,19073.0,False,,924,,6.889
25,146,1e-05,0.05,linear,2561.0,False,,924,,6.948
25,146,1e-05,0.01,linear,5388.0,False,,924,,7.018
25,146,1e-05,0.5,linear,1016.0,False,,924,,7.282
25,146,1e-05,1.0,linear,995.0,False,,924,,7.042
25,146,1e-05,5.0,linear,1148.0,False,,924,,6.963
25,146,1e-05,10.0,linear,1257.0,False,,924,,6.914
25,146,1e-05,50.0,linear,1489.0,False,,924,,6.925
25,146,1e-05,100.0,linear,1607.0,False,,924,,6.974
25,146,1e-05,500.0,linear,1623.0,False,,924,,7.02
25,146,1e-05,1000.0,linear,1759.0,False,,924,,7.027
25,146,1e-05,5000.0,linear,1681.0,False,,924,,6.921
25,146,1e-05,10000.0,linear,1607.0,False,,924,,7.01
25,146,1e-05,50000.0,linear,1753.0,False,,924,,6.885
25,146,1e-05,100000.0,linear,1639.0,False,,924,,6.945
25,146,1e-05,500000.0,linear,1661.0,False,,924,,7.081
25,146,1e-05,1000000.0,linear,1757.0,False,,924,,7.021
25,146,0.0005,0.0005,linear,19782.0,False,,924,,6.925
25,146,0.0005,0.005,linear,8913.0,False,,924,,7.123
25,146,0.0005,0.001,linear,18125.0,False,,924,,7.033
25,146,0.0005,0.05,linear,2795.0,False,,924,,7.106
25,146,0.0005,0.01,linear,5187.0,False,,924,,6.939
25,146,0.0005,0.5,linear,965.0,True,965.0,924,0.044372294372294376,7.185
25,146,0.0005,1.0,linear,997.0,True,997.0,924,0.07900432900432901,7.043
25,146,0.0005,5.0,linear,1173.0,False,,924,,7.048
25,146,0.0005,10.0,linear,1277.0,False,,924,,6.911
25,146,0.0005,50.0,linear,1435.0,False,,924,,6.854
25,146,0.0005,100.0,linear,1538.0,False,,924,,7.001
25,146,0.0005,500.0,linear,1722.0,False,,924,,7.005
25,146,0.0005,1000.0,linear,1705.0,False,,924,,6.919
25,146,0.0005,5000.0,linear,1757.0,False,,924,,6.98
25,146,0.0005,10000.0,linear,1699.0,False,,924,,6.929
25,146,0.0005,50000.0,linear,1665.0,False,,924,,6.875
