solver_name,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
OpenJij,5,0,5,exact,16,16,6.0,6,6,True,0.7193009853363037
OpenJij,5,1,5,exact,16,16,7.0,7,6,True,0.7165830135345459
OpenJij,5,2,4,exact,14,14,4.0,4,4,True,0.7385401725769043
OpenJij,5,3,5,exact,16,16,6.0,6,6,True,0.7137701511383057
OpenJij,5,4,7,exact,19,19,12.0,12,10,True,0.7137768268585205
OpenJij,5,5,7,exact,19,19,11.0,11,10,True,0.7556169033050537
OpenJij,5,6,5,exact,16,16,7.0,7,7,True,0.74680495262146
OpenJij,5,7,8,exact,20,20,16.0,16,14,True,0.7298097610473633
OpenJij,5,8,4,exact,14,14,7.0,7,5,True,0.7425200939178467
OpenJij,5,9,6,exact,18,18,11.0,11,10,True,0.7017521858215332
OpenJij,5,10,6,exact,18,18,10.0,10,10,True,0.76953125
OpenJij,5,11,6,exact,18,18,11.0,11,9,True,0.7383801937103271
OpenJij,5,12,6,exact,18,18,10.0,10,9,True,0.777580976486206
OpenJij,5,13,5,exact,16,16,13.0,13,7,True,0.7591629028320312
OpenJij,5,14,6,exact,18,18,11.0,11,8,True,0.7377088069915771
OpenJij,5,15,7,exact,19,19,13.0,13,12,True,0.715378999710083
OpenJij,5,16,5,exact,16,16,7.0,7,8,True,0.712364912033081
OpenJij,5,17,5,exact,16,16,7.0,7,7,True,0.7065558433532715
OpenJij,5,18,5,exact,16,16,6.0,6,6,True,0.740941047668457
OpenJij,5,19,7,exact,19,19,12.0,12,12,True,0.7771778106689453
OpenJij,5,20,4,exact,14,14,6.0,6,4,True,0.7194931507110596
OpenJij,5,21,6,exact,18,18,9.0,9,8,True,0.7157330513000488
OpenJij,5,22,5,exact,16,16,10.0,10,8,True,0.7108540534973145
OpenJij,5,23,7,exact,19,19,12.0,12,12,True,0.7126631736755371
OpenJij,5,24,5,exact,16,16,8.0,8,6,True,0.7108418941497803
OpenJij,5,25,6,exact,18,18,12.0,12,8,True,0.712723970413208
OpenJij,5,26,5,exact,16,16,7.0,7,8,True,0.7096021175384521
OpenJij,5,27,7,exact,19,19,11.0,11,10,True,0.7058150768280029
OpenJij,5,28,6,exact,18,18,11.0,11,9,True,0.7034399509429932
OpenJij,5,29,6,exact,18,18,9.0,9,9,True,0.7246761322021484
OpenJij,5,30,5,exact,16,16,7.0,7,6,True,0.7338800430297852
OpenJij,5,31,5,exact,16,16,8.0,8,7,True,0.7809300422668457
OpenJij,5,32,5,exact,16,16,9.0,9,7,True,0.7368159294128418
OpenJij,5,33,5,exact,16,16,8.0,8,6,True,0.712630033493042
OpenJij,5,34,7,exact,19,19,14.0,14,11,True,0.7118699550628662
OpenJij,5,35,8,exact,20,20,14.0,14,13,True,0.7189350128173828
OpenJij,5,36,6,exact,18,18,9.0,9,9,True,0.7134208679199219
