n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
5,5,0,6.0,True,6.0,6,1.0,0.0,0.736,SQASampler
5,5,1,6.0,True,6.0,6,1.0,0.0,0.729,SQASampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.72,SQASampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.712,SQASampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.715,SQASampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.72,SQASampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.717,SQASampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.722,SQASampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.717,SQASampler
5,6,9,9.0,True,9.0,9,1.0,0.0,0.711,SQASampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.711,SQASampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.717,SQASampler
5,7,12,12.0,True,12.0,12,1.0,0.0,0.719,SQASampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.716,SQASampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.718,SQASampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.725,SQASampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.717,SQASampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.715,SQASampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.714,SQASampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.721,SQASampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.719,SQASampler
10,26,0,67.0,True,67.0,67,1.0,0.0,0.767,SQASampler
10,27,1,75.0,True,75.0,75,1.0,0.0,0.765,SQASampler
10,14,2,22.0,True,22.0,22,1.0,0.0,0.762,SQASampler
10,20,3,45.0,True,45.0,45,1.0,0.0,0.76,SQASampler
10,19,4,44.0,True,44.0,44,1.0,0.0,0.76,SQASampler
10,23,5,56.0,True,56.0,56,1.0,0.0,0.766,SQASampler
10,23,6,53.0,True,53.0,53,1.0,0.0,0.756,SQASampler
10,21,7,51.0,True,51.0,51,1.0,0.0,0.764,SQASampler
10,22,8,47.0,True,47.0,47,1.0,0.0,0.762,SQASampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.76,SQASampler
10,21,10,52.0,True,52.0,52,1.0,0.0,0.763,SQASampler
10,21,11,51.0,True,51.0,51,1.0,0.0,0.763,SQASampler
10,19,12,46.0,True,46.0,46,1.0,0.0,0.768,SQASampler
10,28,13,76.0,True,76.0,76,1.0,0.0,0.762,SQASampler
10,22,14,52.0,True,52.0,52,1.0,0.0,0.762,SQASampler
10,25,15,70.0,True,70.0,70,1.0,0.0,0.759,SQASampler
10,23,16,59.0,True,59.0,59,1.0,0.0,0.758,SQASampler
10,25,17,63.0,True,63.0,63,1.0,0.0,0.761,SQASampler
10,20,18,43.0,True,43.0,43,1.0,0.0,0.78,SQASampler
10,23,19,56.0,True,56.0,54,1.037037037037037,0.037037037037037035,0.765,SQASampler
10,17,20,37.0,True,37.0,37,1.0,0.0,0.781,SQASampler
10,24,21,61.0,True,61.0,61,1.0,0.0,0.85,SQASampler
10,23,22,57.0,True,57.0,57,1.0,0.0,0.862,SQASampler
10,25,23,67.0,True,67.0,67,1.0,0.0,0.982,SQASampler
10,24,24,57.0,True,57.0,57,1.0,0.0,0.805,SQASampler
10,18,25,39.0,True,39.0,39,1.0,0.0,0.797,SQASampler
10,21,26,43.0,True,43.0,43,1.0,0.0,0.776,SQASampler
10,22,27,50.0,True,50.0,50,1.0,0.0,0.787,SQASampler
10,21,28,48.0,True,48.0,48,1.0,0.0,0.882,SQASampler
10,19,29,45.0,True,45.0,45,1.0,0.0,0.85,SQASampler
10,27,30,74.0,True,74.0,74,1.0,0.0,0.878,SQASampler
10,18,31,35.0,True,35.0,35,1.0,0.0,0.932,SQASampler
10,20,32,46.0,True,46.0,46,1.0,0.0,1.171,SQASampler
10,25,33,65.0,True,65.0,65,1.0,0.0,0.854,SQASampler
10,21,34,53.0,True,53.0,53,1.0,0.0,0.758,SQASampler
10,22,35,50.0,True,50.0,50,1.0,0.0,0.758,SQASampler
10,21,36,50.0,True,50.0,50,1.0,0.0,0.779,SQASampler
10,26,37,68.0,True,68.0,68,1.0,0.0,1.022,SQASampler
10,21,38,50.0,True,50.0,50,1.0,0.0,0.833,SQASampler
10,18,39,42.0,True,42.0,42,1.0,0.0,0.752,SQASampler
10,24,40,60.0,True,60.0,60,1.0,0.0,0.76,SQASampler
10,25,41,67.0,True,67.0,67,1.0,0.0,0.769,SQASampler
10,21,42,52.0,True,52.0,52,1.0,0.0,0.762,SQASampler
10,24,43,54.0,True,54.0,54,1.0,0.0,0.757,SQASampler
10,25,44,62.0,True,62.0,62,1.0,0.0,0.759,SQASampler
10,21,45,52.0,True,52.0,52,1.0,0.0,0.755,SQASampler
10,27,46,74.0,True,74.0,74,1.0,0.0,0.76,SQASampler
10,24,47,63.0,True,63.0,62,1.0161290322580645,0.016129032258064516,0.76,SQASampler
10,19,48,40.0,True,40.0,40,1.0,0.0,0.764,SQASampler
10,23,49,58.0,True,58.0,58,1.0,0.0,0.762,SQASampler
10,23,50,55.0,True,55.0,55,1.0,0.0,0.76,SQASampler
10,22,51,57.0,True,57.0,57,1.0,0.0,0.76,SQASampler
10,19,52,45.0,True,45.0,45,1.0,0.0,0.758,SQASampler
10,25,53,59.0,True,59.0,59,1.0,0.0,0.756,SQASampler
10,21,54,50.0,True,50.0,50,1.0,0.0,0.761,SQASampler
10,21,55,52.0,True,52.0,51,1.0196078431372548,0.0196078431372549,0.762,SQASampler
10,26,56,68.0,True,68.0,68,1.0,0.0,0.759,SQASampler
10,25,57,60.0,True,60.0,60,1.0,0.0,0.76,SQASampler
10,21,58,45.0,True,45.0,45,1.0,0.0,0.759,SQASampler
10,26,59,68.0,True,68.0,68,1.0,0.0,0.762,SQASampler
