n,m,beta_min,beta_max,space_type,beta_schedule_type,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
30,227,1e-09,1e-09,linear,custom,49716.0,False,,1848,,5.95
30,227,1e-09,1e-08,linear,custom,49716.0,False,,1848,,6.016
30,227,1e-09,1e-07,linear,custom,49716.0,False,,1848,,6.013
30,227,1e-09,1e-06,linear,custom,49456.0,False,,1848,,6.042
30,227,1e-09,1e-05,linear,custom,49267.0,False,,1848,,5.973
30,227,1e-09,0.0001,linear,custom,46019.0,False,,1848,,5.966
30,227,1e-09,0.001,linear,custom,29960.0,False,,1848,,6.018
30,227,1e-09,0.01,linear,custom,8271.0,False,,1848,,6.006
30,227,1e-09,0.1,linear,custom,3418.0,False,,1848,,6.057
30,227,1e-09,1.0,linear,custom,1918.0,False,,1848,,6.785
30,227,1e-09,10.0,linear,custom,1834.0,False,,1848,,16.719
30,227,1e-08,1e-08,linear,custom,49716.0,False,,1848,,6.018
30,227,1e-08,1e-07,linear,custom,49716.0,False,,1848,,5.947
30,227,1e-08,1e-06,linear,custom,49456.0,False,,1848,,5.955
30,227,1e-08,1e-05,linear,custom,49267.0,False,,1848,,5.944
30,227,1e-08,0.0001,linear,custom,46019.0,False,,1848,,6.082
30,227,1e-08,0.001,linear,custom,29960.0,False,,1848,,6.021
30,227,1e-08,0.01,linear,custom,8271.0,False,,1848,,6.041
30,227,1e-08,0.1,linear,custom,3418.0,False,,1848,,6.174
30,227,1e-08,1.0,linear,custom,1918.0,False,,1848,,6.832
30,227,1e-08,10.0,linear,custom,1834.0,False,,1848,,16.736
30,227,1e-07,1e-07,linear,custom,49716.0,False,,1848,,6.043
30,227,1e-07,1e-06,linear,custom,49456.0,False,,1848,,6.001
30,227,1e-07,1e-05,linear,custom,49267.0,False,,1848,,6.024
30,227,1e-07,0.0001,linear,custom,46019.0,False,,1848,,6.13
30,227,1e-07,0.001,linear,custom,29960.0,False,,1848,,6.113
30,227,1e-07,0.01,linear,custom,8271.0,False,,1848,,6.052
30,227,1e-07,0.1,linear,custom,3566.0,False,,1848,,6.032
