schedule,n_vertices,m_edges,energy,feasible,time_s,best_seed
Linear,25,146,971.0,True,4.268,42
Geometric,25,146,1089.0,False,3.852,123
Power (1/3),25,146,985.0,True,4.267,789
Power (1/2),25,146,962.0,False,4.124,123
Power (2),25,146,1037.0,True,4.154,123
Power (3),25,146,958.0,False,4.054,789
Trigonometric,25,146,1003.0,True,4.258,42
Sigmoid,25,146,993.0,False,4.401,42
Logarithmic,25,146,1144.0,False,3.811,42
"Fixed Hd, Linear Hp",25,146,958.0,True,4.578,123
"Fixed Hd, Geometric Hp",25,146,1021.0,False,5.539,42
"Fixed Hd, Power Hp (1/2)",25,146,950.0,True,4.584,42
"Fixed Hd, Power Hp (2)",25,146,953.0,False,4.956,42
"Fixed Hd, Trigonometric Hp",25,146,963.0,True,4.754,42
"Fixed Hd, Sigmoid Hp",25,146,963.0,True,5.094,789
"Fixed Hd, Logarithmic Hp",25,146,1023.0,False,4.708,999
