n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
5,5,0,7.0,True,7.0,6,1.1666666666666667,0.16666666666666666,0.726,SQASampler
5,5,1,7.0,True,7.0,6,1.1666666666666667,0.16666666666666666,0.719,SQASampler
5,4,2,4.0,True,4.0,4,1.0,0.0,0.718,SQASampler
5,7,3,10.0,True,10.0,10,1.0,0.0,0.718,SQASampler
5,5,4,7.0,True,7.0,7,1.0,0.0,0.718,SQASampler
5,8,5,14.0,True,14.0,14,1.0,0.0,0.708,SQASampler
5,4,6,5.0,True,5.0,5,1.0,0.0,0.714,SQASampler
5,6,7,10.0,True,10.0,10,1.0,0.0,0.722,SQASampler
5,6,8,9.0,True,9.0,9,1.0,0.0,0.716,SQASampler
5,6,9,10.0,True,10.0,9,1.1111111111111112,0.1111111111111111,0.718,SQASampler
5,5,10,7.0,True,7.0,7,1.0,0.0,0.72,SQASampler
5,6,11,8.0,True,8.0,8,1.0,0.0,0.719,SQASampler
5,7,12,13.0,True,13.0,12,1.0833333333333333,0.08333333333333333,0.72,SQASampler
5,5,13,8.0,True,8.0,8,1.0,0.0,0.721,SQASampler
5,7,14,11.0,True,11.0,11,1.0,0.0,0.72,SQASampler
5,8,15,13.0,True,13.0,13,1.0,0.0,0.717,SQASampler
5,6,16,8.0,True,8.0,8,1.0,0.0,0.72,SQASampler
5,7,17,12.0,True,12.0,12,1.0,0.0,0.718,SQASampler
5,9,18,16.0,True,16.0,16,1.0,0.0,0.713,SQASampler
5,10,19,20.0,True,20.0,20,1.0,0.0,0.717,SQASampler
5,4,20,6.0,True,6.0,6,1.0,0.0,0.717,SQASampler
10,26,0,71.0,True,71.0,67,1.0597014925373134,0.05970149253731343,0.765,SQASampler
10,27,1,81.0,True,81.0,75,1.08,0.08,0.763,SQASampler
10,14,2,25.0,True,25.0,22,1.1363636363636365,0.13636363636363635,0.759,SQASampler
10,20,3,48.0,True,48.0,45,1.0666666666666667,0.06666666666666667,0.762,SQASampler
10,19,4,45.0,True,45.0,44,1.0227272727272727,0.022727272727272728,0.761,SQASampler
10,23,5,58.0,True,58.0,56,1.0357142857142858,0.03571428571428571,0.761,SQASampler
10,23,6,53.0,True,53.0,53,1.0,0.0,0.761,SQASampler
10,21,7,53.0,True,53.0,51,1.0392156862745099,0.0392156862745098,0.766,SQASampler
10,22,8,47.0,True,47.0,47,1.0,0.0,0.76,SQASampler
10,25,9,60.0,True,60.0,60,1.0,0.0,0.761,SQASampler
10,21,10,52.0,True,52.0,52,1.0,0.0,0.76,SQASampler
10,21,11,52.0,True,52.0,51,1.0196078431372548,0.0196078431372549,0.762,SQASampler
10,19,12,46.0,True,46.0,46,1.0,0.0,0.766,SQASampler
10,28,13,76.0,True,76.0,76,1.0,0.0,0.825,SQASampler
10,22,14,54.0,True,54.0,52,1.0384615384615385,0.038461538461538464,0.759,SQASampler
10,25,15,70.0,True,70.0,70,1.0,0.0,0.757,SQASampler
10,23,16,60.0,True,60.0,59,1.0169491525423728,0.01694915254237288,0.779,SQASampler
10,25,17,71.0,True,71.0,63,1.126984126984127,0.12698412698412698,0.834,SQASampler
10,20,18,43.0,True,43.0,43,1.0,0.0,0.769,SQASampler
10,23,19,54.0,True,54.0,54,1.0,0.0,0.793,SQASampler
10,17,20,37.0,True,37.0,37,1.0,0.0,0.973,SQASampler
10,24,21,61.0,True,61.0,61,1.0,0.0,0.93,SQASampler
10,23,22,58.0,True,58.0,57,1.0175438596491229,0.017543859649122806,0.983,SQASampler
10,25,23,68.0,True,68.0,67,1.0149253731343284,0.014925373134328358,0.807,SQASampler
10,24,24,58.0,True,58.0,57,1.0175438596491229,0.017543859649122806,1.196,SQASampler
10,18,25,40.0,True,40.0,39,1.0256410256410255,0.02564102564102564,0.936,SQASampler
10,21,26,45.0,True,45.0,43,1.0465116279069768,0.046511627906976744,0.819,SQASampler
10,22,27,50.0,True,50.0,50,1.0,0.0,0.837,SQASampler
10,21,28,48.0,True,48.0,48,1.0,0.0,0.757,SQASampler
10,19,29,45.0,True,45.0,45,1.0,0.0,0.761,SQASampler
10,27,30,74.0,True,74.0,74,1.0,0.0,0.796,SQASampler
10,18,31,36.0,True,36.0,35,1.0285714285714285,0.02857142857142857,0.759,SQASampler
10,20,32,50.0,True,50.0,46,1.0869565217391304,0.08695652173913043,0.758,SQASampler
10,25,33,65.0,True,65.0,65,1.0,0.0,0.754,SQASampler
