config_id,graph_index,n,m,num_reads,num_sweeps,beta_min,beta_max,gamma,trotter,sparse,reinitialize_state,schedule_name,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s,status,error
49,0,30,227,10,1000,0.0001,10.0,2.0,4,True,True,linear,2003.0,False,,1848,,1.1563,OK,
50,0,30,227,10,1000,0.0001,10.0,2.0,4,True,True,concave,2580.0,False,,1848,,1.1758,OK,
51,0,30,227,10,1000,0.0001,10.0,2.0,4,True,True,convex,1839.0,False,,1848,,1.1675,OK,
52,0,30,227,10,1000,0.0001,10.0,2.0,8,True,True,linear,1823.0,False,,1848,,1.6027,OK,
53,0,30,227,10,1000,0.0001,10.0,2.0,8,True,True,concave,1871.0,False,,1848,,1.5732,OK,
54,0,30,227,10,1000,0.0001,10.0,2.0,8,True,True,convex,1996.0,False,,1848,,1.2539,OK,
55,0,30,227,10,1000,0.0001,50.0,0.5,4,True,True,linear,2155.0,False,,1848,,1.0087,OK,
56,0,30,227,10,1000,0.0001,50.0,0.5,4,True,True,concave,2505.0,False,,1848,,1.0144,OK,
57,0,30,227,10,1000,0.0001,50.0,0.5,4,True,True,convex,2355.0,False,,1848,,0.9881,OK,
58,0,30,227,10,1000,0.0001,50.0,0.5,8,True,True,linear,2030.0,False,,1848,,1.196,OK,
59,0,30,227,10,1000,0.0001,50.0,0.5,8,True,True,concave,2054.0,False,,1848,,1.2665,OK,
60,0,30,227,10,1000,0.0001,50.0,0.5,8,True,True,convex,2302.0,False,,1848,,1.2257,OK,
61,0,30,227,10,1000,0.0001,50.0,1.0,4,True,True,linear,2554.0,False,,1848,,1.1229,OK,
62,0,30,227,10,1000,0.0001,50.0,1.0,4,True,True,concave,3789.0,False,,1848,,1.2842,OK,
63,0,30,227,10,1000,0.0001,50.0,1.0,4,True,True,convex,2242.0,False,,1848,,1.0697,OK,
64,0,30,227,10,1000,0.0001,50.0,1.0,8,True,True,linear,2057.0,False,,1848,,1.3987,OK,
65,0,30,227,10,1000,0.0001,50.0,1.0,8,True,True,concave,2630.0,False,,1848,,1.3666,OK,
66,0,30,227,10,1000,0.0001,50.0,1.0,8,True,True,convex,1999.0,False,,1848,,1.2987,OK,
67,0,30,227,10,1000,0.0001,50.0,2.0,4,True,True,linear,3319.0,False,,1848,,1.1401,OK,
68,0,30,227,10,1000,0.0001,50.0,2.0,4,True,True,concave,3233.0,False,,1848,,1.12,OK,
69,0,30,227,10,1000,0.0001,50.0,2.0,4,True,True,convex,2177.0,False,,1848,,1.2788,OK,
70,0,30,227,10,1000,0.0001,50.0,2.0,8,True,True,linear,2654.0,False,,1848,,1.6965,OK,
71,0,30,227,10,1000,0.0001,50.0,2.0,8,True,True,concave,2787.0,False,,1848,,1.6025,OK,
72,0,30,227,10,1000,0.0001,50.0,2.0,8,True,True,convex,2020.0,False,,1848,,1.4772,OK,
73,0,30,227,10,1000,0.001,1.0,0.5,4,True,True,linear,3194.0,False,,1848,,1.1258,OK,
74,0,30,227,10,1000,0.001,1.0,0.5,4,True,True,concave,2823.0,False,,1848,,1.0735,OK,
75,0,30,227,10,1000,0.001,1.0,0.5,4,True,True,convex,3697.0,False,,1848,,1.0813,OK,
76,0,30,227,10,1000,0.001,1.0,0.5,8,True,True,linear,3688.0,False,,1848,,1.1966,OK,
77,0,30,227,10,1000,0.001,1.0,0.5,8,True,True,concave,3270.0,False,,1848,,1.2587,OK,
78,0,30,227,10,1000,0.001,1.0,0.5,8,True,True,convex,4342.0,False,,1848,,1.1891,OK,
79,0,30,227,10,1000,0.001,1.0,1.0,4,True,True,linear,2788.0,False,,1848,,1.0349,OK,
80,0,30,227,10,1000,0.001,1.0,1.0,4,True,True,concave,2475.0,False,,1848,,1.0981,OK,
81,0,30,227,10,1000,0.001,1.0,1.0,4,True,True,convex,3129.0,False,,1848,,1.0618,OK,
82,0,30,227,10,1000,0.001,1.0,1.0,8,True,True,linear,3124.0,False,,1848,,1.2215,OK,
83,0,30,227,10,1000,0.001,1.0,1.0,8,True,True,concave,2759.0,False,,1848,,1.2357,OK,
84,0,30,227,10,1000,0.001,1.0,1.0,8,True,True,convex,3605.0,False,,1848,,1.2503,OK,
85,0,30,227,10,1000,0.001,1.0,2.0,4,True,True,linear,2417.0,False,,1848,,1.1846,OK,
86,0,30,227,10,1000,0.001,1.0,2.0,4,True,True,concave,1958.0,False,,1848,,1.2634,OK,
87,0,30,227,10,1000,0.001,1.0,2.0,4,True,True,convex,2814.0,False,,1848,,1.1516,OK,
88,0,30,227,10,1000,0.001,1.0,2.0,8,True,True,linear,2623.0,False,,1848,,1.3794,OK,
89,0,30,227,10,1000,0.001,1.0,2.0,8,True,True,concave,2471.0,False,,1848,,1.3909,OK,
90,0,30,227,10,1000,0.001,1.0,2.0,8,True,True,convex,2905.0,False,,1848,,1.2312,OK,
91,0,30,227,10,1000,0.001,5.0,0.5,4,True,True,linear,2548.0,False,,1848,,1.2082,OK,
92,0,30,227,10,1000,0.001,5.0,0.5,4,True,True,concave,2141.0,False,,1848,,1.187,OK,
93,0,30,227,10,1000,0.001,5.0,0.5,4,True,True,convex,2907.0,False,,1848,,1.1879,OK,
94,0,30,227,10,1000,0.001,5.0,0.5,8,True,True,linear,2666.0,False,,1848,,1.2956,OK,
95,0,30,227,10,1000,0.001,5.0,0.5,8,True,True,concave,2202.0,False,,1848,,1.3299,OK,
96,0,30,227,10,1000,0.001,5.0,0.5,8,True,True,convex,3180.0,False,,1848,,1.4101,OK,
97,0,30,227,10,1000,0.001,5.0,1.0,4,True,True,linear,2088.0,False,,1848,,1.0841,OK,
98,0,30,227,10,1000,0.001,5.0,1.0,4,True,True,concave,1996.0,False,,1848,,1.555,OK,
99,0,30,227,10,1000,0.001,5.0,1.0,4,True,True,convex,2460.0,False,,1848,,1.6022,OK,
100,0,30,227,10,1000,0.001,5.0,1.0,8,True,True,linear,2179.0,False,,1848,,4.303,OK,
101,0,30,227,10,1000,0.001,5.0,1.0,8,True,True,concave,1961.0,False,,1848,,1.3794,OK,
102,0,30,227,10,1000,0.001,5.0,1.0,8,True,True,convex,2690.0,False,,1848,,1.3116,OK,
103,0,30,227,10,1000,0.001,5.0,2.0,4,True,True,linear,1815.0,False,,1848,,1.2454,OK,
104,0,30,227,10,1000,0.001,5.0,2.0,4,True,True,concave,1890.0,False,,1848,,1.3599,OK,
105,0,30,227,10,1000,0.001,5.0,2.0,4,True,True,convex,1987.0,False,,1848,,1.1727,OK,
106,0,30,227,10,1000,0.001,5.0,2.0,8,True,True,linear,1942.0,False,,1848,,1.533,OK,
107,0,30,227,10,1000,0.001,5.0,2.0,8,True,True,concave,1926.0,False,,1848,,1.6382,OK,
108,0,30,227,10,1000,0.001,5.0,2.0,8,True,True,convex,2214.0,False,,1848,,1.2884,OK,
109,0,30,227,10,1000,0.001,10.0,0.5,4,True,True,linear,2394.0,False,,1848,,1.0558,OK,
110,0,30,227,10,1000,0.001,10.0,0.5,4,True,True,concave,2079.0,False,,1848,,1.0559,OK,
111,0,30,227,10,1000,0.001,10.0,0.5,4,True,True,convex,2718.0,False,,1848,,1.0063,OK,
112,0,30,227,10,1000,0.001,10.0,0.5,8,True,True,linear,2320.0,False,,1848,,1.2509,OK,
113,0,30,227,10,1000,0.001,10.0,0.5,8,True,True,concave,2046.0,False,,1848,,1.2699,OK,
114,0,30,227,10,1000,0.001,10.0,0.5,8,True,True,convex,2850.0,False,,1848,,1.2143,OK,
115,0,30,227,10,1000,0.001,10.0,1.0,4,True,True,linear,1957.0,False,,1848,,1.1411,OK,
116,0,30,227,10,1000,0.001,10.0,1.0,4,True,True,concave,1911.0,False,,1848,,1.0707,OK,
117,0,30,227,10,1000,0.001,10.0,1.0,4,True,True,convex,2064.0,False,,1848,,1.0136,OK,
118,0,30,227,10,1000,0.001,10.0,1.0,8,True,True,linear,2046.0,False,,1848,,1.1755,OK,
119,0,30,227,10,1000,0.001,10.0,1.0,8,True,True,concave,1988.0,False,,1848,,1.4579,OK,
120,0,30,227,10,1000,0.001,10.0,1.0,8,True,True,convex,2532.0,False,,1848,,1.2031,OK,
121,0,30,227,10,1000,0.001,10.0,2.0,4,True,True,linear,2163.0,False,,1848,,1.1436,OK,
122,0,30,227,10,1000,0.001,10.0,2.0,4,True,True,concave,2189.0,False,,1848,,1.1793,OK,
123,0,30,227,10,1000,0.001,10.0,2.0,4,True,True,convex,2009.0,False,,1848,,1.0275,OK,
124,0,30,227,10,1000,0.001,10.0,2.0,8,True,True,linear,1867.0,False,,1848,,1.3441,OK,
125,0,30,227,10,1000,0.001,10.0,2.0,8,True,True,concave,1917.0,False,,1848,,1.466,OK,
126,0,30,227,10,1000,0.001,10.0,2.0,8,True,True,convex,1959.0,False,,1848,,1.1526,OK,
127,0,30,227,10,1000,0.001,50.0,0.5,4,True,True,linear,2210.0,False,,1848,,0.9109,OK,
128,0,30,227,10,1000,0.001,50.0,0.5,4,True,True,concave,3019.0,False,,1848,,0.9272,OK,
129,0,30,227,10,1000,0.001,50.0,0.5,4,True,True,convex,2347.0,False,,1848,,0.951,OK,
130,0,30,227,10,1000,0.001,50.0,0.5,8,True,True,linear,1967.0,False,,1848,,1.1209,OK,
131,0,30,227,10,1000,0.001,50.0,0.5,8,True,True,concave,2120.0,False,,1848,,1.3504,OK,
132,0,30,227,10,1000,0.001,50.0,0.5,8,True,True,convex,2302.0,False,,1848,,1.2576,OK,
133,0,30,227,10,1000,0.001,50.0,1.0,4,True,True,linear,2305.0,False,,1848,,1.163,OK,
134,0,30,227,10,1000,0.001,50.0,1.0,4,True,True,concave,2872.0,False,,1848,,1.1518,OK,
135,0,30,227,10,1000,0.001,50.0,1.0,4,True,True,convex,2002.0,False,,1848,,1.3682,OK,
136,0,30,227,10,1000,0.001,50.0,1.0,8,True,True,linear,2082.0,False,,1848,,3.2753,OK,
137,0,30,227,10,1000,0.001,50.0,1.0,8,True,True,concave,2635.0,False,,1848,,1.457,OK,
138,0,30,227,10,1000,0.001,50.0,1.0,8,True,True,convex,2138.0,False,,1848,,1.3094,OK,
139,0,30,227,10,1000,0.001,50.0,2.0,4,True,True,linear,2969.0,False,,1848,,1.1885,OK,
140,0,30,227,10,1000,0.001,50.0,2.0,4,True,True,concave,4494.0,False,,1848,,1.0223,OK,
141,0,30,227,10,1000,0.001,50.0,2.0,4,True,True,convex,2166.0,False,,1848,,1.0528,OK,
142,0,30,227,10,1000,0.001,50.0,2.0,8,True,True,linear,2423.0,False,,1848,,1.3879,OK,
143,0,30,227,10,1000,0.001,50.0,2.0,8,True,True,concave,3060.0,False,,1848,,1.3212,OK,
144,0,30,227,10,1000,0.001,50.0,2.0,8,True,True,convex,2005.0,False,,1848,,1.3172,OK,
145,0,30,227,10,1000,0.01,1.0,0.5,4,True,True,linear,3087.0,False,,1848,,0.9893,OK,
146,0,30,227,10,1000,0.01,1.0,0.5,4,True,True,concave,2866.0,False,,1848,,0.9913,OK,
147,0,30,227,10,1000,0.01,1.0,0.5,4,True,True,convex,3652.0,False,,1848,,1.0607,OK,
148,0,30,227,10,1000,0.01,1.0,0.5,8,True,True,linear,3751.0,False,,1848,,1.1746,OK,
149,0,30,227,10,1000,0.01,1.0,0.5,8,True,True,concave,3251.0,False,,1848,,1.1722,OK,
150,0,30,227,10,1000,0.01,1.0,0.5,8,True,True,convex,4319.0,False,,1848,,1.1441,OK,
151,0,30,227,10,1000,0.01,1.0,1.0,4,True,True,linear,2759.0,False,,1848,,1.0422,OK,
152,0,30,227,10,1000,0.01,1.0,1.0,4,True,True,concave,2456.0,False,,1848,,1.0203,OK,
153,0,30,227,10,1000,0.01,1.0,1.0,4,True,True,convex,3204.0,False,,1848,,0.9479,OK,
154,0,30,227,10,1000,0.01,1.0,1.0,8,True,True,linear,3019.0,False,,1848,,1.2197,OK,
155,0,30,227,10,1000,0.01,1.0,1.0,8,True,True,concave,2715.0,False,,1848,,1.2109,OK,
156,0,30,227,10,1000,0.01,1.0,1.0,8,True,True,convex,3550.0,False,,1848,,1.184,OK,
157,0,30,227,10,1000,0.01,1.0,2.0,4,True,True,linear,2286.0,False,,1848,,1.0581,OK,
158,0,30,227,10,1000,0.01,1.0,2.0,4,True,True,concave,2150.0,False,,1848,,1.1705,OK,
159,0,30,227,10,1000,0.01,1.0,2.0,4,True,True,convex,2695.0,False,,1848,,1.0017,OK,
160,0,30,227,10,1000,0.01,1.0,2.0,8,True,True,linear,2512.0,False,,1848,,1.1876,OK,
161,0,30,227,10,1000,0.01,1.0,2.0,8,True,True,concave,2296.0,False,,1848,,1.2551,OK,
162,0,30,227,10,1000,0.01,1.0,2.0,8,True,True,convex,3000.0,False,,1848,,1.1867,OK,
163,0,30,227,10,1000,0.01,5.0,0.5,4,True,True,linear,2543.0,False,,1848,,0.9745,OK,
164,0,30,227,10,1000,0.01,5.0,0.5,4,True,True,concave,2210.0,False,,1848,,0.9971,OK,
165,0,30,227,10,1000,0.01,5.0,0.5,4,True,True,convex,2956.0,False,,1848,,0.9861,OK,
166,0,30,227,10,1000,0.01,5.0,0.5,8,True,True,linear,2700.0,False,,1848,,1.1547,OK,
167,0,30,227,10,1000,0.01,5.0,0.5,8,True,True,concave,2248.0,False,,1848,,1.236,OK,
168,0,30,227,10,1000,0.01,5.0,0.5,8,True,True,convex,3179.0,False,,1848,,1.2797,OK,
169,0,30,227,10,1000,0.01,5.0,1.0,4,True,True,linear,2134.0,False,,1848,,1.2114,OK,
170,0,30,227,10,1000,0.01,5.0,1.0,4,True,True,concave,1957.0,False,,1848,,1.2878,OK,
171,0,30,227,10,1000,0.01,5.0,1.0,4,True,True,convex,2345.0,False,,1848,,1.259,OK,
172,0,30,227,10,1000,0.01,5.0,1.0,8,True,True,linear,2322.0,False,,1848,,1.4645,OK,
173,0,30,227,10,1000,0.01,5.0,1.0,8,True,True,concave,1977.0,False,,1848,,1.5473,OK,
174,0,30,227,10,1000,0.01,5.0,1.0,8,True,True,convex,2729.0,False,,1848,,1.5743,OK,
175,0,30,227,10,1000,0.01,5.0,2.0,4,True,True,linear,1935.0,False,,1848,,1.8982,OK,
176,0,30,227,10,1000,0.01,5.0,2.0,4,True,True,concave,1933.0,False,,1848,,1.7454,OK,
177,0,30,227,10,1000,0.01,5.0,2.0,4,True,True,convex,2057.0,False,,1848,,3.7383,OK,
178,0,30,227,10,1000,0.01,5.0,2.0,8,True,True,linear,1866.0,False,,1848,,1.3748,OK,
