n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
10,26,0.0005,100.0,0.49664429530216836,False,,67,,0.292
10,26,0.0005,500.0,0.4899328859061862,True,73.0,67,0.08955223880597014,0.296
10,26,0.0005,1000.0,0.45637583892632794,True,68.0,67,0.014925373134328358,0.297
10,26,0.0005,5000.0,0.5033557046981327,True,75.0,67,0.11940298507462686,0.294
10,26,0.0005,10000.0,0.4899328859061791,True,73.0,67,0.08955223880597014,0.297
10,26,0.0005,50000.0,0.4899328859061942,True,73.0,67,0.08955223880597014,0.288
10,26,0.0005,100000.0,0.5033557046981443,True,75.0,67,0.11940298507462686,0.285
10,26,0.0005,500000.0,0.5234899328860605,False,,67,,0.291
10,26,0.0005,1000000.0,0.49664429530216925,True,74.0,67,0.1044776119402985,0.287
10,26,0.0001,0.0005,5.147651006711518,False,,67,,0.294
10,26,0.0001,0.0001,5.6510067114095,False,,67,,0.284
10,26,0.0001,0.005,6.120805369127626,False,,67,,0.291
10,26,0.0001,0.001,6.322147651006818,False,,67,,0.294
10,26,0.0001,0.05,6.838926174496751,False,,67,,0.292
10,26,0.0001,0.01,5.2348993288591705,False,,67,,0.292
10,26,0.0001,0.5,4.489932885906143,False,,67,,0.293
10,26,0.0001,1.0,4.31543624161084,False,,67,,0.298
10,26,0.0001,5.0,1.8590604026846789,False,,67,,0.296
10,26,0.0001,10.0,1.5771812080538066,False,,67,,0.299
10,26,0.0001,50.0,0.5704697986578706,False,,67,,0.295
10,26,0.0001,100.0,0.49664429530216037,True,74.0,67,0.1044776119402985,0.287
10,26,0.0001,500.0,0.4966442953021719,True,74.0,67,0.1044776119402985,0.291
10,26,0.0001,1000.0,0.4832214765102183,True,72.0,67,0.07462686567164178,0.287
10,26,0.0001,5000.0,0.496644295302171,True,74.0,67,0.1044776119402985,0.288
10,26,0.0001,10000.0,0.4496644295303538,True,67.0,67,0.0,0.29
10,26,0.0001,50000.0,0.4630872483223012,True,69.0,67,0.029850746268656716,0.292
10,26,0.0001,100000.0,0.4563758389263386,True,68.0,67,0.014925373134328358,0.29
10,26,0.0001,500000.0,0.4765100671142548,True,71.0,67,0.05970149253731343,0.33
10,26,0.0001,1000000.0,0.5167785234900872,True,77.0,67,0.14925373134328357,0.299
10,26,0.005,0.005,6.355704697986687,False,,67,,0.295
10,26,0.005,0.05,5.4899328859061525,False,,67,,0.295
10,26,0.005,0.01,4.7986577181209125,False,,67,,0.293
10,26,0.005,0.5,5.630872483221584,False,,67,,0.308
10,26,0.005,1.0,4.51006711409407,False,,67,,0.293
10,26,0.005,5.0,1.7651006711410426,False,,67,,0.296
10,26,0.005,10.0,1.355704697986715,False,,67,,0.292
10,26,0.005,50.0,0.6174496644296896,False,,67,,0.296
10,26,0.005,100.0,0.45637583892632083,True,68.0,67,0.014925373134328358,0.292
10,26,0.005,500.0,0.4630872483223092,True,69.0,67,0.029850746268656716,0.294
10,26,0.005,1000.0,0.46979865771827267,True,70.0,67,0.04477611940298507,0.293
10,26,0.005,5000.0,0.48993288590618533,True,73.0,67,0.08955223880597014,0.294
10,26,0.005,10000.0,0.4832214765102254,True,72.0,67,0.07462686567164178,0.313
10,26,0.005,50000.0,0.5033557046981354,True,75.0,67,0.11940298507462686,0.293
10,26,0.005,100000.0,0.48322147651022185,True,72.0,67,0.07462686567164178,0.295
10,26,0.005,500000.0,0.46979865771827267,True,70.0,67,0.04477611940298507,0.29
10,26,0.005,1000000.0,0.5033557046981416,True,75.0,67,0.11940298507462686,0.293
10,26,0.001,0.005,6.664429530201452,False,,67,,0.295
10,26,0.001,0.001,5.107382550335679,False,,67,,0.295
10,26,0.001,0.05,5.5771812080537995,False,,67,,0.29
10,26,0.001,0.01,5.778523489932992,False,,67,,0.293
10,26,0.001,0.5,5.08724832214776,False,,67,,0.295
10,26,0.001,1.0,4.281879194630985,False,,67,,0.292
10,26,0.001,5.0,2.1744966442954166,False,,67,,0.294
10,26,0.001,10.0,1.449664429530328,False,,67,,0.293
10,26,0.001,50.0,0.5973154362417654,False,,67,,0.291
10,26,0.001,100.0,0.4563758389263244,True,68.0,67,0.014925373134328358,0.293
10,26,0.001,500.0,0.4630872483223083,True,69.0,67,0.029850746268656716,0.293
10,26,0.001,1000.0,0.5100671140941131,True,76.0,67,0.13432835820895522,0.291
10,26,0.001,5000.0,0.4899328859061933,True,73.0,67,0.08955223880597014,0.294
10,26,0.001,10000.0,0.4899328859061898,True,73.0,67,0.08955223880597014,0.29
10,26,0.001,50000.0,0.4899328859061898,True,73.0,67,0.08955223880597014,0.292
10,26,0.001,100000.0,0.5033557046981443,True,75.0,67,0.11940298507462686,0.287
10,26,0.001,500000.0,0.46308724832230386,True,69.0,67,0.029850746268656716,0.29
10,26,0.001,1000000.0,0.46979865771827534,True,70.0,67,0.04477611940298507,0.287
10,26,0.05,0.05,5.818791946308832,False,,67,,0.287
10,26,0.05,0.5,4.5570469798658815,False,,67,,0.287
10,26,0.05,1.0,3.7516778523491006,False,,67,,0.287
