n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
25,146,1e-06,1e-06,1.3280871670684533,False,,924,,0.016
25,146,1e-06,5e-05,1.308716707020153,False,,924,,0.015
25,146,1e-06,1e-05,1.284503631959474,False,,924,,0.015
25,146,1e-06,0.0005,1.4382566585941774,False,,924,,0.016
25,146,1e-06,0.0001,1.2723970944292589,False,,924,,0.016
25,146,1e-06,0.005,1.2615012106519288,False,,924,,0.016
25,146,1e-06,0.001,1.319612590797341,False,,924,,0.016
25,146,1e-06,0.05,1.352300242128969,False,,924,,0.015
25,146,1e-06,0.01,1.2506053268745134,False,,924,,0.015
25,146,1e-06,0.5,1.296610169489817,False,,924,,0.016
25,146,1e-06,1.0,1.2760290556880989,False,,924,,0.016
25,146,1e-06,5.0,1.3135593220321553,False,,924,,0.015
25,146,1e-06,10.0,1.347457627116981,False,,924,,0.016
25,146,1e-06,50.0,1.3995157384972146,False,,924,,0.016
25,146,1e-06,100.0,1.3898305084733025,False,,924,,0.016
25,146,1e-06,500.0,1.3462469733636908,False,,924,,0.016
25,146,1e-06,1000.0,1.3414043583518307,False,,924,,0.016
25,146,1e-06,5000.0,1.3777239709426041,False,,924,,0.016
25,146,1e-06,10000.0,1.2941888619834785,False,,924,,0.016
25,146,1e-06,50000.0,1.4092009685212545,False,,924,,0.015
25,146,1e-06,100000.0,1.3656174334121332,False,,924,,0.015
25,146,1e-06,500000.0,1.3571428571410422,False,,924,,0.015
25,146,1e-06,1000000.0,1.3317191283274212,False,,924,,0.015
25,146,5e-05,5e-05,1.433414043582168,False,,924,,0.016
25,146,5e-05,0.0005,1.3825665859548621,False,,924,,0.015
25,146,5e-05,0.0001,1.3196125907970995,False,,924,,0.015
25,146,5e-05,0.005,1.314769975785076,False,,924,,0.015
25,146,5e-05,0.001,1.338983050845897,False,,924,,0.015
25,146,5e-05,0.05,1.3438256658577643,False,,924,,0.016
25,146,5e-05,0.01,1.3171912832912724,False,,924,,0.016
25,146,5e-05,0.5,1.3099273607730595,False,,924,,0.016
25,146,5e-05,1.0,1.2179176755427008,False,,924,,0.016
25,146,5e-05,5.0,1.3595641646469332,False,,924,,0.016
25,146,5e-05,10.0,1.3014527845018122,False,,924,,0.016
25,146,5e-05,50.0,1.3317191283274141,False,,924,,0.016
25,146,5e-05,100.0,1.386198547214228,False,,924,,0.016
25,146,5e-05,500.0,1.2675544794168587,False,,924,,0.016
25,146,5e-05,1000.0,1.2639225181578837,False,,924,,0.015
25,146,5e-05,5000.0,1.342615012104737,False,,924,,0.015
25,146,5e-05,10000.0,1.2627118644048707,False,,924,,0.015
25,146,5e-05,50000.0,1.214285714283612,False,,924,,0.016
25,146,5e-05,100000.0,1.3498789346229145,False,,924,,0.015
25,146,5e-05,500000.0,1.2409200968502319,False,,924,,0.015
25,146,5e-05,1000000.0,1.295399515736392,False,,924,,0.015
25,146,1e-05,5e-05,1.320823244550219,False,,924,,0.015
25,146,1e-05,1e-05,1.3559322033879724,False,,924,,0.015
25,146,1e-05,0.0005,1.3184019370441646,False,,924,,0.016
25,146,1e-05,0.0001,1.3232445520563019,False,,924,,0.015
25,146,1e-05,0.005,1.2760290556882197,False,,924,,0.015
25,146,1e-05,0.001,1.366828087165409,False,,924,,0.015
25,146,1e-05,0.05,1.2760290556882552,False,,924,,0.015
25,146,1e-05,0.01,1.3680387409182089,False,,924,,0.016
25,146,1e-05,0.5,1.3510895883759702,False,,924,,0.015
25,146,1e-05,1.0,1.3002421307489271,False,,924,,0.015
25,146,1e-05,5.0,1.3414043583516815,False,,924,,0.015
25,146,1e-05,10.0,1.3559322033879653,False,,924,,0.015
25,146,1e-05,50.0,1.2820823244531425,False,,924,,0.024
25,146,1e-05,100.0,1.277239709440991,False,,924,,0.028
25,146,1e-05,500.0,1.346246973363833,False,,924,,0.016
25,146,1e-05,1000.0,1.4709443099259616,False,,924,,0.016
25,146,1e-05,5000.0,1.269975786923041,False,,924,,0.017
25,146,1e-05,10000.0,1.34140435835198,False,,924,,0.015
25,146,1e-05,50000.0,1.3135593220319066,False,,924,,0.016
25,146,1e-05,100000.0,1.2021791767533827,False,,924,,0.015
25,146,1e-05,500000.0,1.3898305084730538,False,,924,,0.015
25,146,1e-05,1000000.0,1.2820823244531425,False,,924,,0.016
25,146,0.0005,0.0005,1.338983050845492,False,,924,,0.015
25,146,0.0005,0.005,1.3135593220319066,False,,924,,0.016
25,146,0.0005,0.001,1.319612590797199,False,,924,,0.016
25,146,0.0005,0.05,1.2397094430970839,False,,924,,0.015
25,146,0.0005,0.01,1.3232445520561953,False,,924,,0.015
25,146,0.0005,0.5,1.3571428571411417,False,,924,,0.016
25,146,0.0005,1.0,1.2723970944292375,False,,924,,0.015
25,146,0.0005,5.0,1.3861985472138585,False,,924,,0.015
25,146,0.0005,10.0,1.361985472153414,False,,924,,0.015
25,146,0.0005,50.0,1.30387409200776,False,,924,,0.015
25,146,0.0005,100.0,1.3341404358336177,False,,924,,0.016
25,146,0.0005,500.0,1.3062953995140916,False,,924,,0.015
25,146,0.0005,1000.0,1.3401937045986614,False,,924,,0.015
25,146,0.0005,5000.0,1.2506053268745276,False,,924,,0.015
25,146,0.0005,10000.0,1.2869249394654148,False,,924,,0.015
25,146,0.0005,50000.0,1.2736077481821582,False,,924,,0.016
25,146,0.0005,100000.0,1.3220338983033955,False,,924,,0.016
25,146,0.0005,500000.0,1.250605326874627,False,,924,,0.015
25,146,0.0005,1000000.0,1.3305084745743656,False,,924,,0.016
25,146,0.0001,0.0005,1.3607748184002446,False,,924,,0.016
25,146,0.0001,0.0001,1.3256658595623776,False,,924,,0.016
25,146,0.0001,0.005,1.3462469733639537,False,,924,,0.015
25,146,0.0001,0.001,1.2869249394655426,False,,924,,0.015
25,146,0.0001,0.05,1.26513317191079,False,,924,,0.015
25,146,0.0001,0.01,1.3075060532671046,False,,924,,0.016
25,146,0.0001,0.5,1.3111380145261151,False,,924,,0.016
25,146,0.0001,1.0,1.315980629538096,False,,924,,0.016
25,146,0.0001,5.0,1.338983050845627,False,,924,,0.016
25,146,0.0001,10.0,1.2917675544776728,False,,924,,0.015
25,146,0.0001,50.0,1.326876513315277,False,,924,,0.015
25,146,0.0001,100.0,1.2736077481820374,False,,924,,0.016
25,146,0.0001,500.0,1.4200968522986628,False,,924,,0.016
25,146,0.0001,1000.0,1.3196125907974547,False,,924,,0.016
