solver_name,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
OpenJij,synthetic_n6,6,50,0.5,exact,0.86,0.06,0.06976744186046512,0.31153683138167254,0.24594631140354914,43,3,132.1355106830597
QWaveSampler,synthetic_n6,6,50,0.5,exact,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,281.65875911712646
SimulatedBifurcation,synthetic_n6,6,50,0.5,exact,1.0,0.96,0.96,-0.0074592425118740905,0.036828327775045626,50,48,35.96458125114441
OpenJij,synthetic_n6,6,50,0.5,lucas,1.0,0.9,0.9,0.001971031892084524,0.059180834195670946,50,45,142.8880579471588
QWaveSampler,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,282.43858337402344
SimulatedBifurcation,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,35.83095932006836
OpenJij,synthetic_n8,8,50,0.5,exact,0.16,0.0,0.0,0.38732322068388414,0.2247255218703602,8,0,176.27977895736694
QWaveSampler,synthetic_n8,8,50,0.5,exact,1.0,0.78,0.56,0.012234441562973479,0.05441617665404514,50,39,603.8100686073303
SimulatedBifurcation,synthetic_n8,8,50,0.5,exact,1.0,0.38,0.16,0.08314326098886995,0.07427900072575008,50,19,48.079936027526855
OpenJij,synthetic_n8,8,50,0.5,lucas,0.96,0.84,0.75,-0.009303468670327596,0.06500053978041273,48,42,198.87335586547852
QWaveSampler,synthetic_n8,8,50,0.5,lucas,1.0,1.0,1.0,-0.027297171406189005,0.0528689041580725,50,50,605.7126903533936
SimulatedBifurcation,synthetic_n8,8,50,0.5,lucas,1.0,0.96,0.86,-0.01839789566317066,0.05831074426998084,50,48,46.71786713600159
OpenJij,synthetic_n11,11,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,284.24036145210266
QWaveSampler,synthetic_n11,11,50,0.5,exact,1.0,0.18,0.04,0.12008677779360306,0.07254115672584754,50,9,1462.2490820884705
SimulatedBifurcation,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.24289413017112388,0.1149783922881739,50,0,72.4089789390564
OpenJij,synthetic_n11,11,50,0.5,lucas,0.82,0.74,0.4878048780487805,0.0033056296887033405,0.04814835572025185,41,37,316.4641442298889
QWaveSampler,synthetic_n11,11,50,0.5,lucas,1.0,1.0,0.94,-0.02268183165995019,0.033890862801272806,50,50,1456.1280462741852
SimulatedBifurcation,synthetic_n11,11,50,0.5,lucas,0.88,0.6,0.25,0.03239270646984973,0.0428883811401283,44,30,72.52123308181763
OpenJij,synthetic_n13,13,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,384.95046305656433
QWaveSampler,synthetic_n13,13,50,0.5,exact,1.0,0.06,0.0,0.1785041206569877,0.07950345083507802,50,3,2286.3101139068604
SimulatedBifurcation,synthetic_n13,13,50,0.5,exact,0.72,0.0,0.0,0.3738845612713016,0.140731401189442,36,0,99.32766318321228
OpenJij,synthetic_n13,13,50,0.5,lucas,0.66,0.56,0.3939393939393939,0.009803160123201845,0.0386645741519082,33,28,414.8644323348999
QWaveSampler,synthetic_n13,13,50,0.5,lucas,0.98,0.96,0.7346938775510204,-0.01261549480752588,0.03502863655919541,49,48,3136.5567247867584
SimulatedBifurcation,synthetic_n13,13,50,0.5,lucas,0.64,0.32,0.125,0.04653778922569129,0.047117998006158825,32,16,97.71023416519165
OpenJij,synthetic_n15,15,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,507.92905473709106
QWaveSampler,synthetic_n15,15,50,0.5,exact,1.0,0.0,0.0,0.2157318428424066,0.06512334480201036,50,0,3384.455431699753
SimulatedBifurcation,synthetic_n15,15,50,0.5,exact,0.04,0.0,0.0,0.5131818935499917,0.03775300672227958,2,0,131.28363919258118
OpenJij,synthetic_n15,15,50,0.5,lucas,0.6,0.54,0.4,0.0012319632990533938,0.04432520795201664,30,27,529.7407686710358
QWaveSampler,synthetic_n15,15,50,0.5,lucas,0.98,0.98,0.5510204081632653,-0.014692535842509812,0.03355182848070011,49,49,3385.474810361862
SimulatedBifurcation,synthetic_n15,15,50,0.5,lucas,0.32,0.22,0.1875,0.03779304643153067,0.04216359041991038,16,11,130.55219674110413
