n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
10,21,0,PathIntegralAnnealingSampler,True,5,51.8,37.0,1.4,2.354,5,10,1000
10,25,1,PathIntegralAnnealingSampler,True,5,67.8,50.000000000000014,1.3559999999999997,2.302,5,10,1000
10,19,2,PathIntegralAnnealingSampler,True,5,48.0,32.0,1.5,2.402,5,10,1000
10,27,3,PathIntegralAnnealingSampler,True,5,77.2,60.58877549200334,1.2741633969841337,2.323,5,10,1000
10,23,4,PathIntegralAnnealingSampler,True,5,59.0,43.0,1.372093023255814,2.358,5,10,1000
10,20,5,PathIntegralAnnealingSampler,True,5,39.8,34.0,1.1705882352941175,2.325,5,10,1000
10,22,6,PathIntegralAnnealingSampler,True,5,53.8,40.0,1.345,2.344,5,10,1000
10,20,7,PathIntegralAnnealingSampler,True,5,42.0,35.0,1.2,2.316,5,10,1000
10,23,8,PathIntegralAnnealingSampler,True,5,57.8,43.0,1.3441860465116278,2.355,5,10,1000
10,20,9,PathIntegralAnnealingSampler,True,5,49.0,34.5,1.4202898550724639,2.317,5,10,1000
10,24,10,PathIntegralAnnealingSampler,True,5,56.6,46.0,1.2304347826086957,2.339,5,10,1000
10,25,11,PathIntegralAnnealingSampler,True,5,62.8,50.000000000000014,1.2559999999999996,2.332,5,10,1000
10,18,12,PathIntegralAnnealingSampler,True,5,38.4,31.0,1.238709677419355,2.359,5,10,1000
10,26,13,PathIntegralAnnealingSampler,True,5,74.6,56.630695516535866,1.3173067948320922,2.376,5,10,1000
10,24,14,PathIntegralAnnealingSampler,True,5,63.2,46.0,1.373913043478261,2.385,5,10,1000
10,22,15,PathIntegralAnnealingSampler,True,5,52.4,40.0,1.31,2.367,5,10,1000
10,19,16,PathIntegralAnnealingSampler,True,5,44.0,33.0,1.3333333333333333,2.361,5,10,1000
10,18,17,PathIntegralAnnealingSampler,True,5,36.2,30.0,1.2066666666666668,2.381,5,10,1000
10,18,18,PathIntegralAnnealingSampler,True,5,38.0,31.0,1.2258064516129032,2.334,5,10,1000
10,24,19,PathIntegralAnnealingSampler,True,5,63.6,46.0,1.382608695652174,2.374,5,10,1000
10,15,20,PathIntegralAnnealingSampler,True,5,33.0,25.0,1.32,2.351,5,10,1000
10,20,21,PathIntegralAnnealingSampler,True,5,47.4,34.0,1.3941176470588235,2.372,5,10,1000
10,28,22,PathIntegralAnnealingSampler,True,5,82.4,62.000000000000014,1.329032258064516,2.36,5,10,1000
10,20,23,PathIntegralAnnealingSampler,True,5,51.2,34.0,1.5058823529411764,2.349,5,10,1000
10,20,24,PathIntegralAnnealingSampler,True,5,46.6,34.5,1.3507246376811595,2.327,5,10,1000
10,28,25,PathIntegralAnnealingSampler,True,5,75.6,62.000000000000014,1.219354838709677,2.341,5,10,1000
10,23,26,PathIntegralAnnealingSampler,True,5,57.8,43.0,1.3441860465116278,2.336,5,10,1000
10,20,27,PathIntegralAnnealingSampler,True,5,48.4,34.0,1.423529411764706,2.371,5,10,1000
10,22,28,PathIntegralAnnealingSampler,True,5,52.8,40.0,1.3199999999999998,2.342,5,10,1000
10,27,29,PathIntegralAnnealingSampler,True,5,69.2,58.000000000000014,1.1931034482758618,2.361,5,10,1000
10,23,30,PathIntegralAnnealingSampler,True,5,57.2,43.0,1.330232558139535,2.359,5,10,1000
10,22,31,PathIntegralAnnealingSampler,True,5,52.0,40.0,1.3,2.352,5,10,1000
10,21,32,PathIntegralAnnealingSampler,True,5,56.0,37.0,1.5135135135135136,2.372,5,10,1000
10,21,33,PathIntegralAnnealingSampler,True,5,52.8,37.0,1.4270270270270269,2.357,5,10,1000
10,19,34,PathIntegralAnnealingSampler,True,5,39.0,31.0,1.2580645161290323,2.345,5,10,1000
10,29,35,PathIntegralAnnealingSampler,True,5,81.8,66.00000000000001,1.239393939393939,2.343,5,10,1000
10,20,36,PathIntegralAnnealingSampler,True,5,48.6,34.0,1.4294117647058824,2.353,5,10,1000
10,18,37,PathIntegralAnnealingSampler,True,5,43.2,29.0,1.4896551724137932,2.351,5,10,1000
