n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
10,23,60,PathIntegralAnnealingSampler,True,5,61.6,43.0,1.4325581395348836,1.227,5,10,500
10,26,61,PathIntegralAnnealingSampler,True,5,68.0,54.000000000000014,1.2592592592592589,1.211,5,10,500
10,25,62,PathIntegralAnnealingSampler,True,5,67.2,50.000000000000014,1.3439999999999996,1.222,5,10,500
10,19,63,PathIntegralAnnealingSampler,True,5,46.2,32.0,1.44375,1.242,5,10,500
10,17,64,PathIntegralAnnealingSampler,True,5,36.4,27.0,1.348148148148148,1.267,5,10,500
10,24,65,PathIntegralAnnealingSampler,True,5,63.8,46.0,1.3869565217391304,1.237,5,10,500
10,30,66,PathIntegralAnnealingSampler,True,5,84.8,70.00000000000001,1.211428571428571,1.257,5,10,500
10,17,67,PathIntegralAnnealingSampler,True,5,39.8,29.0,1.3724137931034481,1.268,5,10,500
10,25,68,PathIntegralAnnealingSampler,True,5,65.2,50.000000000000014,1.3039999999999996,1.238,5,10,500
10,20,69,PathIntegralAnnealingSampler,True,5,51.0,34.0,1.5,1.212,5,10,500
10,21,70,PathIntegralAnnealingSampler,True,5,44.8,37.0,1.2108108108108107,1.233,5,10,500
10,18,71,PathIntegralAnnealingSampler,True,5,37.2,28.0,1.3285714285714287,1.242,5,10,500
10,25,72,PathIntegralAnnealingSampler,True,5,67.0,50.000000000000014,1.3399999999999996,1.244,5,10,500
10,22,73,PathIntegralAnnealingSampler,True,5,57.4,40.0,1.435,1.233,5,10,500
10,27,74,PathIntegralAnnealingSampler,True,5,77.4,58.000000000000014,1.3344827586206893,1.228,5,10,500
10,24,75,PathIntegralAnnealingSampler,True,5,61.4,46.0,1.3347826086956522,1.26,5,10,500
10,22,76,PathIntegralAnnealingSampler,True,5,53.4,40.0,1.335,1.231,5,10,500
10,25,77,PathIntegralAnnealingSampler,True,5,63.4,50.000000000000014,1.2679999999999996,1.253,5,10,500
10,16,78,PathIntegralAnnealingSampler,True,5,34.0,28.0,1.2142857142857142,1.338,5,10,500
10,19,79,PathIntegralAnnealingSampler,True,5,44.0,31.0,1.4193548387096775,1.292,5,10,500
10,22,80,PathIntegralAnnealingSampler,True,5,57.4,40.0,1.435,1.278,5,10,500
10,19,81,PathIntegralAnnealingSampler,True,5,42.8,31.0,1.3806451612903226,1.27,5,10,500
10,18,82,PathIntegralAnnealingSampler,True,5,35.6,31.0,1.1483870967741936,1.22,5,10,500
10,27,83,PathIntegralAnnealingSampler,True,5,75.8,58.000000000000014,1.3068965517241375,1.307,5,10,500
10,23,84,PathIntegralAnnealingSampler,True,5,57.2,43.0,1.330232558139535,1.254,5,10,500
10,23,85,PathIntegralAnnealingSampler,True,5,55.6,43.0,1.2930232558139536,1.283,5,10,500
10,24,86,PathIntegralAnnealingSampler,True,5,62.4,46.0,1.3565217391304347,1.265,5,10,500
10,22,87,PathIntegralAnnealingSampler,True,5,57.0,40.0,1.425,1.233,5,10,500
10,23,88,PathIntegralAnnealingSampler,True,5,52.6,43.0,1.2232558139534884,1.234,5,10,500
10,20,89,PathIntegralAnnealingSampler,True,5,48.2,34.0,1.4176470588235295,1.213,5,10,500
10,22,90,PathIntegralAnnealingSampler,True,5,58.6,40.0,1.465,1.216,5,10,500
10,24,91,PathIntegralAnnealingSampler,True,5,57.6,46.0,1.2521739130434784,1.216,5,10,500
10,23,92,PathIntegralAnnealingSampler,True,5,58.0,43.0,1.3488372093023255,1.223,5,10,500
10,27,93,PathIntegralAnnealingSampler,True,5,71.4,58.000000000000014,1.2310344827586206,1.217,5,10,500
10,25,94,PathIntegralAnnealingSampler,True,5,64.0,50.000000000000014,1.2799999999999996,1.202,5,10,500
10,26,95,PathIntegralAnnealingSampler,True,5,69.4,54.000000000000014,1.285185185185185,1.217,5,10,500
10,24,96,PathIntegralAnnealingSampler,True,5,62.0,46.0,1.3478260869565217,1.231,5,10,500
10,25,97,PathIntegralAnnealingSampler,True,5,65.0,50.000000000000014,1.2999999999999996,1.234,5,10,500
10,21,98,PathIntegralAnnealingSampler,True,5,56.6,37.619145031507024,1.5045530660677167,1.222,5,10,500
10,25,99,PathIntegralAnnealingSampler,True,5,59.0,50.000000000000014,1.1799999999999997,1.226,5,10,500
15,52,0,PathIntegralAnnealingSampler,True,5,196.8,130.0,1.5138461538461538,3.74,5,10,500
15,57,1,PathIntegralAnnealingSampler,True,5,221.2,158.44971975379113,1.3960264514428558,3.763,5,10,500
15,48,2,PathIntegralAnnealingSampler,True,5,177.4,117.12997260862763,1.5145568298966117,3.749,5,10,500
