n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
15,42,61,PathIntegralAnnealingSampler,exact,True,5,198.0,88.70431474215995,2.2321349370155645,10.975,5,10,1000,geometric,0.01,10.0
15,51,62,PathIntegralAnnealingSampler,lucas,True,5,195.2,125.0,1.5615999999999999,11.451,5,10,1000,geometric,0.5,5.0
15,51,62,PathIntegralAnnealingSampler,exact,True,5,252.8,125.0,2.0224,10.955,5,10,1000,geometric,0.01,10.0
15,56,63,PathIntegralAnnealingSampler,lucas,True,5,215.6,150.0,1.4373333333333334,11.36,5,10,1000,geometric,0.5,5.0
15,56,63,PathIntegralAnnealingSampler,exact,True,5,271.2,150.0,1.8079999999999998,10.92,5,10,1000,geometric,0.01,10.0
15,51,64,PathIntegralAnnealingSampler,lucas,True,5,188.8,125.0,1.5104000000000002,11.539,5,10,1000,geometric,0.5,5.0
15,51,64,PathIntegralAnnealingSampler,exact,True,5,241.4,125.0,1.9312,10.955,5,10,1000,geometric,0.01,10.0
15,56,65,PathIntegralAnnealingSampler,lucas,True,5,222.0,150.0,1.48,11.556,5,10,1000,geometric,0.5,5.0
15,56,65,PathIntegralAnnealingSampler,exact,True,5,272.0,150.0,1.8133333333333332,10.921,5,10,1000,geometric,0.01,10.0
15,49,66,PathIntegralAnnealingSampler,lucas,True,5,180.6,116.00000000000006,1.556896551724137,11.372,5,10,1000,geometric,0.5,5.0
15,49,66,PathIntegralAnnealingSampler,exact,True,5,248.0,116.00000000000006,2.1379310344827576,10.997,5,10,1000,geometric,0.01,10.0
15,57,67,PathIntegralAnnealingSampler,lucas,True,5,209.4,155.0,1.350967741935484,11.043,5,10,1000,geometric,0.5,5.0
15,57,67,PathIntegralAnnealingSampler,exact,True,5,287.8,155.0,1.8567741935483872,10.916,5,10,1000,geometric,0.01,10.0
15,56,68,PathIntegralAnnealingSampler,lucas,True,5,229.6,160.87286447558742,1.4272139726513167,11.268,5,10,1000,geometric,0.5,5.0
15,56,68,PathIntegralAnnealingSampler,exact,True,5,268.6,160.87286447558742,1.6696414331626468,10.906,5,10,1000,geometric,0.01,10.0
15,57,69,PathIntegralAnnealingSampler,lucas,True,5,219.2,155.0,1.4141935483870967,11.248,5,10,1000,geometric,0.5,5.0
15,57,69,PathIntegralAnnealingSampler,exact,True,5,278.8,155.0,1.798709677419355,10.894,5,10,1000,geometric,0.01,10.0
15,58,70,PathIntegralAnnealingSampler,lucas,True,5,228.2,160.0,1.42625,11.201,5,10,1000,geometric,0.5,5.0
15,58,70,PathIntegralAnnealingSampler,exact,True,5,281.6,160.0,1.7600000000000002,10.799,5,10,1000,geometric,0.01,10.0
15,53,71,PathIntegralAnnealingSampler,lucas,True,5,200.4,135.0,1.4844444444444445,11.37,5,10,1000,geometric,0.5,5.0
15,53,71,PathIntegralAnnealingSampler,exact,True,5,263.6,135.0,1.9525925925925927,10.998,5,10,1000,geometric,0.01,10.0
15,53,72,PathIntegralAnnealingSampler,lucas,True,5,197.8,135.0,1.4651851851851854,11.277,5,10,1000,geometric,0.5,5.0
15,53,72,PathIntegralAnnealingSampler,exact,True,5,260.2,135.0,1.9274074074074072,10.986,5,10,1000,geometric,0.01,10.0
15,56,73,PathIntegralAnnealingSampler,lucas,True,5,221.0,150.0,1.4733333333333334,11.626,5,10,1000,geometric,0.5,5.0
15,56,73,PathIntegralAnnealingSampler,exact,True,5,275.0,150.0,1.8333333333333333,10.943,5,10,1000,geometric,0.01,10.0
15,52,74,PathIntegralAnnealingSampler,lucas,True,5,188.4,130.0,1.4492307692307693,11.568,5,10,1000,geometric,0.5,5.0
15,52,74,PathIntegralAnnealingSampler,exact,True,5,266.0,130.0,2.046153846153846,11.399,5,10,1000,geometric,0.01,10.0
15,50,75,PathIntegralAnnealingSampler,lucas,True,5,184.8,121.89180592206328,1.5160986302734718,11.57,5,10,1000,geometric,0.5,5.0
15,50,75,PathIntegralAnnealingSampler,exact,True,5,239.8,121.89180592206328,1.9673184607120051,11.058,5,10,1000,geometric,0.01,10.0
15,51,76,PathIntegralAnnealingSampler,lucas,True,5,178.4,125.0,1.4272,11.526,5,10,1000,geometric,0.5,5.0
15,51,76,PathIntegralAnnealingSampler,exact,True,5,251.8,125.0,2.0144,10.949,5,10,1000,geometric,0.01,10.0
15,45,77,PathIntegralAnnealingSampler,lucas,True,5,156.2,100.69665652723057,1.5511935091684013,11.594,5,10,1000,geometric,0.5,5.0
15,45,77,PathIntegralAnnealingSampler,exact,True,5,213.2,100.69665652723057,2.117250039402709,11.033,5,10,1000,geometric,0.01,10.0
15,41,78,PathIntegralAnnealingSampler,lucas,True,5,132.4,84.00000000000006,1.5761904761904753,11.605,5,10,1000,geometric,0.5,5.0
15,41,78,PathIntegralAnnealingSampler,exact,True,5,194.4,84.00000000000006,2.3142857142857127,12.004,5,10,1000,geometric,0.01,10.0
15,54,79,PathIntegralAnnealingSampler,lucas,True,5,204.6,140.0,1.4614285714285713,11.302,5,10,1000,geometric,0.5,5.0
15,54,79,PathIntegralAnnealingSampler,exact,True,5,253.4,140.0,1.81,10.964,5,10,1000,geometric,0.01,10.0
15,47,80,PathIntegralAnnealingSampler,lucas,True,5,165.6,108.00000000000006,1.5333333333333325,11.373,5,10,1000,geometric,0.5,5.0
15,47,80,PathIntegralAnnealingSampler,exact,True,5,226.8,108.00000000000006,2.099999999999999,10.98,5,10,1000,geometric,0.01,10.0
15,63,81,PathIntegralAnnealingSampler,lucas,True,5,259.2,188.0,1.3787234042553191,11.168,5,10,1000,geometric,0.5,5.0
15,63,81,PathIntegralAnnealingSampler,exact,True,5,312.0,188.0,1.6595744680851063,10.853,5,10,1000,geometric,0.01,10.0
15,49,82,PathIntegralAnnealingSampler,lucas,True,5,186.4,130.11076143410978,1.4326255410809814,11.44,5,10,1000,geometric,0.5,5.0
15,49,82,PathIntegralAnnealingSampler,exact,True,5,235.8,130.11076143410978,1.8123020525048037,11.035,5,10,1000,geometric,0.01,10.0
15,53,83,PathIntegralAnnealingSampler,lucas,True,5,198.8,135.0,1.4725925925925927,11.472,5,10,1000,geometric,0.5,5.0
15,53,83,PathIntegralAnnealingSampler,exact,True,5,241.8,135.0,1.791111111111111,10.954,5,10,1000,geometric,0.01,10.0
15,49,84,PathIntegralAnnealingSampler,lucas,True,5,169.2,116.00000000000006,1.4586206896551717,11.251,5,10,1000,geometric,0.5,5.0
15,49,84,PathIntegralAnnealingSampler,exact,True,5,232.0,116.00000000000006,1.9999999999999991,11.006,5,10,1000,geometric,0.01,10.0
15,45,85,PathIntegralAnnealingSampler,lucas,True,5,156.0,100.00000000000006,1.5599999999999992,11.77,5,10,1000,geometric,0.5,5.0
15,45,85,PathIntegralAnnealingSampler,exact,True,5,219.8,100.00000000000006,2.197999999999999,11.267,5,10,1000,geometric,0.01,10.0
15,58,86,PathIntegralAnnealingSampler,lucas,True,5,228.2,160.0,1.42625,11.419,5,10,1000,geometric,0.5,5.0
15,58,86,PathIntegralAnnealingSampler,exact,True,5,281.4,160.0,1.7587499999999998,11.066,5,10,1000,geometric,0.01,10.0
15,56,87,PathIntegralAnnealingSampler,lucas,True,5,214.8,150.0,1.4320000000000002,11.528,5,10,1000,geometric,0.5,5.0
15,56,87,PathIntegralAnnealingSampler,exact,True,5,268.2,150.0,1.788,11.101,5,10,1000,geometric,0.01,10.0
15,49,88,PathIntegralAnnealingSampler,lucas,True,5,173.2,116.00000000000006,1.4931034482758612,11.619,5,10,1000,geometric,0.5,5.0
15,49,88,PathIntegralAnnealingSampler,exact,True,5,228.0,116.00000000000006,1.9655172413793094,11.093,5,10,1000,geometric,0.01,10.0
15,56,89,PathIntegralAnnealingSampler,lucas,True,1,222.0,150.0,1.48,11.348,5,10,1000,geometric,0.5,5.0
15,56,89,PathIntegralAnnealingSampler,exact,True,5,272.0,150.0,1.8133333333333332,10.997,5,10,1000,geometric,0.01,10.0
15,55,90,PathIntegralAnnealingSampler,lucas,True,5,208.0,145.0,1.4344827586206896,11.241,5,10,1000,geometric,0.5,5.0
15,55,90,PathIntegralAnnealingSampler,exact,True,5,266.0,145.0,1.8344827586206895,11.015,5,10,1000,geometric,0.01,10.0
15,58,91,PathIntegralAnnealingSampler,lucas,True,5,224.8,160.0,1.405,11.226,5,10,1000,geometric,0.5,5.0
15,58,91,PathIntegralAnnealingSampler,exact,True,5,286.0,160.0,1.7875,10.922,5,10,1000,geometric,0.01,10.0
15,58,92,PathIntegralAnnealingSampler,lucas,True,5,226.0,160.0,1.4125,11.332,5,10,1000,geometric,0.5,5.0
15,58,92,PathIntegralAnnealingSampler,exact,True,5,286.2,160.0,1.7887499999999998,10.952,5,10,1000,geometric,0.01,10.0
15,56,93,PathIntegralAnnealingSampler,lucas,True,5,222.4,150.0,1.4826666666666668,11.374,5,10,1000,geometric,0.5,5.0
15,56,93,PathIntegralAnnealingSampler,exact,True,5,280.6,150.0,1.870666666666667,10.997,5,10,1000,geometric,0.01,10.0
15,52,94,PathIntegralAnnealingSampler,lucas,True,5,196.8,130.0,1.5138461538461538,11.454,5,10,1000,geometric,0.5,5.0
15,52,94,PathIntegralAnnealingSampler,exact,True,5,258.6,130.0,1.9892307692307694,11.048,5,10,1000,geometric,0.01,10.0
15,50,95,PathIntegralAnnealingSampler,lucas,True,5,192.0,127.92768819134712,1.50084788300729,11.511,5,10,1000,geometric,0.5,5.0
15,50,95,PathIntegralAnnealingSampler,exact,True,5,236.8,127.92768819134712,1.8510457223756576,10.966,5,10,1000,geometric,0.01,10.0
15,57,96,PathIntegralAnnealingSampler,lucas,True,5,232.8,169.66144381116388,1.3721443998738478,11.34,5,10,1000,geometric,0.5,5.0
15,57,96,PathIntegralAnnealingSampler,exact,True,5,283.0,169.66144381116388,1.6680277713243081,10.927,5,10,1000,geometric,0.01,10.0
15,52,97,PathIntegralAnnealingSampler,lucas,True,5,192.0,130.0,1.476923076923077,11.557,5,10,1000,geometric,0.5,5.0
15,52,97,PathIntegralAnnealingSampler,exact,True,5,256.8,130.0,1.9753846153846155,10.935,5,10,1000,geometric,0.01,10.0
