assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
111|000|010,5,1*mu_thermometer + 4*mu_bijective,1,4
111|000|011,4,1*mu_thermometer + 5*mu_bijective,1,5
111|000|100,5,2*mu_bijective,0,2
111|000|101,4,1*mu_thermometer + 3*mu_bijective,1,3
111|000|110,4,1*mu_bijective,0,1
111|000|111,3,2*mu_bijective,0,2
111|001|000,5,1*mu_thermometer + 6*mu_bijective,1,6
111|001|001,4,2*mu_thermometer + 9*mu_bijective,2,9
111|001|010,4,2*mu_thermometer + 5*mu_bijective,2,5
111|001|011,3,2*mu_thermometer + 8*mu_bijective,2,8
111|001|100,4,1*mu_thermometer + 3*mu_bijective,1,3
111|001|101,3,2*mu_thermometer + 6*mu_bijective,2,6
111|001|110,3,1*mu_thermometer + 2*mu_bijective,1,2
111|001|111,2,1*mu_thermometer + 5*mu_bijective,1,5
111|010|000,5,1*mu_thermometer + 4*mu_bijective,1,4
111|010|001,4,2*mu_thermometer + 5*mu_bijective,2,5
111|010|010,4,2*mu_thermometer + 5*mu_bijective,2,5
111|010|011,3,2*mu_thermometer + 6*mu_bijective,2,6
111|010|100,4,1*mu_thermometer + 1*mu_bijective,1,1
111|010|101,3,2*mu_thermometer + 2*mu_bijective,2,2
111|010|110,3,1*mu_thermometer + 2*mu_bijective,1,2
111|010|111,2,1*mu_thermometer + 3*mu_bijective,1,3
111|011|000,4,1*mu_thermometer + 5*mu_bijective,1,5
111|011|001,3,2*mu_thermometer + 8*mu_bijective,2,8
111|011|010,3,2*mu_thermometer + 6*mu_bijective,2,6
111|011|011,2,2*mu_thermometer + 9*mu_bijective,2,9
111|011|100,3,1*mu_thermometer + 2*mu_bijective,1,2
111|011|101,2,2*mu_thermometer + 5*mu_bijective,2,5
111|011|110,2,1*mu_thermometer + 3*mu_bijective,1,3
111|011|111,1,1*mu_thermometer + 6*mu_bijective,1,6
111|100|000,5,2*mu_bijective,0,2
111|100|001,4,1*mu_thermometer + 3*mu_bijective,1,3
111|100|010,4,1*mu_thermometer + 1*mu_bijective,1,1
111|100|011,3,1*mu_thermometer + 2*mu_bijective,1,2
111|100|100,4,1*mu_bijective,0,1
111|100|101,3,1*mu_thermometer + 2*mu_bijective,1,2
111|100|110,3,0,0,0
111|100|111,2,1*mu_bijective,0,1
111|101|000,4,1*mu_thermometer + 3*mu_bijective,1,3
111|101|001,3,2*mu_thermometer + 6*mu_bijective,2,6
111|101|010,3,2*mu_thermometer + 2*mu_bijective,2,2
111|101|011,2,2*mu_thermometer + 5*mu_bijective,2,5
111|101|100,3,1*mu_thermometer + 2*mu_bijective,1,2
111|101|101,2,2*mu_thermometer + 5*mu_bijective,2,5
111|101|110,2,1*mu_thermometer + 1*mu_bijective,1,1
111|101|111,1,1*mu_thermometer + 4*mu_bijective,1,4
111|110|000,4,1*mu_bijective,0,1
111|110|001,3,1*mu_thermometer + 2*mu_bijective,1,2
111|110|010,3,1*mu_thermometer + 2*mu_bijective,1,2
111|110|011,2,1*mu_thermometer + 3*mu_bijective,1,3
111|110|100,3,0,0,0
111|110|101,2,1*mu_thermometer + 1*mu_bijective,1,1
111|110|110,2,1*mu_bijective,0,1
111|110|111,1,2*mu_bijective,0,2
111|111|000,3,2*mu_bijective,0,2
111|111|001,2,1*mu_thermometer + 5*mu_bijective,1,5
111|111|010,2,1*mu_thermometer + 3*mu_bijective,1,3
111|111|011,1,1*mu_thermometer + 6*mu_bijective,1,6
111|111|100,2,1*mu_bijective,0,1
111|111|101,1,1*mu_thermometer + 4*mu_bijective,1,4
111|111|110,1,2*mu_bijective,0,2
111|111|111,0,5*mu_bijective,0,5
