assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
001|011|011,2,3*mu_thermometer + 13*mu_bijective,3,13
001|011|100,3,2*mu_thermometer + 6*mu_bijective,2,6
001|011|101,2,3*mu_thermometer + 9*mu_bijective,3,9
001|011|110,4,2*mu_thermometer + 5*mu_bijective,2,5
001|011|111,3,2*mu_thermometer + 8*mu_bijective,2,8
001|100|000,3,1*mu_thermometer + 8*mu_bijective,1,8
001|100|001,2,2*mu_thermometer + 9*mu_bijective,2,9
001|100|010,4,2*mu_thermometer + 5*mu_bijective,2,5
001|100|011,3,2*mu_thermometer + 6*mu_bijective,2,6
001|100|100,4,1*mu_thermometer + 5*mu_bijective,1,5
001|100|101,3,2*mu_thermometer + 6*mu_bijective,2,6
001|100|110,5,1*mu_thermometer + 2*mu_bijective,1,2
001|100|111,4,1*mu_thermometer + 3*mu_bijective,1,3
001|101|000,2,2*mu_thermometer + 9*mu_bijective,2,9
001|101|001,1,3*mu_thermometer + 12*mu_bijective,3,12
001|101|010,3,3*mu_thermometer + 6*mu_bijective,3,6
001|101|011,2,3*mu_thermometer + 9*mu_bijective,3,9
001|101|100,3,2*mu_thermometer + 6*mu_bijective,2,6
001|101|101,2,3*mu_thermometer + 9*mu_bijective,3,9
001|101|110,4,2*mu_thermometer + 3*mu_bijective,2,3
001|101|111,3,2*mu_thermometer + 6*mu_bijective,2,6
001|110|000,4,1*mu_thermometer + 5*mu_bijective,1,5
001|110|001,3,2*mu_thermometer + 6*mu_bijective,2,6
001|110|010,5,2*mu_thermometer + 4*mu_bijective,2,4
001|110|011,4,2*mu_thermometer + 5*mu_bijective,2,5
001|110|100,5,1*mu_thermometer + 2*mu_bijective,1,2
001|110|101,4,2*mu_thermometer + 3*mu_bijective,2,3
001|110|110,6,1*mu_thermometer + 1*mu_bijective,1,1
001|110|111,5,1*mu_thermometer + 2*mu_bijective,1,2
001|111|000,3,1*mu_thermometer + 6*mu_bijective,1,6
001|111|001,2,2*mu_thermometer + 9*mu_bijective,2,9
001|111|010,4,2*mu_thermometer + 5*mu_bijective,2,5
001|111|011,3,2*mu_thermometer + 8*mu_bijective,2,8
001|111|100,4,1*mu_thermometer + 3*mu_bijective,1,3
001|111|101,3,2*mu_thermometer + 6*mu_bijective,2,6
001|111|110,5,1*mu_thermometer + 2*mu_bijective,1,2
001|111|111,4,1*mu_thermometer + 5*mu_bijective,1,5
010|000|000,2,1*mu_thermometer + 11*mu_bijective,1,11
010|000|001,3,2*mu_thermometer + 10*mu_bijective,2,10
010|000|010,1,2*mu_thermometer + 10*mu_bijective,2,10
010|000|011,2,2*mu_thermometer + 9*mu_bijective,2,9
010|000|100,3,1*mu_thermometer + 6*mu_bijective,1,6
010|000|101,4,2*mu_thermometer + 5*mu_bijective,2,5
010|000|110,2,1*mu_thermometer + 5*mu_bijective,1,5
010|000|111,3,1*mu_thermometer + 4*mu_bijective,1,4
010|001|000,3,2*mu_thermometer + 10*mu_bijective,2,10
010|001|001,4,3*mu_thermometer + 11*mu_bijective,3,11
010|001|010,2,3*mu_thermometer + 9*mu_bijective,3,9
010|001|011,3,3*mu_thermometer + 10*mu_bijective,3,10
010|001|100,4,2*mu_thermometer + 5*mu_bijective,2,5
010|001|101,5,3*mu_thermometer + 6*mu_bijective,3,6
010|001|110,3,2*mu_thermometer + 4*mu_bijective,2,4
010|001|111,4,2*mu_thermometer + 5*mu_bijective,2,5
010|010|000,1,2*mu_thermometer + 10*mu_bijective,2,10
010|010|001,2,3*mu_thermometer + 9*mu_bijective,3,9
010|010|010,0,3*mu_thermometer + 11*mu_bijective,3,11
010|010|011,1,3*mu_thermometer + 10*mu_bijective,3,10
010|010|100,2,2*mu_thermometer + 5*mu_bijective,2,5
010|010|101,3,3*mu_thermometer + 4*mu_bijective,3,4
010|010|110,1,2*mu_thermometer + 6*mu_bijective,2,6
010|010|111,2,2*mu_thermometer + 5*mu_bijective,2,5
010|011|000,2,2*mu_thermometer + 9*mu_bijective,2,9
010|011|001,3,3*mu_thermometer + 10*mu_bijective,3,10
010|011|010,1,3*mu_thermometer + 10*mu_bijective,3,10
010|011|011,2,3*mu_thermometer + 11*mu_bijective,3,11
010|011|100,3,2*mu_thermometer + 4*mu_bijective,2,4
010|011|101,4,3*mu_thermometer + 5*mu_bijective,3,5
010|011|110,2,2*mu_thermometer + 5*mu_bijective,2,5
010|011|111,3,2*mu_thermometer + 6*mu_bijective,2,6
010|100|000,3,1*mu_thermometer + 6*mu_bijective,1,6
010|100|001,4,2*mu_thermometer + 5*mu_bijective,2,5
010|100|010,2,2*mu_thermometer + 5*mu_bijective,2,5
010|100|011,3,2*mu_thermometer + 4*mu_bijective,2,4
010|100|100,4,1*mu_thermometer + 3*mu_bijective,1,3
010|100|101,5,2*mu_thermometer + 2*mu_bijective,2,2
010|100|110,3,1*mu_thermometer + 2*mu_bijective,1,2
010|100|111,4,1*mu_thermometer + 1*mu_bijective,1,1
010|101|000,4,2*mu_thermometer + 5*mu_bijective,2,5
010|101|001,5,3*mu_thermometer + 6*mu_bijective,3,6
010|101|010,3,3*mu_thermometer + 4*mu_bijective,3,4
010|101|011,4,3*mu_thermometer + 5*mu_bijective,3,5
010|101|100,5,2*mu_thermometer + 2*mu_bijective,2,2
010|101|101,6,3*mu_thermometer + 3*mu_bijective,3,3
010|101|110,4,2*mu_thermometer + 1*mu_bijective,2,1
010|101|111,5,2*mu_thermometer + 2*mu_bijective,2,2
010|110|000,2,1*mu_thermometer + 5*mu_bijective,1,5
010|110|001,3,2*mu_thermometer + 4*mu_bijective,2,4
010|110|010,1,2*mu_thermometer + 6*mu_bijective,2,6
010|110|011,2,2*mu_thermometer + 5*mu_bijective,2,5
010|110|100,3,1*mu_thermometer + 2*mu_bijective,1,2
010|110|101,4,2*mu_thermometer + 1*mu_bijective,2,1
010|110|110,2,1*mu_thermometer + 3*mu_bijective,1,3
010|110|111,3,1*mu_thermometer + 2*mu_bijective,1,2
010|111|000,3,1*mu_thermometer + 4*mu_bijective,1,4
010|111|001,4,2*mu_thermometer + 5*mu_bijective,2,5
010|111|010,2,2*mu_thermometer + 5*mu_bijective,2,5
010|111|011,3,2*mu_thermometer + 6*mu_bijective,2,6
010|111|100,4,1*mu_thermometer + 1*mu_bijective,1,1
010|111|101,5,2*mu_thermometer + 2*mu_bijective,2,2
010|111|110,3,1*mu_thermometer + 2*mu_bijective,1,2
010|111|111,4,1*mu_thermometer + 3*mu_bijective,1,3
011|000|000,4,1*mu_thermometer + 10*mu_bijective,1,10
011|000|001,3,2*mu_thermometer + 11*mu_bijective,2,11
011|000|010,3,2*mu_thermometer + 9*mu_bijective,2,9
011|000|011,2,2*mu_thermometer + 10*mu_bijective,2,10
011|000|100,5,1*mu_thermometer + 5*mu_bijective,1,5
011|000|101,4,2*mu_thermometer + 6*mu_bijective,2,6
011|000|110,4,1*mu_thermometer + 4*mu_bijective,1,4
011|000|111,3,1*mu_thermometer + 5*mu_bijective,1,5
011|001|000,3,2*mu_thermometer + 11*mu_bijective,2,11
011|001|001,2,3*mu_thermometer + 14*mu_bijective,3,14
011|001|010,2,3*mu_thermometer + 10*mu_bijective,3,10
011|001|011,1,3*mu_thermometer + 13*mu_bijective,3,13
011|001|100,4,2*mu_thermometer + 6*mu_bijective,2,6
011|001|101,3,3*mu_thermometer + 9*mu_bijective,3,9
011|001|110,3,2*mu_thermometer + 5*mu_bijective,2,5
011|001|111,2,2*mu_thermometer + 8*mu_bijective,2,8
011|010|000,3,2*mu_thermometer + 9*mu_bijective,2,9
011|010|001,2,3*mu_thermometer + 10*mu_bijective,3,10
011|010|010,2,3*mu_thermometer + 10*mu_bijective,3,10
011|010|011,1,3*mu_thermometer + 11*mu_bijective,3,11
011|010|100,4,2*mu_thermometer + 4*mu_bijective,2,4
011|010|101,3,3*mu_thermometer + 5*mu_bijective,3,5
011|010|110,3,2*mu_thermometer + 5*mu_bijective,2,5
011|010|111,2,2*mu_thermometer + 6*mu_bijective,2,6
011|011|000,2,2*mu_thermometer + 10*mu_bijective,2,10
011|011|001,1,3*mu_thermometer + 13*mu_bijective,3,13
011|011|010,1,3*mu_thermometer + 11*mu_bijective,3,11
011|011|011,0,3*mu_thermometer + 14*mu_bijective,3,14
011|011|100,3,2*mu_thermometer + 5*mu_bijective,2,5
011|011|101,2,3*mu_thermometer + 8*mu_bijective,3,8
011|011|110,2,2*mu_thermometer + 6*mu_bijective,2,6
011|011|111,1,2*mu_thermometer + 9*mu_bijective,2,9
011|100|000,5,1*mu_thermometer + 5*mu_bijective,1,5
011|100|001,4,2*mu_thermometer + 6*mu_bijective,2,6
011|100|010,4,2*mu_thermometer + 4*mu_bijective,2,4
011|100|011,3,2*mu_thermometer + 5*mu_bijective,2,5
011|100|100,6,1*mu_thermometer + 2*mu_bijective,1,2
011|100|101,5,2*mu_thermometer + 3*mu_bijective,2,3
011|100|110,5,1*mu_thermometer + 1*mu_bijective,1,1
011|100|111,4,1*mu_thermometer + 2*mu_bijective,1,2
011|101|000,4,2*mu_thermometer + 6*mu_bijective,2,6
011|101|001,3,3*mu_thermometer + 9*mu_bijective,3,9
011|101|010,3,3*mu_thermometer + 5*mu_bijective,3,5
011|101|011,2,3*mu_thermometer + 8*mu_bijective,3,8
011|101|100,5,2*mu_thermometer + 3*mu_bijective,2,3
011|101|101,4,3*mu_thermometer + 6*mu_bijective,3,6
011|101|110,4,2*mu_thermometer + 2*mu_bijective,2,2
011|101|111,3,2*mu_thermometer + 5*mu_bijective,2,5
011|110|000,4,1*mu_thermometer + 4*mu_bijective,1,4
011|110|001,3,2*mu_thermometer + 5*mu_bijective,2,5
011|110|010,3,2*mu_thermometer + 5*mu_bijective,2,5
011|110|011,2,2*mu_thermometer + 6*mu_bijective,2,6
011|110|100,5,1*mu_thermometer + 1*mu_bijective,1,1
011|110|101,4,2*mu_thermometer + 2*mu_bijective,2,2
011|110|110,4,1*mu_thermometer + 2*mu_bijective,1,2
011|110|111,3,1*mu_thermometer + 3*mu_bijective,1,3
011|111|000,3,1*mu_thermometer + 5*mu_bijective,1,5
011|111|001,2,2*mu_thermometer + 8*mu_bijective,2,8
011|111|010,2,2*mu_thermometer + 6*mu_bijective,2,6
011|111|011,1,2*mu_thermometer + 9*mu_bijective,2,9
011|111|100,4,1*mu_thermometer + 2*mu_bijective,1,2
011|111|101,3,2*mu_thermometer + 5*mu_bijective,2,5
011|111|110,3,1*mu_thermometer + 3*mu_bijective,1,3
011|111|111,2,1*mu_thermometer + 6*mu_bijective,1,6
100|000|000,2,9*mu_bijective,0,9
100|000|001,3,1*mu_thermometer + 8*mu_bijective,1,8
100|000|010,3,1*mu_thermometer + 6*mu_bijective,1,6
100|000|011,4,1*mu_thermometer + 5*mu_bijective,1,5
100|000|100,1,6*mu_bijective,0,6
100|000|101,2,1*mu_thermometer + 5*mu_bijective,1,5
100|000|110,2,3*mu_bijective,0,3
100|000|111,3,2*mu_bijective,0,2
100|001|000,3,1*mu_thermometer + 8*mu_bijective,1,8
100|001|001,4,2*mu_thermometer + 9*mu_bijective,2,9
100|001|010,4,2*mu_thermometer + 5*mu_bijective,2,5
100|001|011,5,2*mu_thermometer + 6*mu_bijective,2,6
100|001|100,2,1*mu_thermometer + 5*mu_bijective,1,5
100|001|101,3,2*mu_thermometer + 6*mu_bijective,2,6
100|001|110,3,1*mu_thermometer + 2*mu_bijective,1,2
100|001|111,4,1*mu_thermometer + 3*mu_bijective,1,3
100|010|000,3,1*mu_thermometer + 6*mu_bijective,1,6
100|010|001,4,2*mu_thermometer + 5*mu_bijective,2,5
100|010|010,4,2*mu_thermometer + 5*mu_bijective,2,5
100|010|011,5,2*mu_thermometer + 4*mu_bijective,2,4
100|010|100,2,1*mu_thermometer + 3*mu_bijective,1,3
100|010|101,3,2*mu_thermometer + 2*mu_bijective,2,2
100|010|110,3,1*mu_thermometer + 2*mu_bijective,1,2
100|010|111,4,1*mu_thermometer + 1*mu_bijective,1,1
100|011|000,4,1*mu_thermometer + 5*mu_bijective,1,5
100|011|001,5,2*mu_thermometer + 6*mu_bijective,2,6
100|011|010,5,2*mu_thermometer + 4*mu_bijective,2,4
100|011|011,6,2*mu_thermometer + 5*mu_bijective,2,5
100|011|100,3,1*mu_thermometer + 2*mu_bijective,1,2
100|011|101,4,2*mu_thermometer + 3*mu_bijective,2,3
100|011|110,4,1*mu_thermometer + 1*mu_bijective,1,1
100|011|111,5,1*mu_thermometer + 2*mu_bijective,1,2
100|100|000,1,6*mu_bijective,0,6
100|100|001,2,1*mu_thermometer + 5*mu_bijective,1,5
100|100|010,2,1*mu_thermometer + 3*mu_bijective,1,3
100|100|011,3,1*mu_thermometer + 2*mu_bijective,1,2
100|100|100,0,5*mu_bijective,0,5
100|100|101,1,1*mu_thermometer + 4*mu_bijective,1,4
100|100|110,1,2*mu_bijective,0,2
100|100|111,2,1*mu_bijective,0,1
100|101|000,2,1*mu_thermometer + 5*mu_bijective,1,5
100|101|001,3,2*mu_thermometer + 6*mu_bijective,2,6
100|101|010,3,2*mu_thermometer + 2*mu_bijective,2,2
100|101|011,4,2*mu_thermometer + 3*mu_bijective,2,3
100|101|100,1,1*mu_thermometer + 4*mu_bijective,1,4
100|101|101,2,2*mu_thermometer + 5*mu_bijective,2,5
100|101|110,2,1*mu_thermometer + 1*mu_bijective,1,1
100|101|111,3,1*mu_thermometer + 2*mu_bijective,1,2
100|110|000,2,3*mu_bijective,0,3
100|110|001,3,1*mu_thermometer + 2*mu_bijective,1,2
100|110|010,3,1*mu_thermometer + 2*mu_bijective,1,2
100|110|011,4,1*mu_thermometer + 1*mu_bijective,1,1
100|110|100,1,2*mu_bijective,0,2
100|110|101,2,1*mu_thermometer + 1*mu_bijective,1,1
100|110|110,2,1*mu_bijective,0,1
100|110|111,3,0,0,0
100|111|000,3,2*mu_bijective,0,2
100|111|001,4,1*mu_thermometer + 3*mu_bijective,1,3
100|111|010,4,1*mu_thermometer + 1*mu_bijective,1,1
100|111|011,5,1*mu_thermometer + 2*mu_bijective,1,2
100|111|100,2,1*mu_bijective,0,1
100|111|101,3,1*mu_thermometer + 2*mu_bijective,1,2
100|111|110,3,0,0,0
100|111|111,4,1*mu_bijective,0,1
101|000|000,4,1*mu_thermometer + 8*mu_bijective,1,8
101|000|001,3,2*mu_thermometer + 9*mu_bijective,2,9
101|000|010,5,2*mu_thermometer + 5*mu_bijective,2,5
101|000|011,4,2*mu_thermometer + 6*mu_bijective,2,6
101|000|100,3,1*mu_thermometer + 5*mu_bijective,1,5
101|000|101,2,2*mu_thermometer + 6*mu_bijective,2,6
101|000|110,4,1*mu_thermometer + 2*mu_bijective,1,2
101|000|111,3,1*mu_thermometer + 3*mu_bijective,1,3
101|001|000,3,2*mu_thermometer + 9*mu_bijective,2,9
101|001|001,2,3*mu_thermometer + 12*mu_bijective,3,12
101|001|010,4,3*mu_thermometer + 6*mu_bijective,3,6
