assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
0000|1101|0110|1100,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|0110|1101,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|0110|1110,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1101|0110|1111,9,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|0111|0000,6,2*mu_thermometer + 12*mu_bijective,2,12
0000|1101|0111|0001,7,3*mu_thermometer + 15*mu_bijective,3,15
0000|1101|0111|0010,7,3*mu_thermometer + 11*mu_bijective,3,11
0000|1101|0111|0011,8,3*mu_thermometer + 14*mu_bijective,3,14
0000|1101|0111|0100,7,3*mu_thermometer + 11*mu_bijective,3,11
0000|1101|0111|0101,8,4*mu_thermometer + 14*mu_bijective,4,14
0000|1101|0111|0110,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|0111|0111,9,3*mu_thermometer + 13*mu_bijective,3,13
0000|1101|0111|1000,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|0111|1001,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|0111|1010,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|0111|1011,9,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|0111|1100,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|0111|1101,9,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|0111|1110,9,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|0111|1111,10,2*mu_thermometer + 8*mu_bijective,2,8
0000|1101|1000|0000,4,1*mu_thermometer + 12*mu_bijective,1,12
0000|1101|1000|0001,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|1101|1000|0010,5,2*mu_thermometer + 9*mu_bijective,2,9
0000|1101|1000|0011,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1101|1000|0100,5,2*mu_thermometer + 9*mu_bijective,2,9
0000|1101|1000|0101,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1000|0110,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1000|0111,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1000|1000,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1101|1000|1001,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1101|1000|1010,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1000|1011,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1000|1100,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1101|1000|1101,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1000|1110,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1101|1000|1111,8,1*mu_thermometer + 4*mu_bijective,1,4
0000|1101|1001|0000,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|1101|1001|0001,6,3*mu_thermometer + 16*mu_bijective,3,16
0000|1101|1001|0010,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1001|0011,7,3*mu_thermometer + 13*mu_bijective,3,13
0000|1101|1001|0100,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1001|0101,7,4*mu_thermometer + 13*mu_bijective,4,13
0000|1101|1001|0110,7,3*mu_thermometer + 7*mu_bijective,3,7
0000|1101|1001|0111,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1001|1000,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1101|1001|1001,7,3*mu_thermometer + 13*mu_bijective,3,13
0000|1101|1001|1010,7,3*mu_thermometer + 7*mu_bijective,3,7
0000|1101|1001|1011,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1001|1100,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1001|1101,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1001|1110,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1101|1001|1111,9,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1010|0000,5,2*mu_thermometer + 9*mu_bijective,2,9
0000|1101|1010|0001,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1010|0010,6,3*mu_thermometer + 8*mu_bijective,3,8
0000|1101|1010|0011,7,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1010|0100,6,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|1010|0101,7,4*mu_thermometer + 7*mu_bijective,4,7
0000|1101|1010|0110,7,3*mu_thermometer + 5*mu_bijective,3,5
0000|1101|1010|0111,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|1010|1000,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1010|1001,7,3*mu_thermometer + 7*mu_bijective,3,7
0000|1101|1010|1010,7,3*mu_thermometer + 5*mu_bijective,3,5
0000|1101|1010|1011,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|1010|1100,7,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1010|1101,8,3*mu_thermometer + 4*mu_bijective,3,4
0000|1101|1010|1110,8,2*mu_thermometer + 2*mu_bijective,2,2
0000|1101|1010|1111,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1011|0000,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1101|1011|0001,7,3*mu_thermometer + 13*mu_bijective,3,13
0000|1101|1011|0010,7,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1011|0011,8,3*mu_thermometer + 12*mu_bijective,3,12
0000|1101|1011|0100,7,3*mu_thermometer + 7*mu_bijective,3,7
0000|1101|1011|0101,8,4*mu_thermometer + 10*mu_bijective,4,10
0000|1101|1011|0110,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|1011|0111,9,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1011|1000,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1011|1001,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1011|1010,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|1011|1011,9,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1011|1100,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1101|1011|1101,9,3*mu_thermometer + 7*mu_bijective,3,7
0000|1101|1011|1110,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1011|1111,10,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1100|0000,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1101|1100|0001,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1101|1100|0010,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1100|0011,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1100|0100,6,2*mu_thermometer + 8*mu_bijective,2,8
0000|1101|1100|0101,7,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1100|0110,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|1100|0111,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1100|1000,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1101|1100|1001,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1100|1010,7,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1100|1011,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1101|1100|1100,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1101|1100|1101,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1100|1110,8,1*mu_thermometer + 2*mu_bijective,1,2
0000|1101|1100|1111,9,1*mu_thermometer + 3*mu_bijective,1,3
0000|1101|1101|0000,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1101|1101|0001,7,3*mu_thermometer + 13*mu_bijective,3,13
0000|1101|1101|0010,7,3*mu_thermometer + 7*mu_bijective,3,7
0000|1101|1101|0011,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1101|0100,7,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1101|0101,8,4*mu_thermometer + 12*mu_bijective,4,12
0000|1101|1101|0110,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|1101|0111,9,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1101|1000,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1101|1001,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1101|1101|1010,8,3*mu_thermometer + 4*mu_bijective,3,4
0000|1101|1101|1011,9,3*mu_thermometer + 7*mu_bijective,3,7
0000|1101|1101|1100,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1101|1101,9,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1101|1110,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1101|1111,10,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1110|0000,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1101|1110|0001,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1110|0010,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|1110|0011,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1110|0100,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|1110|0101,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1101|1110|0110,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1101|1110|0111,9,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|1110|1000,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1101|1110|1001,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1101|1110|1010,8,2*mu_thermometer + 2*mu_bijective,2,2
0000|1101|1110|1011,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1110|1100,8,1*mu_thermometer + 2*mu_bijective,1,2
0000|1101|1110|1101,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1110|1110,9,1*mu_thermometer + 1*mu_bijective,1,1
0000|1101|1110|1111,10,1*mu_thermometer + 2*mu_bijective,1,2
0000|1101|1111|0000,7,1*mu_thermometer + 7*mu_bijective,1,7
0000|1101|1111|0001,8,2*mu_thermometer + 10*mu_bijective,2,10
0000|1101|1111|0010,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1111|0011,9,2*mu_thermometer + 9*mu_bijective,2,9
0000|1101|1111|0100,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1111|0101,9,3*mu_thermometer + 9*mu_bijective,3,9
0000|1101|1111|0110,9,2*mu_thermometer + 5*mu_bijective,2,5
0000|1101|1111|0111,10,2*mu_thermometer + 8*mu_bijective,2,8
0000|1101|1111|1000,8,1*mu_thermometer + 4*mu_bijective,1,4
0000|1101|1111|1001,9,2*mu_thermometer + 7*mu_bijective,2,7
0000|1101|1111|1010,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1101|1111|1011,10,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1111|1100,9,1*mu_thermometer + 3*mu_bijective,1,3
0000|1101|1111|1101,10,2*mu_thermometer + 6*mu_bijective,2,6
0000|1101|1111|1110,10,1*mu_thermometer + 2*mu_bijective,1,2
0000|1101|1111|1111,11,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0000|0000,3,15*mu_bijective,0,15
0000|1110|0000|0001,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|1110|0000|0010,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|1110|0000|0011,5,1*mu_thermometer + 13*mu_bijective,1,13
0000|1110|0000|0100,4,1*mu_thermometer + 12*mu_bijective,1,12
0000|1110|0000|0101,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0000|0110,5,1*mu_thermometer + 11*mu_bijective,1,11
0000|1110|0000|0111,6,1*mu_thermometer + 10*mu_bijective,1,10
0000|1110|0000|1000,4,10*mu_bijective,0,10
0000|1110|0000|1001,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|0000|1010,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|0000|1011,6,1*mu_thermometer + 8*mu_bijective,1,8
0000|1110|0000|1100,5,7*mu_bijective,0,7
0000|1110|0000|1101,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0000|1110,6,6*mu_bijective,0,6
0000|1110|0000|1111,7,5*mu_bijective,0,5
0000|1110|0001|0000,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|1110|0001|0001,5,2*mu_thermometer + 15*mu_bijective,2,15
0000|1110|0001|0010,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|1110|0001|0011,6,2*mu_thermometer + 14*mu_bijective,2,14
0000|1110|0001|0100,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0001|0101,6,3*mu_thermometer + 12*mu_bijective,3,12
0000|1110|0001|0110,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0001|0111,7,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0001|1000,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|0001|1001,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0001|1010,6,2*mu_thermometer + 8*mu_bijective,2,8
0000|1110|0001|1011,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|0001|1100,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0001|1101,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|0001|1110,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0001|1111,8,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0010|0000,4,1*mu_thermometer + 14*mu_bijective,1,14
0000|1110|0010|0001,5,2*mu_thermometer + 13*mu_bijective,2,13
0000|1110|0010|0010,5,2*mu_thermometer + 15*mu_bijective,2,15
0000|1110|0010|0011,6,2*mu_thermometer + 14*mu_bijective,2,14
0000|1110|0010|0100,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0010|0101,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1110|0010|0110,6,2*mu_thermometer + 12*mu_bijective,2,12
0000|1110|0010|0111,7,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0010|1000,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|0010|1001,6,2*mu_thermometer + 8*mu_bijective,2,8
0000|1110|0010|1010,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0010|1011,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|0010|1100,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0010|1101,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|0010|1110,7,1*mu_thermometer + 7*mu_bijective,1,7
0000|1110|0010|1111,8,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0011|0000,5,1*mu_thermometer + 13*mu_bijective,1,13
0000|1110|0011|0001,6,2*mu_thermometer + 14*mu_bijective,2,14
0000|1110|0011|0010,6,2*mu_thermometer + 14*mu_bijective,2,14
0000|1110|0011|0011,7,2*mu_thermometer + 15*mu_bijective,2,15
0000|1110|0011|0100,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0011|0101,7,3*mu_thermometer + 11*mu_bijective,3,11
0000|1110|0011|0110,7,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0011|0111,8,2*mu_thermometer + 12*mu_bijective,2,12
0000|1110|0011|1000,6,1*mu_thermometer + 8*mu_bijective,1,8
0000|1110|0011|1001,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|0011|1010,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|0011|1011,8,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0011|1100,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0011|1101,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|0011|1110,8,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0011|1111,9,1*mu_thermometer + 7*mu_bijective,1,7
0000|1110|0100|0000,4,1*mu_thermometer + 12*mu_bijective,1,12
0000|1110|0100|0001,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0100|0010,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0100|0011,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0100|0100,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0100|0101,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1110|0100|0110,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0100|0111,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|0100|1000,5,1*mu_thermometer + 7*mu_bijective,1,7
0000|1110|0100|1001,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|0100|1010,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|0100|1011,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|0100|1100,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0100|1101,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|0100|1110,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0100|1111,8,1*mu_thermometer + 4*mu_bijective,1,4
0000|1110|0101|0000,5,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0101|0001,6,3*mu_thermometer + 12*mu_bijective,3,12
0000|1110|0101|0010,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1110|0101|0011,7,3*mu_thermometer + 11*mu_bijective,3,11
0000|1110|0101|0100,6,3*mu_thermometer + 10*mu_bijective,3,10
0000|1110|0101|0101,7,4*mu_thermometer + 11*mu_bijective,4,11
0000|1110|0101|0110,7,3*mu_thermometer + 9*mu_bijective,3,9
0000|1110|0101|0111,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1110|0101|1000,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|0101|1001,7,3*mu_thermometer + 7*mu_bijective,3,7
0000|1110|0101|1010,7,3*mu_thermometer + 5*mu_bijective,3,5
0000|1110|0101|1011,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1110|0101|1100,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|0101|1101,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1110|0101|1110,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1110|0101|1111,9,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|0110|0000,5,1*mu_thermometer + 11*mu_bijective,1,11
0000|1110|0110|0001,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0110|0010,6,2*mu_thermometer + 12*mu_bijective,2,12
0000|1110|0110|0011,7,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0110|0100,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0110|0101,7,3*mu_thermometer + 9*mu_bijective,3,9
0000|1110|0110|0110,7,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0110|0111,8,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0110|1000,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0110|1001,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|0110|1010,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|0110|1011,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|0110|1100,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0110|1101,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1110|0110|1110,8,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|0110|1111,9,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0111|0000,6,1*mu_thermometer + 10*mu_bijective,1,10
0000|1110|0111|0001,7,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0111|0010,7,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0111|0011,8,2*mu_thermometer + 12*mu_bijective,2,12
0000|1110|0111|0100,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|0111|0101,8,3*mu_thermometer + 10*mu_bijective,3,10
0000|1110|0111|0110,8,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|0111|0111,9,2*mu_thermometer + 11*mu_bijective,2,11
0000|1110|0111|1000,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0111|1001,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|0111|1010,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|0111|1011,9,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|0111|1100,8,1*mu_thermometer + 4*mu_bijective,1,4
0000|1110|0111|1101,9,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|0111|1110,9,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|0111|1111,10,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1000|0000,4,10*mu_bijective,0,10
0000|1110|1000|0001,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|1000|0010,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|1000|0011,6,1*mu_thermometer + 8*mu_bijective,1,8
0000|1110|1000|0100,5,1*mu_thermometer + 7*mu_bijective,1,7
0000|1110|1000|0101,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1000|0110,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1000|0111,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|1000|1000,5,7*mu_bijective,0,7
0000|1110|1000|1001,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1000|1010,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1000|1011,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|1000|1100,6,4*mu_bijective,0,4
0000|1110|1000|1101,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1000|1110,7,3*mu_bijective,0,3
0000|1110|1000|1111,8,2*mu_bijective,0,2
0000|1110|1001|0000,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|1001|0001,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|1001|0010,6,2*mu_thermometer + 8*mu_bijective,2,8
0000|1110|1001|0011,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|1001|0100,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1001|0101,7,3*mu_thermometer + 7*mu_bijective,3,7
0000|1110|1001|0110,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1001|0111,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1001|1000,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1001|1001,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|1001|1010,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1001|1011,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1001|1100,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1001|1101,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1110|1001|1110,8,1*mu_thermometer + 2*mu_bijective,1,2
0000|1110|1001|1111,9,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1010|0000,5,1*mu_thermometer + 9*mu_bijective,1,9
0000|1110|1010|0001,6,2*mu_thermometer + 8*mu_bijective,2,8
0000|1110|1010|0010,6,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|1010|0011,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|1010|0100,6,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1010|0101,7,3*mu_thermometer + 5*mu_bijective,3,5
0000|1110|1010|0110,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|1010|0111,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1010|1000,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1010|1001,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1010|1010,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|1010|1011,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1010|1100,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1010|1101,8,2*mu_thermometer + 2*mu_bijective,2,2
0000|1110|1010|1110,8,1*mu_thermometer + 4*mu_bijective,1,4
0000|1110|1010|1111,9,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1011|0000,6,1*mu_thermometer + 8*mu_bijective,1,8
0000|1110|1011|0001,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|1011|0010,7,2*mu_thermometer + 9*mu_bijective,2,9
0000|1110|1011|0011,8,2*mu_thermometer + 10*mu_bijective,2,10
0000|1110|1011|0100,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1011|0101,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1110|1011|0110,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1011|0111,9,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|1011|1000,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|1011|1001,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1011|1010,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1011|1011,9,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|1011|1100,8,1*mu_thermometer + 2*mu_bijective,1,2
0000|1110|1011|1101,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1110|1011|1110,9,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1011|1111,10,1*mu_thermometer + 4*mu_bijective,1,4
0000|1110|1100|0000,5,7*mu_bijective,0,7
0000|1110|1100|0001,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1100|0010,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1100|0011,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|1100|0100,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1100|0101,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1100|0110,7,1*mu_thermometer + 5*mu_bijective,1,5
0000|1110|1100|0111,8,1*mu_thermometer + 4*mu_bijective,1,4
0000|1110|1100|1000,6,4*mu_bijective,0,4
0000|1110|1100|1001,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1100|1010,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1100|1011,8,1*mu_thermometer + 2*mu_bijective,1,2
0000|1110|1100|1100,7,3*mu_bijective,0,3
0000|1110|1100|1101,8,1*mu_thermometer + 2*mu_bijective,1,2
0000|1110|1100|1110,8,2*mu_bijective,0,2
0000|1110|1100|1111,9,1*mu_bijective,0,1
0000|1110|1101|0000,6,1*mu_thermometer + 6*mu_bijective,1,6
0000|1110|1101|0001,7,2*mu_thermometer + 7*mu_bijective,2,7
0000|1110|1101|0010,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1101|0011,8,2*mu_thermometer + 6*mu_bijective,2,6
0000|1110|1101|0100,7,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1101|0101,8,3*mu_thermometer + 6*mu_bijective,3,6
0000|1110|1101|0110,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1110|1101|0111,9,2*mu_thermometer + 5*mu_bijective,2,5
0000|1110|1101|1000,7,1*mu_thermometer + 3*mu_bijective,1,3
0000|1110|1101|1001,8,2*mu_thermometer + 4*mu_bijective,2,4
0000|1110|1101|1010,8,2*mu_thermometer + 2*mu_bijective,2,2
0000|1110|1101|1011,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1110|1101|1100,8,1*mu_thermometer + 2*mu_bijective,1,2
0000|1110|1101|1101,9,2*mu_thermometer + 3*mu_bijective,2,3
0000|1110|1101|1110,9,1*mu_thermometer + 1*mu_bijective,1,1
