solver_name,beta_schedule_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_default,default,6,23,11,exact,33,33,21.0,21,21,True,0.12147188186645508
QWaveSampler_default,default,6,24,9,exact,30,30,16.0,16,15,True,0.12801599502563477
QWaveSampler_default,default,6,25,10,exact,32,32,17.0,17,17,True,0.1175076961517334
QWaveSampler_default,default,6,26,9,exact,30,30,15.0,15,15,True,0.12123465538024902
QWaveSampler_default,default,6,27,6,exact,24,24,10.0,10,8,True,0.1175088882446289
QWaveSampler_default,default,6,28,7,exact,26,26,11.0,11,10,True,0.11805534362792969
QWaveSampler_default,default,6,29,9,exact,30,30,16.0,16,16,True,0.11760425567626953
QWaveSampler_default,default,6,30,8,exact,28,28,13.0,13,13,True,0.11802434921264648
QWaveSampler_default,default,6,31,6,exact,24,24,8.0,8,8,True,0.11707901954650879
QWaveSampler_default,default,6,32,6,exact,24,24,9.0,9,8,True,0.11719298362731934
QWaveSampler_default,default,6,33,5,exact,21,21,7.0,7,6,True,0.11450719833374023
QWaveSampler_default,default,6,34,9,exact,30,30,17.0,17,16,True,0.11754536628723145
QWaveSampler_default,default,6,35,7,exact,26,26,12.0,12,11,True,0.1165151596069336
QWaveSampler_default,default,6,36,10,exact,32,32,19.0,19,19,True,0.1185147762298584
QWaveSampler_default,default,6,37,10,exact,32,32,19.0,19,19,True,0.1182253360748291
QWaveSampler_default,default,6,38,5,exact,21,21,9.0,9,5,True,0.11815404891967773
QWaveSampler_default,default,6,39,7,exact,26,26,13.0,13,13,True,0.11573052406311035
QWaveSampler_default,default,6,40,7,exact,26,26,13.0,13,12,True,0.11751079559326172
QWaveSampler_default,default,6,41,8,exact,28,28,14.0,14,15,True,0.11801958084106445
QWaveSampler_default,default,6,42,8,exact,28,28,15.0,15,13,True,0.1196589469909668
QWaveSampler_default,default,6,43,10,exact,32,32,18.0,18,16,True,0.11701822280883789
QWaveSampler_default,default,6,44,8,exact,28,28,11.0,11,11,True,0.11904716491699219
QWaveSampler_default,default,6,45,10,exact,32,32,21.0,21,19,True,0.11790060997009277
QWaveSampler_default,default,6,46,8,exact,28,28,15.0,15,14,True,0.11618232727050781
QWaveSampler_default,default,6,47,10,exact,32,32,19.0,19,18,True,0.11590170860290527
QWaveSampler_default,default,6,48,10,exact,32,32,20.0,20,19,True,0.12401533126831055
QWaveSampler_default,default,6,49,7,exact,26,26,9.0,9,9,True,0.11660242080688477
QWaveSampler_linear,linear,6,0,6,exact,24,24,8.0,8,8,True,0.14050722122192383
QWaveSampler_linear,linear,6,1,7,exact,26,26,11.0,11,9,True,0.1345226764678955
QWaveSampler_linear,linear,6,2,7,exact,26,26,11.0,11,11,True,0.13483428955078125
QWaveSampler_linear,linear,6,3,7,exact,26,26,11.0,11,11,True,0.13602137565612793
QWaveSampler_linear,linear,6,4,6,exact,24,24,10.0,10,7,True,0.13701128959655762
QWaveSampler_linear,linear,6,5,8,exact,28,28,13.0,13,13,True,0.1383376121520996
QWaveSampler_linear,linear,6,6,7,exact,26,26,12.0,12,10,True,0.13790082931518555
QWaveSampler_linear,linear,6,7,8,exact,28,28,15.0,15,11,True,0.13764023780822754
QWaveSampler_linear,linear,6,8,9,exact,30,30,16.0,16,16,True,0.13871407508850098
QWaveSampler_linear,linear,6,9,10,exact,32,32,20.0,20,18,True,0.13902735710144043
QWaveSampler_linear,linear,6,10,7,exact,26,26,12.0,12,10,True,0.13522124290466309
QWaveSampler_linear,linear,6,11,8,exact,28,28,13.0,13,12,True,0.13516473770141602
QWaveSampler_linear,linear,6,12,6,exact,24,24,10.0,10,9,True,0.1354379653930664
QWaveSampler_linear,linear,6,13,6,exact,24,24,10.0,10,9,True,0.13851165771484375
QWaveSampler_linear,linear,6,14,8,exact,28,28,15.0,15,15,True,0.13419604301452637
QWaveSampler_linear,linear,6,15,9,exact,30,30,18.0,18,15,True,0.1340160369873047
