solver_name,beta_schedule_type,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
OpenJij,N/A,synthetic_n6,6,50,0.5,exact,0.86,0.06,0.06976744186046512,0.31153683138167254,0.24594631140354914,43,3,3.9090352058410645
QWaveSampler_default,default,synthetic_n6,6,50,0.5,exact,1.0,0.42,0.42,0.09281679955751163,0.14123434431013424,50,21,5.978622913360596
QWaveSampler_linear,linear,synthetic_n6,6,50,0.5,exact,1.0,0.42,0.42,0.09555581140565658,0.11551373534781473,50,21,6.778176307678223
QWaveSampler_exponential,exponential,synthetic_n6,6,50,0.5,exact,1.0,0.54,0.54,0.08397238580133318,0.13212656753878074,50,27,7.309101343154907
SimulatedBifurcation,N/A,synthetic_n6,6,50,0.5,exact,1.0,0.96,0.96,-0.0074592425118740905,0.036828327775045626,50,48,37.36432647705078
OpenJij,N/A,synthetic_n6,6,50,0.5,lucas,1.0,0.9,0.9,0.001971031892084524,0.059180834195670946,50,45,4.090516805648804
QWaveSampler_default,default,synthetic_n6,6,50,0.5,lucas,1.0,0.98,0.98,-0.00916338924233661,0.03945287358819537,50,49,5.9533843994140625
QWaveSampler_linear,linear,synthetic_n6,6,50,0.5,lucas,1.0,0.86,0.86,0.005786789234157656,0.06309732671854319,50,43,7.006203889846802
QWaveSampler_exponential,exponential,synthetic_n6,6,50,0.5,lucas,1.0,0.88,0.88,0.009281055202107834,0.07450867855928667,50,44,7.540899753570557
SimulatedBifurcation,N/A,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,36.90350699424744
OpenJij,N/A,synthetic_n8,8,50,0.5,exact,0.16,0.0,0.0,0.38732322068388414,0.2247255218703602,8,0,5.169593572616577
QWaveSampler_default,default,synthetic_n8,8,50,0.5,exact,1.0,0.04,0.02,0.2011859856043476,0.11985994342057382,50,2,12.393381118774414
QWaveSampler_linear,linear,synthetic_n8,8,50,0.5,exact,1.0,0.04,0.02,0.20716732924186942,0.12016889444911194,50,2,13.768841743469238
QWaveSampler_exponential,exponential,synthetic_n8,8,50,0.5,exact,1.0,0.14,0.02,0.19249470155217588,0.13801230335953577,50,7,14.64102292060852
SimulatedBifurcation,N/A,synthetic_n8,8,50,0.5,exact,1.0,0.38,0.16,0.08314326098886995,0.07427900072575008,50,19,49.02488303184509
OpenJij,N/A,synthetic_n8,8,50,0.5,lucas,0.96,0.84,0.75,-0.009303468670327596,0.06500053978041273,48,42,5.474567413330078
QWaveSampler_default,default,synthetic_n8,8,50,0.5,lucas,1.0,0.9,0.66,-0.002008573591474008,0.06445093231456336,50,45,12.262107610702515
QWaveSampler_linear,linear,synthetic_n8,8,50,0.5,lucas,1.0,0.98,0.8,-0.012745086454104054,0.059654491678201416,50,49,14.333196878433228
QWaveSampler_exponential,exponential,synthetic_n8,8,50,0.5,lucas,1.0,0.92,0.78,-0.00897165564735406,0.05727261988742237,50,46,15.335285663604736
SimulatedBifurcation,N/A,synthetic_n8,8,50,0.5,lucas,1.0,0.96,0.86,-0.01839789566317066,0.05831074426998084,50,48,48.134904861450195
OpenJij,N/A,synthetic_n11,11,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,7.349130392074585
QWaveSampler_default,default,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.3189415061315389,0.14986411720122755,50,0,29.34243130683899
QWaveSampler_linear,linear,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.32711411257848616,0.13317006874509474,50,0,31.678115129470825
QWaveSampler_exponential,exponential,synthetic_n11,11,50,0.5,exact,1.0,0.02,0.0,0.29045944012411473,0.1321054987312374,50,1,33.396074056625366
SimulatedBifurcation,N/A,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.24289413017112388,0.1149783922881739,50,0,74.97825932502747
OpenJij,N/A,synthetic_n11,11,50,0.5,lucas,0.82,0.74,0.4878048780487805,0.0033056296887033405,0.04814835572025185,41,37,8.382681369781494
QWaveSampler_default,default,synthetic_n11,11,50,0.5,lucas,0.96,0.84,0.3958333333333333,0.012852778248902894,0.04355969357307541,48,42,29.320493698120117
QWaveSampler_linear,linear,synthetic_n11,11,50,0.5,lucas,1.0,0.92,0.48,0.0018225187880702026,0.040936053510565756,50,46,33.67114019393921
QWaveSampler_exponential,exponential,synthetic_n11,11,50,0.5,lucas,1.0,0.96,0.58,-0.0030769949894361593,0.0398080971670631,50,48,35.67413902282715
SimulatedBifurcation,N/A,synthetic_n11,11,50,0.5,lucas,0.88,0.6,0.25,0.03239270646984973,0.0428883811401283,44,30,74.65088772773743
OpenJij,N/A,synthetic_n13,13,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,10.700890064239502
QWaveSampler_default,default,synthetic_n13,13,50,0.5,exact,0.98,0.0,0.0,0.4068647581825002,0.13877410680494406,49,0,47.29085731506348
QWaveSampler_linear,linear,synthetic_n13,13,50,0.5,exact,0.76,0.0,0.0,0.439500238710703,0.14674901093461026,38,0,50.63067579269409
QWaveSampler_exponential,exponential,synthetic_n13,13,50,0.5,exact,1.0,0.0,0.0,0.3414837496814328,0.12249210076185156,50,0,53.24238610267639
SimulatedBifurcation,N/A,synthetic_n13,13,50,0.5,exact,0.72,0.0,0.0,0.3738845612713016,0.140731401189442,36,0,104.21438360214233
OpenJij,N/A,synthetic_n13,13,50,0.5,lucas,0.66,0.56,0.3939393939393939,0.009803160123201845,0.0386645741519082,33,28,11.49924373626709
QWaveSampler_default,default,synthetic_n13,13,50,0.5,lucas,0.82,0.54,0.12195121951219512,0.041535914015378726,0.04510448491521276,41,27,47.27081847190857
QWaveSampler_linear,linear,synthetic_n13,13,50,0.5,lucas,0.94,0.88,0.425531914893617,0.0011346220687287018,0.036927919883048846,47,44,53.66944861412048
QWaveSampler_exponential,exponential,synthetic_n13,13,50,0.5,lucas,0.88,0.84,0.4090909090909091,0.005388324542077467,0.036834932565043554,44,42,57.24565529823303
SimulatedBifurcation,N/A,synthetic_n13,13,50,0.5,lucas,0.64,0.32,0.125,0.04653778922569129,0.047117998006158825,32,16,102.80738162994385
OpenJij,N/A,synthetic_n15,15,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,15.040480136871338
QWaveSampler_default,default,synthetic_n15,15,50,0.5,exact,0.36,0.0,0.0,0.3503131759642763,0.11933491607099866,18,0,69.6388680934906
QWaveSampler_linear,linear,synthetic_n15,15,50,0.5,exact,0.04,0.0,0.0,0.43524845171982673,0.05252981205279065,2,0,76.02499341964722
