solver_id,dataset_name,num_vertices,num_graphs,penalty_mode,num_feasible,num_success,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,total_time
0,synthetic_n5,5,21,exact,21,16,1.0,0.7619047619047619,0.7619047619047619,0.04221175649747078,0.0966138242405714,2.2518558502197266
0,synthetic_n5,5,21,lucas,21,21,1.0,1.0,1.0,0.0,0.0,4.256245136260986
0,synthetic_n10,10,100,exact,100,1,1.0,0.01,0.0,0.28069414915469415,0.1374881084838893,51.545302391052246
0,synthetic_n10,10,100,lucas,100,100,1.0,1.0,0.87,-0.019970015586890634,0.04097252884866762,85.0881712436676
0,synthetic_n15,15,100,exact,79,0,0.79,0.0,0.0,0.35847025306239255,0.10553639077839784,152.73729181289673
0,synthetic_n15,15,100,lucas,93,89,0.93,0.89,0.5591397849462365,-0.006618904031681118,0.03567604940593458,215.26463222503662
0,synthetic_n20,20,100,exact,2,0,0.02,0.0,0.0,0.29423990374773884,0.08786733232678083,343.4511830806732
0,synthetic_n20,20,100,lucas,70,65,0.7,0.65,0.35714285714285715,0.006619096021505792,0.03514695669998747,434.4531705379486
0,synthetic_n25,25,100,exact,0,0,0.0,0.0,0.0,inf,0.0,637.7544689178467
0,synthetic_n25,25,100,lucas,31,30,0.31,0.3,0.1935483870967742,0.015235543296181375,0.0236182927875043,771.9464728832245
0,synthetic_n30,30,100,exact,0,0,0.0,0.0,0.0,inf,0.0,1068.5435605049133
0,synthetic_n30,30,100,lucas,5,5,0.05,0.05,0.8,-0.00407396787784092,0.02444293222832292,1263.441344499588
