solver_name,sampler_type,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
OpenJij,N/A,synthetic_n6,6,50,0.5,exact,0.86,0.06,0.06976744186046512,0.31153683138167254,0.24594631140354914,43,3,29.12199878692627
QWaveSampler_path,path,synthetic_n6,6,50,0.5,exact,1.0,0.94,0.94,0.0010559090032774246,0.06983390378211862,50,47,62.83461380004883
SimulatedBifurcation,N/A,synthetic_n6,6,50,0.5,exact,1.0,0.96,0.96,-0.0074592425118740905,0.036828327775045626,50,48,37.326881408691406
OpenJij,N/A,synthetic_n6,6,50,0.5,lucas,0.46,0.38,0.8260869565217391,0.012090528337667925,0.07325174646303523,23,19,31.645018339157104
QWaveSampler_path,path,synthetic_n6,6,50,0.5,lucas,0.62,0.62,1.0,-0.016507770667363194,0.041349556838958614,31,31,56.53213405609131
SimulatedBifurcation,N/A,synthetic_n6,6,50,0.5,lucas,0.38,0.38,1.0,-0.01788479295404503,0.0460308165932546,19,19,32.62983059883118
OpenJij,N/A,synthetic_n8,8,50,0.5,exact,0.16,0.0,0.0,0.38732322068388414,0.2247255218703602,8,0,38.30927276611328
QWaveSampler_path,path,synthetic_n8,8,50,0.5,exact,1.0,0.44,0.22,0.07518738873066691,0.07762909216970837,50,22,120.53077626228333
SimulatedBifurcation,N/A,synthetic_n8,8,50,0.5,exact,1.0,0.38,0.16,0.08314326098886995,0.07427900072575008,50,19,48.8755304813385
OpenJij,N/A,synthetic_n8,8,50,0.5,lucas,0.06,0.04,0.6666666666666666,0.017094017094017092,0.0296077061122885,3,2,42.80270981788635
QWaveSampler_path,path,synthetic_n8,8,50,0.5,lucas,0.08,0.08,0.75,0.0014781966001478197,0.022393580794594407,4,4,120.86455202102661
SimulatedBifurcation,N/A,synthetic_n8,8,50,0.5,lucas,0.02,0.02,1.0,-0.03225806451612903,0.0,1,1,44.336525678634644
OpenJij,N/A,synthetic_n11,11,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,56.8570499420166
QWaveSampler_path,path,synthetic_n11,11,50,0.5,exact,1.0,0.06,0.0,0.18028042432608976,0.08253659364290515,50,3,291.5552968978882
SimulatedBifurcation,N/A,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.24289413017112388,0.1149783922881739,50,0,75.59566354751587
OpenJij,N/A,synthetic_n11,11,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,67.0333297252655
QWaveSampler_path,path,synthetic_n11,11,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,290.99050211906433
SimulatedBifurcation,N/A,synthetic_n11,11,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,77.9117796421051
OpenJij,N/A,synthetic_n13,13,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,80.52884817123413
QWaveSampler_path,path,synthetic_n13,13,50,0.5,exact,1.0,0.0,0.0,0.24421117304680448,0.09499290342320386,50,0,457.41915249824524
SimulatedBifurcation,N/A,synthetic_n13,13,50,0.5,exact,0.72,0.0,0.0,0.3738845612713016,0.140731401189442,36,0,103.5795669555664
OpenJij,N/A,synthetic_n13,13,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,87.74418377876282
QWaveSampler_path,path,synthetic_n13,13,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,459.15020060539246
SimulatedBifurcation,N/A,synthetic_n13,13,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,100.4953498840332
OpenJij,N/A,synthetic_n15,15,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,106.87069177627563
QWaveSampler_path,path,synthetic_n15,15,50,0.5,exact,1.0,0.0,0.0,0.2837360791241561,0.08620497771755435,50,0,675.6084187030792
SimulatedBifurcation,N/A,synthetic_n15,15,50,0.5,exact,0.04,0.0,0.0,0.5131818935499917,0.03775300672227958,2,0,135.3469204902649
OpenJij,N/A,synthetic_n15,15,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,111.81195855140686
QWaveSampler_path,path,synthetic_n15,15,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,714.6720566749573
SimulatedBifurcation,N/A,synthetic_n15,15,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,121.75546908378601
