solver_name,beta_schedule_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_default,default,6,0,6,exact,24,24,9.0,9,8,True,0.12472772598266602
QWaveSampler_default,default,6,1,7,exact,26,26,13.0,13,9,True,0.1226046085357666
QWaveSampler_default,default,6,2,7,exact,26,26,11.0,11,11,True,0.11701774597167969
QWaveSampler_default,default,6,3,7,exact,26,26,13.0,13,11,True,0.11715054512023926
QWaveSampler_default,default,6,4,6,exact,24,24,9.0,9,7,True,0.1187295913696289
QWaveSampler_default,default,6,5,8,exact,28,28,15.0,15,13,True,0.13379740715026855
QWaveSampler_default,default,6,6,7,exact,26,26,10.0,10,10,True,0.12301445007324219
QWaveSampler_default,default,6,7,8,exact,28,28,11.0,11,11,True,0.1175084114074707
QWaveSampler_default,default,6,8,9,exact,30,30,16.0,16,16,True,0.11524295806884766
QWaveSampler_default,default,6,9,10,exact,32,32,18.0,18,18,True,0.11651206016540527
QWaveSampler_default,default,6,10,7,exact,26,26,11.0,11,10,True,0.11658358573913574
QWaveSampler_default,default,6,11,8,exact,28,28,13.0,13,12,True,0.11666750907897949
QWaveSampler_default,default,6,12,6,exact,24,24,9.0,9,9,True,0.11860918998718262
QWaveSampler_default,default,6,13,6,exact,24,24,9.0,9,9,True,0.1155099868774414
QWaveSampler_default,default,6,14,8,exact,28,28,16.0,16,15,True,0.11751532554626465
QWaveSampler_default,default,6,15,9,exact,30,30,15.0,15,15,True,0.1166989803314209
QWaveSampler_default,default,6,16,5,exact,21,21,7.0,7,6,True,0.11682510375976562
QWaveSampler_default,default,6,17,8,exact,28,28,14.0,14,14,True,0.12202000617980957
QWaveSampler_default,default,6,18,7,exact,26,26,12.0,12,11,True,0.11617755889892578
QWaveSampler_default,default,6,19,6,exact,24,24,9.0,9,8,True,0.11601996421813965
QWaveSampler_default,default,6,20,9,exact,30,30,16.0,16,13,True,0.11816811561584473
QWaveSampler_default,default,6,21,9,exact,30,30,18.0,18,17,True,0.12157654762268066
QWaveSampler_default,default,6,22,6,exact,24,24,9.0,9,7,True,0.11551070213317871
QWaveSampler_default,default,6,23,11,exact,33,33,21.0,21,21,True,0.11892151832580566
QWaveSampler_default,default,6,24,9,exact,30,30,16.0,16,15,True,0.1175076961517334
QWaveSampler_default,default,6,25,10,exact,32,32,17.0,17,17,True,0.1200258731842041
QWaveSampler_default,default,6,26,9,exact,30,30,15.0,15,15,True,0.11751341819763184
QWaveSampler_default,default,6,27,6,exact,24,24,10.0,10,8,True,0.11852860450744629
QWaveSampler_default,default,6,28,7,exact,26,26,11.0,11,10,True,0.11709952354431152
QWaveSampler_default,default,6,29,9,exact,30,30,16.0,16,16,True,0.11868548393249512
QWaveSampler_default,default,6,30,8,exact,28,28,13.0,13,13,True,0.11950802803039551
QWaveSampler_default,default,6,31,6,exact,24,24,8.0,8,8,True,0.11762380599975586
QWaveSampler_default,default,6,32,6,exact,24,24,9.0,9,8,True,0.11650538444519043
QWaveSampler_default,default,6,33,5,exact,21,21,7.0,7,6,True,0.11555814743041992
QWaveSampler_default,default,6,34,9,exact,30,30,17.0,17,16,True,0.12005424499511719
QWaveSampler_default,default,6,35,7,exact,26,26,12.0,12,11,True,0.11846423149108887
QWaveSampler_default,default,6,36,10,exact,32,32,19.0,19,19,True,0.11805248260498047
QWaveSampler_default,default,6,37,10,exact,32,32,19.0,19,19,True,0.11651086807250977
QWaveSampler_default,default,6,38,5,exact,21,21,9.0,9,5,True,0.11734843254089355
QWaveSampler_default,default,6,39,7,exact,26,26,13.0,13,13,True,0.11650967597961426
QWaveSampler_default,default,6,40,7,exact,26,26,13.0,13,12,True,0.11675000190734863
QWaveSampler_default,default,6,41,8,exact,28,28,14.0,14,15,True,0.11850738525390625
QWaveSampler_default,default,6,42,8,exact,28,28,15.0,15,13,True,0.11808133125305176
QWaveSampler_default,default,6,43,10,exact,32,32,18.0,18,16,True,0.11951160430908203
QWaveSampler_default,default,6,44,8,exact,28,28,11.0,11,11,True,0.1165616512298584
QWaveSampler_default,default,6,45,10,exact,32,32,21.0,21,19,True,0.1192786693572998
QWaveSampler_default,default,6,46,8,exact,28,28,15.0,15,14,True,0.12302398681640625
QWaveSampler_default,default,6,47,10,exact,32,32,19.0,19,18,True,0.12350869178771973
QWaveSampler_default,default,6,48,10,exact,32,32,20.0,20,19,True,0.12307310104370117
QWaveSampler_default,default,6,49,7,exact,26,26,9.0,9,9,True,0.1175088882446289
QWaveSampler_linear,linear,6,0,6,exact,24,24,8.0,8,8,True,0.33701467514038086
QWaveSampler_linear,linear,6,1,7,exact,26,26,9.0,9,9,True,0.3133432865142822
