solver_name,beta_schedule_type,dataset_name,num_vertices,num_graphs,density,penalty_mode,feasibility_rate,success_rate,dominance_score,avg_relative_gap,std_relative_gap,num_feasible,num_success,total_time
QWaveSampler_default,default,synthetic_n6,6,50,0.5,exact,1.0,0.42,0.42,0.09281679955751163,0.14123434431013424,50,21,5.934410810470581
QWaveSampler_linear,linear,synthetic_n6,6,50,0.5,exact,1.0,0.74,0.74,0.022235487594620726,0.07338348590489772,50,37,15.981893062591553
QWaveSampler_exponential,exponential,synthetic_n6,6,50,0.5,exact,1.0,0.14,0.14,0.24925529518640968,0.2307215446590814,50,7,6.281603097915649
QWaveSampler_default,default,synthetic_n6,6,50,0.5,lucas,1.0,0.98,0.98,-0.00916338924233661,0.03945287358819537,50,49,5.894982814788818
QWaveSampler_linear,linear,synthetic_n6,6,50,0.5,lucas,1.0,1.0,1.0,-0.011663389242336609,0.034416887517540254,50,50,19.116204261779785
QWaveSampler_exponential,exponential,synthetic_n6,6,50,0.5,lucas,1.0,0.52,0.5,0.07744302799024161,0.12175527058695618,50,26,6.050809144973755
QWaveSampler_default,default,synthetic_n8,8,50,0.5,exact,1.0,0.04,0.02,0.2011859856043476,0.11985994342057382,50,2,12.388922452926636
QWaveSampler_linear,linear,synthetic_n8,8,50,0.5,exact,1.0,0.08,0.04,0.1614003340972113,0.09903729096821184,50,4,32.51100540161133
QWaveSampler_exponential,exponential,synthetic_n8,8,50,0.5,exact,0.76,0.0,0.0,0.4360042746508718,0.17871900213337832,38,0,13.407430171966553
QWaveSampler_default,default,synthetic_n8,8,50,0.5,lucas,1.0,0.9,0.66,-0.002008573591474008,0.06445093231456336,50,45,12.436795949935913
QWaveSampler_linear,linear,synthetic_n8,8,50,0.5,lucas,1.0,1.0,1.0,-0.027297171406189005,0.0528689041580725,50,50,37.780473947525024
QWaveSampler_exponential,exponential,synthetic_n8,8,50,0.5,lucas,0.86,0.12,0.0,0.17659494161886813,0.12773631720463338,43,6,12.826232671737671
QWaveSampler_default,default,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.3189415061315389,0.14986411720122755,50,0,29.760989904403687
QWaveSampler_linear,linear,synthetic_n11,11,50,0.5,exact,1.0,0.0,0.0,0.27533707159080817,0.10886321802164316,50,0,71.40586566925049
QWaveSampler_exponential,exponential,synthetic_n11,11,50,0.5,exact,0.1,0.0,0.0,0.5240688177381907,0.1901226711926355,5,0,32.14618635177612
QWaveSampler_default,default,synthetic_n11,11,50,0.5,lucas,0.96,0.84,0.3958333333333333,0.012852778248902894,0.04355969357307541,48,42,30.57667088508606
QWaveSampler_linear,linear,synthetic_n11,11,50,0.5,lucas,0.98,0.98,1.0,-0.023616655156549843,0.03423372442552301,49,49,87.30045008659363
QWaveSampler_exponential,exponential,synthetic_n11,11,50,0.5,lucas,0.22,0.0,0.0,0.2782411345261746,0.11453599941311082,11,0,31.156541347503662
QWaveSampler_default,default,synthetic_n13,13,50,0.5,exact,0.98,0.0,0.0,0.4068647581825002,0.13877410680494406,49,0,47.31815195083618
QWaveSampler_linear,linear,synthetic_n13,13,50,0.5,exact,1.0,0.0,0.0,0.3593186062878744,0.15536582799569382,50,0,121.22356796264648
QWaveSampler_exponential,exponential,synthetic_n13,13,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,51.195704221725464
QWaveSampler_default,default,synthetic_n13,13,50,0.5,lucas,0.82,0.54,0.12195121951219512,0.041535914015378726,0.04510448491521276,41,27,47.50874328613281
QWaveSampler_linear,linear,synthetic_n13,13,50,0.5,lucas,0.9,0.9,0.9333333333333333,-0.023218033941071227,0.033257246134032505,45,45,129.60808563232422
QWaveSampler_exponential,exponential,synthetic_n13,13,50,0.5,lucas,0.04,0.0,0.0,0.25080499489515434,0.03748504494627501,2,0,49.75414514541626
QWaveSampler_default,default,synthetic_n15,15,50,0.5,exact,0.36,0.0,0.0,0.3503131759642763,0.11933491607099866,18,0,70.05840826034546
QWaveSampler_linear,linear,synthetic_n15,15,50,0.5,exact,0.52,0.0,0.0,0.38178194938010085,0.10727518106003073,26,0,178.36900234222412
QWaveSampler_exponential,exponential,synthetic_n15,15,50,0.5,exact,0.0,0.0,0.0,inf,0.0,0,0,77.91671180725098
QWaveSampler_default,default,synthetic_n15,15,50,0.5,lucas,0.64,0.36,0.125,0.04478019614809075,0.04422829656846834,32,18,70.2300317287445
QWaveSampler_linear,linear,synthetic_n15,15,50,0.5,lucas,0.88,0.88,1.0,-0.03110974585177095,0.02902195887076688,44,44,180.76380157470703
QWaveSampler_exponential,exponential,synthetic_n15,15,50,0.5,lucas,0.0,0.0,0.0,inf,0.0,0,0,74.07998061180115
