n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
15,56,37,SimulatedAnnealingSampler,exact,True,4,271.0,150.0,1.8066666666666666,0.077,5,10,1000,geometric,0.01,0.1
15,53,38,SimulatedAnnealingSampler,lucas,True,5,203.2,135.0,1.5051851851851852,0.104,5,10,1000,linear,0.1,0.5
15,53,38,SimulatedAnnealingSampler,exact,True,3,267.3333333333333,135.0,1.9802469135802467,0.076,5,10,1000,geometric,0.01,0.1
15,48,39,SimulatedAnnealingSampler,lucas,True,2,188.5,112.00000000000006,1.6830357142857135,0.119,5,10,1000,linear,0.1,0.5
15,48,39,SimulatedAnnealingSampler,exact,True,5,252.8,112.00000000000006,2.2571428571428562,0.082,5,10,1000,geometric,0.01,0.1
15,58,40,SimulatedAnnealingSampler,lucas,True,5,222.2,160.0,1.38875,0.114,5,10,1000,linear,0.1,0.5
15,58,40,SimulatedAnnealingSampler,exact,True,3,294.0,160.0,1.8375,0.073,5,10,1000,geometric,0.01,0.1
15,61,41,SimulatedAnnealingSampler,lucas,True,5,235.4,176.0,1.3375000000000001,0.106,5,10,1000,linear,0.1,0.5
15,61,41,SimulatedAnnealingSampler,exact,True,3,312.0,176.0,1.7727272727272727,0.075,5,10,1000,geometric,0.01,0.1
15,55,42,SimulatedAnnealingSampler,lucas,True,5,213.4,145.0,1.4717241379310346,0.106,5,10,1000,linear,0.1,0.5
15,55,42,SimulatedAnnealingSampler,exact,True,4,288.75,145.0,1.9913793103448276,0.077,5,10,1000,geometric,0.01,0.1
15,55,43,SimulatedAnnealingSampler,lucas,True,5,217.2,153.7294979104635,1.4128713288747197,0.113,5,10,1000,linear,0.1,0.5
15,55,43,SimulatedAnnealingSampler,exact,True,1,315.0,153.7294979104635,2.0490537228155463,0.073,5,10,1000,geometric,0.01,0.1
15,56,44,SimulatedAnnealingSampler,lucas,True,5,221.0,150.0,1.4733333333333334,0.11,5,10,1000,linear,0.1,0.5
15,56,44,SimulatedAnnealingSampler,exact,True,3,296.0,150.0,1.9733333333333334,0.075,5,10,1000,geometric,0.01,0.1
15,48,45,SimulatedAnnealingSampler,lucas,True,5,187.4,116.86219157325144,1.6035981995300348,0.112,5,10,1000,linear,0.1,0.5
15,48,45,SimulatedAnnealingSampler,exact,True,4,255.25,116.86219157325144,2.1841965871400286,0.079,5,10,1000,geometric,0.01,0.1
15,54,46,SimulatedAnnealingSampler,lucas,True,5,215.0,140.0,1.5357142857142858,0.113,5,10,1000,linear,0.1,0.5
15,54,46,SimulatedAnnealingSampler,exact,True,4,286.25,140.0,2.044642857142857,0.084,5,10,1000,geometric,0.01,0.1
15,48,47,SimulatedAnnealingSampler,lucas,True,5,176.0,116.66655008145095,1.508572936091153,0.118,5,10,1000,linear,0.1,0.5
15,48,47,SimulatedAnnealingSampler,exact,True,4,243.0,116.66655008145095,2.082859224262217,0.082,5,10,1000,geometric,0.01,0.1
15,56,48,SimulatedAnnealingSampler,lucas,True,5,208.4,150.0,1.3893333333333333,0.111,5,10,1000,linear,0.1,0.5
15,56,48,SimulatedAnnealingSampler,exact,True,2,291.0,150.0,1.94,0.076,5,10,1000,geometric,0.01,0.1
15,47,49,SimulatedAnnealingSampler,lucas,True,5,165.2,108.00000000000006,1.5296296296296288,0.112,5,10,1000,linear,0.1,0.5
15,47,49,SimulatedAnnealingSampler,exact,True,4,237.0,108.00000000000006,2.1944444444444433,0.083,5,10,1000,geometric,0.01,0.1
15,53,50,SimulatedAnnealingSampler,lucas,True,5,206.0,135.0,1.525925925925926,0.115,5,10,1000,linear,0.1,0.5
15,53,50,SimulatedAnnealingSampler,exact,True,1,286.0,135.0,2.1185185185185187,0.077,5,10,1000,geometric,0.01,0.1
15,52,51,SimulatedAnnealingSampler,lucas,True,5,193.8,130.0,1.4907692307692308,0.116,5,10,1000,linear,0.1,0.5
15,52,51,SimulatedAnnealingSampler,exact,True,4,251.0,130.0,1.9307692307692308,0.084,5,10,1000,geometric,0.01,0.1
15,51,52,SimulatedAnnealingSampler,lucas,True,4,202.5,130.30859168035425,1.5540034420503184,0.118,5,10,1000,linear,0.1,0.5
15,51,52,SimulatedAnnealingSampler,exact,True,3,249.0,130.30859168035425,1.9108486768915027,0.078,5,10,1000,geometric,0.01,0.1
15,51,53,SimulatedAnnealingSampler,lucas,True,5,197.0,125.0,1.576,0.118,5,10,1000,linear,0.1,0.5
15,51,53,SimulatedAnnealingSampler,exact,True,4,252.25,125.0,2.018,0.079,5,10,1000,geometric,0.01,0.1
15,51,54,SimulatedAnnealingSampler,lucas,True,5,193.6,125.0,1.5488,0.112,5,10,1000,linear,0.1,0.5
15,51,54,SimulatedAnnealingSampler,exact,True,4,272.5,125.0,2.18,0.077,5,10,1000,geometric,0.01,0.1
15,61,55,SimulatedAnnealingSampler,lucas,True,5,251.8,176.0,1.4306818181818182,0.11,5,10,1000,linear,0.1,0.5
15,61,55,SimulatedAnnealingSampler,exact,False,0,,176.0,,0.075,5,10,1000,geometric,0.01,0.1
15,52,56,SimulatedAnnealingSampler,lucas,True,5,178.6,130.0,1.3738461538461537,0.117,5,10,1000,linear,0.1,0.5
15,52,56,SimulatedAnnealingSampler,exact,True,1,284.0,130.0,2.1846153846153844,0.083,5,10,1000,geometric,0.01,0.1
15,50,57,SimulatedAnnealingSampler,lucas,True,4,196.5,123.42284518898988,1.592087750846381,0.113,5,10,1000,linear,0.1,0.5
15,50,57,SimulatedAnnealingSampler,exact,True,3,252.0,123.42284518898988,2.0417613903984124,0.079,5,10,1000,geometric,0.01,0.1
15,61,58,SimulatedAnnealingSampler,lucas,True,5,246.8,179.07195875278134,1.3782169007305098,0.118,5,10,1000,linear,0.1,0.5
15,61,58,SimulatedAnnealingSampler,exact,True,1,304.0,179.07195875278134,1.6976415632985211,0.077,5,10,1000,geometric,0.01,0.1
15,57,59,SimulatedAnnealingSampler,lucas,True,4,242.0,155.0,1.5612903225806452,0.112,5,10,1000,linear,0.1,0.5
15,57,59,SimulatedAnnealingSampler,exact,False,0,,155.0,,0.079,5,10,1000,geometric,0.01,0.1
15,52,60,SimulatedAnnealingSampler,lucas,True,5,195.2,130.0,1.5015384615384615,0.123,5,10,1000,linear,0.1,0.5
15,52,60,SimulatedAnnealingSampler,exact,True,4,287.5,130.0,2.2115384615384617,0.076,5,10,1000,geometric,0.01,0.1
15,42,61,SimulatedAnnealingSampler,lucas,True,5,156.6,88.70431474215995,1.765415813821401,0.112,5,10,1000,linear,0.1,0.5
15,42,61,SimulatedAnnealingSampler,exact,True,5,209.8,88.70431474215995,2.365161160534674,0.088,5,10,1000,geometric,0.01,0.1
15,51,62,SimulatedAnnealingSampler,lucas,True,5,197.2,125.0,1.5776,0.121,5,10,1000,linear,0.1,0.5
15,51,62,SimulatedAnnealingSampler,exact,True,4,270.25,125.0,2.162,0.078,5,10,1000,geometric,0.01,0.1
15,56,63,SimulatedAnnealingSampler,lucas,True,5,221.6,150.0,1.4773333333333334,0.113,5,10,1000,linear,0.1,0.5
15,56,63,SimulatedAnnealingSampler,exact,True,3,283.6666666666667,150.0,1.8911111111111112,0.08,5,10,1000,geometric,0.01,0.1
15,51,64,SimulatedAnnealingSampler,lucas,True,5,192.6,125.0,1.5408,0.116,5,10,1000,linear,0.1,0.5
15,51,64,SimulatedAnnealingSampler,exact,True,4,270.25,125.0,2.162,0.077,5,10,1000,geometric,0.01,0.1
15,56,65,SimulatedAnnealingSampler,lucas,True,4,227.75,150.0,1.5183333333333333,0.124,5,10,1000,linear,0.1,0.5
15,56,65,SimulatedAnnealingSampler,exact,True,4,288.0,150.0,1.92,0.074,5,10,1000,geometric,0.01,0.1
15,49,66,SimulatedAnnealingSampler,lucas,True,5,187.6,116.00000000000006,1.617241379310344,0.11,5,10,1000,linear,0.1,0.5
15,49,66,SimulatedAnnealingSampler,exact,True,4,253.75,116.00000000000006,2.187499999999999,0.085,5,10,1000,geometric,0.01,0.1
15,57,67,SimulatedAnnealingSampler,lucas,True,5,216.2,155.0,1.3948387096774193,0.109,5,10,1000,linear,0.1,0.5
15,57,67,SimulatedAnnealingSampler,exact,True,3,308.3333333333333,155.0,1.9892473118279568,0.08,5,10,1000,geometric,0.01,0.1
15,56,68,SimulatedAnnealingSampler,lucas,True,5,235.8,160.87286447558742,1.465753722783887,0.109,5,10,1000,linear,0.1,0.5
15,56,68,SimulatedAnnealingSampler,exact,True,3,281.6666666666667,160.87286447558742,1.7508649925818274,0.075,5,10,1000,geometric,0.01,0.1
15,57,69,SimulatedAnnealingSampler,lucas,True,5,222.4,155.0,1.4348387096774193,0.114,5,10,1000,linear,0.1,0.5
15,57,69,SimulatedAnnealingSampler,exact,True,2,300.5,155.0,1.9387096774193548,0.076,5,10,1000,geometric,0.01,0.1
15,58,70,SimulatedAnnealingSampler,lucas,True,5,233.0,160.0,1.45625,0.109,5,10,1000,linear,0.1,0.5
15,58,70,SimulatedAnnealingSampler,exact,True,3,307.6666666666667,160.0,1.9229166666666668,0.074,5,10,1000,geometric,0.01,0.1
15,53,71,SimulatedAnnealingSampler,lucas,True,5,208.4,135.0,1.5437037037037038,0.122,5,10,1000,linear,0.1,0.5
15,53,71,SimulatedAnnealingSampler,exact,True,3,273.3333333333333,135.0,2.024691358024691,0.079,5,10,1000,geometric,0.01,0.1
15,53,72,SimulatedAnnealingSampler,lucas,True,5,203.2,135.0,1.5051851851851852,0.108,5,10,1000,linear,0.1,0.5
15,53,72,SimulatedAnnealingSampler,exact,True,3,271.3333333333333,135.0,2.0098765432098764,0.078,5,10,1000,geometric,0.01,0.1
15,56,73,SimulatedAnnealingSampler,lucas,True,5,229.4,150.0,1.5293333333333334,0.12,5,10,1000,linear,0.1,0.5
15,56,73,SimulatedAnnealingSampler,exact,True,1,295.0,150.0,1.9666666666666666,0.076,5,10,1000,geometric,0.01,0.1
15,52,74,SimulatedAnnealingSampler,lucas,True,5,193.6,130.0,1.4892307692307691,0.11,5,10,1000,linear,0.1,0.5
15,52,74,SimulatedAnnealingSampler,exact,True,4,265.0,130.0,2.0384615384615383,0.084,5,10,1000,geometric,0.01,0.1
15,50,75,SimulatedAnnealingSampler,lucas,True,4,192.25,121.89180592206328,1.5772184073056004,0.125,5,10,1000,linear,0.1,0.5
15,50,75,SimulatedAnnealingSampler,exact,True,5,262.4,121.89180592206328,2.152728791037657,0.081,5,10,1000,geometric,0.01,0.1
15,51,76,SimulatedAnnealingSampler,lucas,True,5,185.0,125.0,1.48,0.115,5,10,1000,linear,0.1,0.5
