n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
10,21,0,SimulatedAnnealingSampler,True,5,55.0,37.0,1.4864864864864864,0.063,5,10,1000
10,25,1,SimulatedAnnealingSampler,True,5,71.8,50.000000000000014,1.4359999999999995,0.061,5,10,1000
10,19,2,SimulatedAnnealingSampler,True,5,53.0,32.0,1.65625,0.062,5,10,1000
10,27,3,SimulatedAnnealingSampler,True,5,81.6,60.58877549200334,1.3467841087293433,0.058,5,10,1000
10,23,4,SimulatedAnnealingSampler,True,5,61.6,43.0,1.4325581395348836,0.057,5,10,1000
10,20,5,SimulatedAnnealingSampler,True,5,43.4,34.0,1.276470588235294,0.059,5,10,1000
10,22,6,SimulatedAnnealingSampler,True,4,59.25,40.0,1.48125,0.063,5,10,1000
10,20,7,SimulatedAnnealingSampler,True,5,43.6,35.0,1.2457142857142858,0.059,5,10,1000
10,23,8,SimulatedAnnealingSampler,True,5,62.2,43.0,1.4465116279069767,0.054,5,10,1000
10,20,9,SimulatedAnnealingSampler,True,3,51.0,34.5,1.4782608695652173,0.057,5,10,1000
10,24,10,SimulatedAnnealingSampler,True,5,61.2,46.0,1.3304347826086957,0.055,5,10,1000
10,25,11,SimulatedAnnealingSampler,True,5,66.0,50.000000000000014,1.3199999999999996,0.057,5,10,1000
10,18,12,SimulatedAnnealingSampler,True,3,42.333333333333336,31.0,1.3655913978494625,0.061,5,10,1000
10,26,13,SimulatedAnnealingSampler,True,5,78.0,56.630695516535866,1.3773449061247078,0.06,5,10,1000
10,24,14,SimulatedAnnealingSampler,True,5,66.2,46.0,1.4391304347826088,0.062,5,10,1000
10,22,15,SimulatedAnnealingSampler,True,5,54.2,40.0,1.355,0.057,5,10,1000
10,19,16,SimulatedAnnealingSampler,True,4,50.25,33.0,1.5227272727272727,0.063,5,10,1000
10,18,17,SimulatedAnnealingSampler,True,4,43.25,30.0,1.4416666666666667,0.062,5,10,1000
