n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
20,103,72,SimulatedAnnealingSampler,True,3,582.0,357.0,1.6302521008403361,0.173,5,10,1000
20,94,73,SimulatedAnnealingSampler,True,4,489.25,299.0,1.6362876254180603,0.17,5,10,1000
20,93,74,SimulatedAnnealingSampler,True,5,479.4,293.0,1.6361774744027302,0.17,5,10,1000
20,95,75,SimulatedAnnealingSampler,True,2,522.0,392.1446111735227,1.3311415868698924,0.172,5,10,1000
20,88,76,SimulatedAnnealingSampler,True,5,471.4,355.7717035467524,1.3250070067420432,0.175,5,10,1000
20,100,77,SimulatedAnnealingSampler,True,1,558.0,336.0,1.6607142857142858,0.172,5,10,1000
20,83,78,SimulatedAnnealingSampler,True,4,416.5,261.10304302739354,1.5951556717640516,0.174,5,10,1000
20,89,79,SimulatedAnnealingSampler,True,3,455.3333333333333,269.0,1.6926889714993802,0.171,5,10,1000
20,83,80,SimulatedAnnealingSampler,True,3,415.3333333333333,277.74107853140174,1.495397567869584,0.171,5,10,1000
20,101,81,SimulatedAnnealingSampler,True,5,556.8,406.25399842154883,1.3705711258556952,0.171,5,10,1000
20,88,82,SimulatedAnnealingSampler,True,1,466.0,263.0,1.7718631178707225,0.17,5,10,1000
20,106,83,SimulatedAnnealingSampler,True,1,575.0,413.7080529956517,1.3898690050542564,0.171,5,10,1000
20,84,84,SimulatedAnnealingSampler,True,4,422.25,268.6888211123132,1.5715205353612294,0.17,5,10,1000
20,93,85,SimulatedAnnealingSampler,False,0,,293.0,,0.171,5,10,1000
20,94,86,SimulatedAnnealingSampler,True,5,511.4,377.5222807554005,1.3546220344312336,0.169,5,10,1000
20,83,87,SimulatedAnnealingSampler,True,5,421.4,264.3848305786194,1.5938887230320478,0.17,5,10,1000
20,95,88,SimulatedAnnealingSampler,True,5,472.2,318.8236927822353,1.4810693517765776,0.169,5,10,1000
20,95,89,SimulatedAnnealingSampler,True,1,501.0,305.0,1.6426229508196721,0.171,5,10,1000
20,99,90,SimulatedAnnealingSampler,True,5,537.8,343.76592641308866,1.5644366083965777,0.171,5,10,1000
20,96,91,SimulatedAnnealingSampler,False,0,,311.0000000000001,,0.171,5,10,1000
20,87,92,SimulatedAnnealingSampler,True,4,455.75,281.6394527985154,1.6182036837219789,0.17,5,10,1000
20,97,93,SimulatedAnnealingSampler,True,4,537.0,317.0000000000001,1.6940063091482644,0.172,5,10,1000
20,94,94,SimulatedAnnealingSampler,True,2,512.0,299.0,1.7123745819397993,0.171,5,10,1000
20,89,95,SimulatedAnnealingSampler,True,5,457.4,277.3345840080978,1.649271408525972,0.17,5,10,1000
20,85,96,SimulatedAnnealingSampler,True,2,401.5,245.00000000000023,1.6387755102040802,0.171,5,10,1000
20,94,97,SimulatedAnnealingSampler,True,1,484.0,299.0,1.6187290969899666,0.169,5,10,1000
20,110,98,SimulatedAnnealingSampler,True,4,610.5,446.2368596610347,1.368107512373005,0.171,5,10,1000
20,75,99,SimulatedAnnealingSampler,True,3,373.3333333333333,211.34692555550714,1.7664479024336828,0.171,5,10,1000
10,21,0,SimulatedAnnealingSampler,True,5,51.4,37.0,1.3891891891891892,0.043,5,10,1000
10,25,1,SimulatedAnnealingSampler,True,5,67.6,50.000000000000014,1.3519999999999994,0.042,5,10,1000
10,19,2,SimulatedAnnealingSampler,True,5,48.6,32.0,1.51875,0.042,5,10,1000
10,27,3,SimulatedAnnealingSampler,True,5,77.2,60.58877549200334,1.2741633969841337,0.043,5,10,1000
10,23,4,SimulatedAnnealingSampler,True,5,59.2,43.0,1.3767441860465117,0.042,5,10,1000
10,20,5,SimulatedAnnealingSampler,True,5,39.2,34.0,1.1529411764705884,0.042,5,10,1000
10,22,6,SimulatedAnnealingSampler,True,5,53.0,40.0,1.325,0.042,5,10,1000
10,20,7,SimulatedAnnealingSampler,True,5,41.4,35.0,1.1828571428571428,0.042,5,10,1000
10,23,8,SimulatedAnnealingSampler,True,5,57.8,43.0,1.3441860465116278,0.042,5,10,1000
10,20,9,SimulatedAnnealingSampler,True,5,48.8,34.5,1.4144927536231884,0.042,5,10,1000
10,24,10,SimulatedAnnealingSampler,True,5,56.6,46.0,1.2304347826086957,0.042,5,10,1000
10,25,11,SimulatedAnnealingSampler,True,5,61.2,50.000000000000014,1.2239999999999998,0.042,5,10,1000
10,18,12,SimulatedAnnealingSampler,True,5,38.0,31.0,1.2258064516129032,0.041,5,10,1000
10,26,13,SimulatedAnnealingSampler,True,5,74.6,56.630695516535866,1.3173067948320922,0.042,5,10,1000
10,24,14,SimulatedAnnealingSampler,True,5,61.8,46.0,1.3434782608695652,0.042,5,10,1000
10,22,15,SimulatedAnnealingSampler,True,5,52.0,40.0,1.3,0.042,5,10,1000
10,19,16,SimulatedAnnealingSampler,True,5,43.4,33.0,1.3151515151515152,0.042,5,10,1000
10,18,17,SimulatedAnnealingSampler,True,5,36.0,30.0,1.2,0.041,5,10,1000
10,18,18,SimulatedAnnealingSampler,True,5,37.2,31.0,1.2000000000000002,0.042,5,10,1000
10,24,19,SimulatedAnnealingSampler,True,5,63.8,46.0,1.3869565217391304,0.042,5,10,1000
10,15,20,SimulatedAnnealingSampler,True,5,31.0,25.0,1.24,0.041,5,10,1000
10,20,21,SimulatedAnnealingSampler,True,5,46.4,34.0,1.3647058823529412,0.042,5,10,1000
10,28,22,SimulatedAnnealingSampler,True,5,81.8,62.000000000000014,1.3193548387096772,0.042,5,10,1000
10,20,23,SimulatedAnnealingSampler,True,5,51.2,34.0,1.5058823529411764,0.042,5,10,1000
10,20,24,SimulatedAnnealingSampler,True,5,47.0,34.5,1.3623188405797102,0.042,5,10,1000
10,28,25,SimulatedAnnealingSampler,True,5,76.0,62.000000000000014,1.225806451612903,0.042,5,10,1000
10,23,26,SimulatedAnnealingSampler,True,5,57.8,43.0,1.3441860465116278,0.042,5,10,1000
10,20,27,SimulatedAnnealingSampler,True,5,47.0,34.0,1.3823529411764706,0.042,5,10,1000
10,22,28,SimulatedAnnealingSampler,True,5,52.2,40.0,1.3050000000000002,0.042,5,10,1000
10,27,29,SimulatedAnnealingSampler,True,5,69.0,58.000000000000014,1.1896551724137927,0.042,5,10,1000
10,23,30,SimulatedAnnealingSampler,True,5,56.2,43.0,1.3069767441860465,0.042,5,10,1000
10,22,31,SimulatedAnnealingSampler,True,5,51.0,40.0,1.275,0.042,5,10,1000
10,21,32,SimulatedAnnealingSampler,True,5,55.2,37.0,1.491891891891892,0.042,5,10,1000
10,21,33,SimulatedAnnealingSampler,True,5,51.8,37.0,1.4,0.042,5,10,1000
10,19,34,SimulatedAnnealingSampler,True,5,39.2,31.0,1.2645161290322582,0.042,5,10,1000
